Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Non-Coding RNAs are Differentially Expressed by Nocardia brasiliensis in Vitro and in Experimental Actinomycetoma.","/pubmed/28839491","Cruz-Rabadán JS, Miranda-Ríos J, Espín-Ocampo G, Méndez-Tovar LJ, Maya-Pineda HR, Hernández-Hernández F.","Open Microbiol J. 2017 Jun 30;11:112-125. doi: 10.2174/1874285801711010112. eCollection 2017.","Open Microbiol J.  2017","PubMed","citation","PMID:28839491 | PMCID:PMC5543724","pubmed","28839491","create date:2017/08/26 | first author:Cruz-Rabadán JS",
"Evaluation of changes to the Rickettsia rickettsii transcriptome during mammalian infection.","/pubmed/28832688","Riley SP, Pruneau L, Martinez JJ.","PLoS One. 2017 Aug 23;12(8):e0182290. doi: 10.1371/journal.pone.0182290. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28832688","pubmed","28832688","create date:2017/08/24 | first author:Riley SP",
"Comparative Transcriptomics of Bacillus mycoides Strains in Response to Potato-Root Exudates Reveals Different Genetic Adaptation of Endophytic and Soil Isolates.","/pubmed/28824604","Yi Y, de Jong A, Frenzel E, Kuipers OP.","Front Microbiol. 2017 Aug 4;8:1487. doi: 10.3389/fmicb.2017.01487. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824604 | PMCID:PMC5543090","pubmed","28824604","create date:2017/08/22 | first author:Yi Y",
"Transcriptome Analysis of Mycobacteria-Specific CD4(+) T Cells Identified by Activation-Induced Expression of CD154.","/pubmed/28821584","Kunnath-Velayudhan S, Goldberg MF, Saini NK, Johndrow CT, Ng TW, Johnson AJ, Xu J, Chan J, Jacobs WR Jr, Porcelli SA.","J Immunol. 2017 Aug 18. pii: ji1700654. doi: 10.4049/jimmunol.1700654. [Epub ahead of print]","J Immunol.  2017","PubMed","citation","PMID:28821584","pubmed","28821584","create date:2017/08/20 | first author:Kunnath-Velayudhan S",
"Role of the type VI secretion systems during disease interactions of Erwinia amylovora with its plant host.","/pubmed/28818038","Kamber T, Pothier JF, Pelludat C, Rezzonico F, Duffy B, Smits THM.","BMC Genomics. 2017 Aug 17;18(1):628. doi: 10.1186/s12864-017-4010-1.","BMC Genomics.  2017","PubMed","citation","PMID:28818038 | PMCID:PMC5561584","pubmed","28818038","create date:2017/08/19 | first author:Kamber T",
"Human alpha defensin 5 is a candidate biomarker to delineate inflammatory bowel disease.","/pubmed/28817680","Williams AD, Korolkova OY, Sakwe AM, Geiger TM, James SD, Muldoon RL, Herline AJ, Goodwin JS, Izban MG, Washington MK, Smoot DT, Ballard BR, Gazouli M, M'Koma AE.","PLoS One. 2017 Aug 17;12(8):e0179710. doi: 10.1371/journal.pone.0179710. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28817680","pubmed","28817680","create date:2017/08/18 | first author:Williams AD",
"History, Discovery, and Classification of lncRNAs.","/pubmed/28815535","Jarroux J, Morillon A, Pinskaya M.","Adv Exp Med Biol. 2017;1008:1-46. doi: 10.1007/978-981-10-5203-3_1.","Adv Exp Med Biol.  2017","PubMed","citation","PMID:28815535","pubmed","28815535","create date:2017/08/18 | first author:Jarroux J",
"Characterization of the human thyroid epigenome.","/pubmed/28808080","Siu C, Wiseman SM, Gakkhar S, Heravi-Moussavi A, Bilenky M, Carles A, Sierocinski T, Tam A, Zhao EY, Kasaian K, Moore RA, Mungall AJ, Walker B, Thomson T, Marra MA, Hirst M, Jones S.","J Endocrinol. 2017 Aug 14. pii: JOE-17-0145. doi: 10.1530/JOE-17-0145. [Epub ahead of print]","J Endocrinol.  2017","PubMed","citation","PMID:28808080","pubmed","28808080","create date:2017/08/16 | first author:Siu C",
"Transcriptomic profiling of microbe-microbe interactions reveals the specific response of the biocontrol strain P. fluorescens In5 to the phytopathogen Rhizoctonia solani.","/pubmed/28807055","Hennessy RC, Glaring MA, Olsson S, Stougaard P.","BMC Res Notes. 2017 Aug 10;10(1):376. doi: 10.1186/s13104-017-2704-8.","BMC Res Notes.  2017","PubMed","citation","PMID:28807055 | PMCID:PMC5557065","pubmed","28807055","create date:2017/08/16 | first author:Hennessy RC",
"The AraC Negative Regulator family modulates the activity of histone-like proteins in pathogenic bacteria.","/pubmed/28806780","Santiago AE, Yan MB, Hazen TH, Sauder B, Meza-Segura M, Rasko DA, Kendall MM, Ruiz-Perez F, Nataro JP.","PLoS Pathog. 2017 Aug 14;13(8):e1006545. doi: 10.1371/journal.ppat.1006545. eCollection 2017 Aug.","PLoS Pathog.  2017","PubMed","citation","PMID:28806780","pubmed","28806780","create date:2017/08/15 | first author:Santiago AE",
"Integrated Analysis of Biopsies from Inflammatory Bowel Disease Patients Identifies SAA1 as a Link Between Mucosal Microbes with TH17 and TH22 Cells.","/pubmed/28806280","Tang MS, Bowcutt R, Leung JM, Wolff MJ, Gundra UM, Hudesman D, Malter LB, Poles MA, Chen LA, Pei Z, Neto AG, Abidi WM, Ullman T, Mayer L, Bonneau RA, Cho I, Loke P.","Inflamm Bowel Dis. 2017 Sep;23(9):1544-1554. doi: 10.1097/MIB.0000000000001208.","Inflamm Bowel Dis.  2017","PubMed","citation","PMID:28806280","pubmed","28806280","create date:2017/08/15 | first author:Tang MS",
"Analytic and Dynamic Secretory Profile of Patient-Derived Cytokine-Induced Killer Cells.","/pubmed/28805233","Mesiano G, Zini R, Montagner G, Bianchi N, Manfredini R, Chillemi A, Aglietta M, Grignani G, Lampronti I, Fiorino E, Malavasi F, Sangiolo D, Gambari R, Ferrari D.","Mol Med. 2017 Aug 9;23. doi: 10.2119/molmed.2017.00084. [Epub ahead of print]","Mol Med.  2017","PubMed","citation","PMID:28805233","pubmed","28805233","create date:2017/08/15 | first author:Mesiano G",
"Myc Regulates Chromatin Decompaction and Nuclear Architecture during B Cell Activation.","/pubmed/28803781","Kieffer-Kwon KR, Nimura K, Rao SSP, Xu J, Jung S, Pekowska A, Dose M, Stevens E, Mathe E, Dong P, Huang SC, Ricci MA, Baranello L, Zheng Y, Ardori FT, Resch W, Stavreva D, Nelson S, McAndrew M, Casellas A, Finn E, Gregory C, et al.","Mol Cell. 2017 Aug 17;67(4):566-578.e10. doi: 10.1016/j.molcel.2017.07.013. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803781","pubmed","28803781","create date:2017/08/15 | first author:Kieffer-Kwon KR",
"Response of Methylocystis sp. Strain SC2 to Salt Stress: Physiology, Global Transcriptome, and Amino Acid Profiles.","/pubmed/28802275","Han D, Link H, Liesack W.","Appl Environ Microbiol. 2017 Aug 11. pii: AEM.00866-17. doi: 10.1128/AEM.00866-17. [Epub ahead of print]","Appl Environ Microbiol.  2017","PubMed","citation","PMID:28802275","pubmed","28802275","create date:2017/08/13 | first author:Han D",
"Growth of Amanita caesarea in the presence of Pseudomonas fluorescens and Bacillus cereus.","/pubmed/28800852","Cano JM, Berrocal-Lobo M, Domínguez-Núñez JA.","Fungal Biol. 2017 Sep;121(9):825-833. doi: 10.1016/j.funbio.2017.05.009. Epub 2017 Jun 8.","Fungal Biol.  2017","PubMed","citation","PMID:28800852","pubmed","28800852","create date:2017/08/13 | first author:Cano JM",
"Chickpea-Fusarium oxysporum interaction transcriptome reveals differential modulation of plant defense strategies.","/pubmed/28798320","Upasani ML, Limaye BM, Gurjar GS, Kasibhatla SM, Joshi RR, Kadoo NY, Gupta VS.","Sci Rep. 2017 Aug 10;7(1):7746. doi: 10.1038/s41598-017-07114-x.","Sci Rep.  2017","PubMed","citation","PMID:28798320 | PMCID:PMC5552786","pubmed","28798320","create date:2017/08/12 | first author:Upasani ML",
"Transcriptome and proteome analysis of Salmonella enterica serovar Typhimurium systemic infection of wild type and immune-deficient mice.","/pubmed/28796780","Oshota O, Conway M, Fookes M, Schreiber F, Chaudhuri RR, Yu L, Morgan FJE, Clare S, Choudhary J, Thomson NR, Lio P, Maskell DJ, Mastroeni P, Grant AJ.","PLoS One. 2017 Aug 10;12(8):e0181365. doi: 10.1371/journal.pone.0181365. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28796780","pubmed","28796780","create date:2017/08/11 | first author:Oshota O",
"CXCL9, a promising biomarker in the diagnosis of chronic Q fever.","/pubmed/28793883","Jansen AFM, Schoffelen T, Textoris J, Mege JL, Nabuurs-Franssen M, Raijmakers RPH, Netea MG, Joosten LAB, Bleeker-Rovers CP, van Deuren M.","BMC Infect Dis. 2017 Aug 9;17(1):556. doi: 10.1186/s12879-017-2656-6.","BMC Infect Dis.  2017","PubMed","citation","PMID:28793883 | PMCID:PMC5551022","pubmed","28793883","create date:2017/08/11 | first author:Jansen AFM",
"Spheroid growth in ovarian cancer alters transcriptome responses for stress pathways and epigenetic responses.","/pubmed/28793334","Paullin T, Powell C, Menzie C, Hill R, Cheng F, Martyniuk CJ, Westerheide SD.","PLoS One. 2017 Aug 9;12(8):e0182930. doi: 10.1371/journal.pone.0182930. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28793334 | PMCID:PMC5549971","pubmed","28793334","create date:2017/08/10 | first author:Paullin T",
