Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Glycoprotein 2 is a specific cell surface marker of human pancreatic progenitors.","/pubmed/28835709","Cogger KF, Sinha A, Sarangi F, McGaugh EC, Saunders D, Dorrell C, Mejia-Guerrero S, Aghazadeh Y, Rourke JL, Screaton RA, Grompe M, Streeter PR, Powers AC, Brissova M, Kislinger T, Nostro MC.","Nat Commun. 2017 Aug 24;8(1):331. doi: 10.1038/s41467-017-00561-0.","Nat Commun.  2017","PubMed","citation","PMID:28835709","pubmed","28835709","create date:2017/08/25 | first author:Cogger KF",
"Circulating biomarker responses to medical management vs. mechanical circulatory support in severe inotrope-dependent acute heart failure.","/pubmed/28834638","Meredith AJ, Dai DLY, Chen V, Hollander Z, Ng R, Kaan A, Tebbutt S, Ramanathan K, Cheung A, McManus BM.","ESC Heart Fail. 2016 Jun;3(2):86-96. doi: 10.1002/ehf2.12076. Epub 2015 Nov 24.","ESC Heart Fail.  2016","PubMed","citation","PMID:28834638","pubmed","28834638","create date:2016/06/01 | first author:Meredith AJ",
"Mechanisms of subzero growth in the cryophile Planococcus halocryophilus determined through proteomic analysis.","/pubmed/28834033","Raymond-Bouchard I, Chourey K, Altshuler I, Iyer R, Hettich RL, Whyte LG.","Environ Microbiol. 2017 Aug 23. doi: 10.1111/1462-2920.13893. [Epub ahead of print]","Environ Microbiol.  2017","PubMed","citation","PMID:28834033","pubmed","28834033","create date:2017/08/24 | first author:Raymond-Bouchard I",
"Collagenase treatment enhances proteomic coverage of low-abundance proteins in decellularized matrix bioscaffolds.","/pubmed/28829951","Kuljanin M, Brown CFC, Raleigh MJ, Lajoie GA, Flynn LE.","Biomaterials. 2017 Aug 13;144:130-143. doi: 10.1016/j.biomaterials.2017.08.012. [Epub ahead of print]","Biomaterials.  2017","PubMed","citation","PMID:28829951","pubmed","28829951","create date:2017/08/23 | first author:Kuljanin M",
"Peptide biomarkers used for the selective breeding of a complex polygenic trait in honey bees.","/pubmed/28827652","Guarna MM, Hoover SE, Huxter E, Higo H, Moon KM, Domanski D, Bixby MEF, Melathopoulos AP, Ibrahim A, Peirson M, Desai S, Micholson D, White R, Borchers CH, Currie RW, Pernal SF, Foster LJ.","Sci Rep. 2017 Aug 21;7(1):8381. doi: 10.1038/s41598-017-08464-2.","Sci Rep.  2017","PubMed","citation","PMID:28827652","pubmed","28827652","create date:2017/08/23 | first author:Guarna MM",
"Multi-laboratory assessment of reproducibility, qualitative and quantitative performance of SWATH-mass spectrometry.","/pubmed/28827567","Collins BC, Hunter CL, Liu Y, Schilling B, Rosenberger G, Bader SL, Chan DW, Gibson BW, Gingras AC, Held JM, Hirayama-Kurogi M, Hou G, Krisp C, Larsen B, Lin L, Liu S, Molloy MP, Moritz RL, Ohtsuki S, Schlapbach R, Selevsek N, Thomas SN, et al.","Nat Commun. 2017 Aug 21;8(1):291. doi: 10.1038/s41467-017-00249-5.","Nat Commun.  2017","PubMed","citation","PMID:28827567","pubmed","28827567","create date:2017/08/23 | first author:Collins BC",
"Exercise-responsive phosphoproteins in the heart.","/pubmed/28826663","Guo H, Isserlin R, Emili A, Burniston JG.","J Mol Cell Cardiol. 2017 Aug 4. pii: S0022-2828(17)30274-2. doi: 10.1016/j.yjmcc.2017.08.001. [Epub ahead of print]","J Mol Cell Cardiol.  2017","PubMed","citation","PMID:28826663","pubmed","28826663","create date:2017/08/23 | first author:Guo H",
"Anti-nociceptive action of peripheral mu-opioid receptors by G-beta-gamma protein-mediated inhibition of TRPM3 channels.","/pubmed/28826482","Dembla S, Behrendt M, Mohr F, Goecke C, Sondermann J, Schneider FM, Schmidt M, Stab J, Enzeroth R, Leitner MG, Nuñez-Badinez P, Schwenk J, Nürnberg B, Cohen A, Philipp SE, Greffrath W, Bünemann M, Oliver D, Zakharian E, Schmidt M, Oberwinkler J.","Elife. 2017 Aug 15;6. pii: e26280. doi: 10.7554/eLife.26280. [Epub ahead of print]","Elife.  2017","PubMed","citation","PMID:28826482","pubmed","28826482","create date:2017/08/23 | first author:Dembla S",
"Statistical control of peptide and protein error rates in large-scale targeted data-independent acquisition analyses.","/pubmed/28825704","Rosenberger G, Bludau I, Schmitt U, Heusel M, Hunter CL, Liu Y, MacCoss MJ, MacLean BX, Nesvizhskii AI, Pedrioli PGA, Reiter L, Röst HL, Tate S, Ting YS, Collins BC, Aebersold R.","Nat Methods. 2017 Aug 21. doi: 10.1038/nmeth.4398. [Epub ahead of print]","Nat Methods.  2017","PubMed","citation","PMID:28825704","pubmed","28825704","create date:2017/08/22 | first author:Rosenberger G",
"Postnatal Identification of Zika Virus Peptides from Saliva.","/pubmed/28825520","Zuanazzi D, Arts EJ, Jorge PK, Mulyar Y, Gibson R, Xiao Y, Bringel Dos Santos M, Machado MAAM, Siqueira WL.","J Dent Res. 2017 Sep;96(10):1078-1084. doi: 10.1177/0022034517723325.","J Dent Res.  2017","PubMed","citation","PMID:28825520","pubmed","28825520","create date:2017/08/22 | first author:Zuanazzi D",
