Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A 17-gene stemness score for rapid determination of risk in acute leukaemia.","/pubmed/27926740","Ng SW, Mitchell A, Kennedy JA, Chen WC, McLeod J, Ibrahimova N, Arruda A, Popescu A, Gupta V, Schimmer AD, Schuh AC, Yee KW, Bullinger L, Herold T, Görlich D, Büchner T, Hiddemann W, Berdel WE, Wörmann B, Cheok M, Preudhomme C, Dombret H, et al.","Nature. 2016 Dec 15;540(7633):433-437. doi: 10.1038/nature20598. Epub 2016 Dec 7.","Nature.  2016","PubMed","citation","PMID:27926740","pubmed","27926740","create date:2016/12/08 | first author:Ng SW",
"24-hour rhythms of DNA methylation and their relation with rhythms of RNA expression in the human dorsolateral prefrontal cortex.","/pubmed/25375876","Lim AS, Srivastava GP, Yu L, Chibnik LB, Xu J, Buchman AS, Schneider JA, Myers AJ, Bennett DA, De Jager PL.","PLoS Genet. 2014 Nov 6;10(11):e1004792. doi: 10.1371/journal.pgen.1004792. eCollection 2014 Nov.","PLoS Genet.  2014","PubMed","citation","PMID:25375876 | PMCID:PMC4222754","pubmed","25375876","create date:2014/11/07 | first author:Lim AS",
"A 44K microarray dataset of the changing transcriptome in developing Atlantic salmon (Salmo salar L.).","/pubmed/21447175","Jantzen SG, Sanderson DS, von Schalburg KR, Yasuike M, Marass F, Koop BF.","BMC Res Notes. 2011 Mar 29;4:88. doi: 10.1186/1756-0500-4-88.","BMC Res Notes.  2011","PubMed","citation","PMID:21447175 | PMCID:PMC3073910","pubmed","21447175","create date:2011/03/31 | first author:Jantzen SG",
"α7 nicotinic acetylcholine receptor signaling modulates the inflammatory phenotype of fetal brain microglia: first evidence of interference by iron homeostasis.","/pubmed/28878260","Cortes M, Cao M, Liu HL, Moore CS, Durosier LD, Burns P, Fecteau G, Desrochers A, Barreiro LB, Antel JP, Frasch MG.","Sci Rep. 2017 Sep 6;7(1):10645. doi: 10.1038/s41598-017-09439-z.","Sci Rep.  2017","PubMed","citation","PMID:28878260","pubmed","28878260","create date:2017/09/08 | first author:Cortes M",
"ABA-dependent inhibition of the ubiquitin proteasome system during germination at high temperature in Arabidopsis.","/pubmed/27496613","Chiu RS, Pan S, Zhao R, Gazzarrini S.","Plant J. 2016 Dec;88(5):749-761. doi: 10.1111/tpj.13293. Epub 2016 Sep 22.","Plant J.  2016","PubMed","citation","PMID:27496613","pubmed","27496613","create date:2016/08/09 | first author:Chiu RS",
"Aberrant expression of long noncoding RNAs in cervical intraepithelial neoplasia.","/pubmed/23095774","Gibb EA, Becker-Santos DD, Enfield KS, Guillaud M, Niekerk Dv, Matisic JP, Macaulay CE, Lam WL.","Int J Gynecol Cancer. 2012 Nov;22(9):1557-63. doi: 10.1097/IGC.0b013e318272f2c9.","Int J Gynecol Cancer.  2012","PubMed","citation","PMID:23095774","pubmed","23095774","create date:2012/10/26 | first author:Gibb EA",
"Aberrant posttranscriptional processing of hyaluronan synthase 1 in malignant transformation and tumor progression.","/pubmed/25081526","Adamia S, Kriangkum J, Belch AR, Pilarski LM.","Adv Cancer Res. 2014;123:67-94. doi: 10.1016/B978-0-12-800092-2.00003-4. Review.","Adv Cancer Res.  2014","PubMed","citation","PMID:25081526","pubmed","25081526","create date:2014/08/02 | first author:Adamia S",
"Ablation of Potassium-Chloride Cotransporter Type 3 (Kcc3) in Mouse Causes Multiple Cardiovascular Defects and Isosmotic Polyuria.","/pubmed/27166674","Garneau AP, Marcoux AA, Noël M, Frenette-Cotton R, Drolet MC, Couet J, Larivière R, Isenring P.","PLoS One. 2016 May 11;11(5):e0154398. doi: 10.1371/journal.pone.0154398. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27166674 | PMCID:PMC4864296","pubmed","27166674","create date:2016/05/12 | first author:Garneau AP",
"Accumulation of Chromatin Remodelling Enzyme and Histone Transcripts in Bovine Oocytes.","/pubmed/28779321","Lodde V, Luciano AM, Franciosi F, Labrecque R, Sirard MA.","Results Probl Cell Differ. 2017;63:223-255. doi: 10.1007/978-3-319-60855-6_11.","Results Probl Cell Differ.  2017","PubMed","citation","PMID:28779321","pubmed","28779321","create date:2017/08/06 | first author:Lodde V",
"The Accumulation of Deleterious Mutations as a Consequence of Domestication and Improvement in Sunflowers and Other Compositae Crops.","/pubmed/25939650","Renaut S, Rieseberg LH.","Mol Biol Evol. 2015 Sep;32(9):2273-83. doi: 10.1093/molbev/msv106. Epub 2015 May 4.","Mol Biol Evol.  2015","PubMed","citation","PMID:25939650","pubmed","25939650","create date:2015/05/06 | first author:Renaut S",
