Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Development of a multiplexed assay for oral cancer candidate biomarkers using peptide immunoaffinity enrichment and targeted mass spectrometry.","/pubmed/28821604","Hsiao YC, Chi LM, Chien KY, Chiang WF, Chen SF, Chuang YN, Lin SY, Wu CC, Chang YT, Chu LJ, Chen YT, Chia SL, Chien CY, Chang KP, Chang YS, Yu JS.","Mol Cell Proteomics. 2017 Aug 18. pii: mcp.000147.2017. doi: 10.1074/mcp.RA117.000147. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28821604","pubmed","28821604","create date:2017/08/20 | first author:Hsiao YC",
"Large-scale proteomics combined with transgenic experiments demonstrates an important role of jasmonic acid&nbsp;in potassium&nbsp;deficiency response in wheat and rice.","/pubmed/28821602","Li G, Wu Y, Liu G, Xiao X, Wang P, Gao T, Xu M, Han Q, Wang Y, Guo T, Kang G.","Mol Cell Proteomics. 2017 Aug 18. pii: mcp.000032.2017. doi: 10.1074/mcp.RA117.000032. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28821602","pubmed","28821602","create date:2017/08/20 | first author:Li G",
"Recent advances in quantitative and chemical proteomics for autophagy studies.","/pubmed/28820289","Wong YK, Zhang J, Hua ZC, Lin Q, Shen HM, Wang J.","Autophagy. 2017 Aug 18:1-15. doi: 10.1080/15548627.2017.1313944. [Epub ahead of print]","Autophagy.  2017","PubMed","citation","PMID:28820289","pubmed","28820289","create date:2017/08/19 | first author:Wong YK",
"Network Analysis of Se-and Zn-related Proteins in the Serum Proteomics Expression Profile of the Endemic Dilated Cardiomyopathy Keshan Disease.","/pubmed/28819918","Wang S, Lv Y, Wang Y, Du P, Tan W, Lammi MJ, Guo X.","Biol Trace Elem Res. 2017 Aug 18. doi: 10.1007/s12011-017-1063-6. [Epub ahead of print]","Biol Trace Elem Res.  2017","PubMed","citation","PMID:28819918","pubmed","28819918","create date:2017/08/19 | first author:Wang S",
"Emergence of two distinct subpopulations from Klebsiella pneumoniae grown in the stimulated microgravity environment.","/pubmed/28816520","Wang H, Li W, Gu L, Gao X, Ni B, Deng H, Yang R, Han Y.","Future Microbiol. 2017 Aug 17. doi: 10.2217/fmb-2017-0032. [Epub ahead of print]","Future Microbiol.  2017","PubMed","citation","PMID:28816520","pubmed","28816520","create date:2017/08/18 | first author:Wang H",
"iTRAQ-Based Quantitative Proteomic Analyses of High Grade Esophageal Squamous Intraepithelial Neoplasia.","/pubmed/28816019","Zhang J, Zhi C, Zhen F, Yuan X, Jiao C, Zhu H, Zhu H, Feng Y.","Proteomics Clin Appl. 2017 Aug 16. doi: 10.1002/prca.201600167. [Epub ahead of print]","Proteomics Clin Appl.  2017","PubMed","citation","PMID:28816019","pubmed","28816019","create date:2017/08/18 | first author:Zhang J",
"Proteomics analysis identified a DRT protein involved in arsenic resistance in Populus.","/pubmed/28815368","Liu Y, Damaris RN, Yang P.","Plant Cell Rep. 2017 Aug 16. doi: 10.1007/s00299-017-2199-8. [Epub ahead of print]","Plant Cell Rep.  2017","PubMed","citation","PMID:28815368","pubmed","28815368","create date:2017/08/18 | first author:Liu Y",
"Chemoproteomics Reveals Chemical Diversity and Dynamics of 4-Oxo-2-nonenal Modifications in Cells.","/pubmed/28814509","Sun R, Fu L, Liu KK, Tian CP, Yang Y, Tallman KA, Porter NA, Liebler DC, Yang J.","Mol Cell Proteomics. 2017 Aug 16. pii: mcp.000116.2017. doi: 10.1074/mcp.RA117.000116. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28814509","pubmed","28814509","create date:2017/08/18 | first author:Sun R",
"Annexin A2 could enhance multidrug resistance by regulating NF-κB signaling pathway in pediatric neuroblastoma.","/pubmed/28814318","Wang Y, Chen K, Cai Y, Cai Y, Yuan X, Wang L, Wu Z, Wu Y.","J Exp Clin Cancer Res. 2017 Aug 16;36(1):111. doi: 10.1186/s13046-017-0581-6.","J Exp Clin Cancer Res.  2017","PubMed","citation","PMID:28814318 | PMCID:PMC5559827","pubmed","28814318","create date:2017/08/18 | first author:Wang Y",
"CYP2A6 Polymorphisms Associate with Outcomes of S-1 Plus Oxaliplatin Chemotherapy in Chinese Gastric Cancer Patients.","/pubmed/28811232","Yang L, Zou S, Shu C, Song Y, Sun YK, Zhang W, Zhou A, Yuan X, Yang Y, Hu S.","Genomics Proteomics Bioinformatics. 2017 Aug 12. pii: S1672-0229(17)30108-0. doi: 10.1016/j.gpb.2016.11.004. [Epub ahead of print]","Genomics Proteomics Bioinformatics.  2017","PubMed","citation","PMID:28811232","pubmed","28811232","create date:2017/08/16 | first author:Yang L",
