Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Genome-wide gene expression analysis of amphioxus (Branchiostoma belcheri) following lipopolysaccharide challenge using strand-specific RNA-seq.","/pubmed/28837390","Zhang QL, Zhu QH, Xie ZQ, Xu B, Wang XQ, Chen JY.","RNA Biol. 2017 Aug 24:0. doi: 10.1080/15476286.2017.1367890. [Epub ahead of print]","RNA Biol.  2017","PubMed","citation","PMID:28837390","pubmed","28837390","create date:2017/08/25 | first author:Zhang QL",
"Transcriptome analysis of ankylosing spondylitis patients before and after TNF-α inhibitor therapy reveals the pathways affected.","/pubmed/28835680","Wang XB, Ellis JJ, Pennisi DJ, Song X, Batra J, Hollis K, Bradbury LA, Li Z, Kenna TJ, Brown MA.","Genes Immun. 2017 Aug 24. doi: 10.1038/gene.2017.19. [Epub ahead of print]","Genes Immun.  2017","PubMed","citation","PMID:28835680","pubmed","28835680","create date:2017/08/25 | first author:Wang XB",
"Comparative transcriptomic analysis reveals the roles of ROS scavenging genes in response to cadmium in two pak choi cultivars.","/pubmed/28835647","Yu R, Tang Y, Liu C, Du X, Miao C, Shi G.","Sci Rep. 2017 Aug 23;7(1):9217. doi: 10.1038/s41598-017-09838-2.","Sci Rep.  2017","PubMed","citation","PMID:28835647","pubmed","28835647","create date:2017/08/25 | first author:Yu R",
"Elucidation of the molecular responses to waterlogging in Sesbania cannabina roots by transcriptome profiling.","/pubmed/28835646","Ren CG, Kong CC, Yan K, Zhang H, Luo YM, Xie ZH.","Sci Rep. 2017 Aug 23;7(1):9256. doi: 10.1038/s41598-017-07740-5.","Sci Rep.  2017","PubMed","citation","PMID:28835646","pubmed","28835646","create date:2017/08/25 | first author:Ren CG",
"Whole genome sequencing and comparative transcriptome analysis of a novel seawater adapted, salt-resistant rice cultivar - sea rice 86.","/pubmed/28835208","Chen R, Cheng Y, Han S, Van Handel B, Dong L, Li X, Xie X.","BMC Genomics. 2017 Aug 23;18(1):655. doi: 10.1186/s12864-017-4037-3.","BMC Genomics.  2017","PubMed","citation","PMID:28835208","pubmed","28835208","create date:2017/08/25 | first author:Chen R",
"Global Profiling of Alternative Splicing Landscape Responsive to Drought, Heat and Their Combination in Wheat (Triticum asetivum L.).","/pubmed/28834352","Liu Z, Qin J, Tian X, Xu S, Wang Y, Li H, Wang X, Peng H, Yao Y, Hu Z, Ni Z, Xin M, Sun Q.","Plant Biotechnol J. 2017 Aug 18. doi: 10.1111/pbi.12822. [Epub ahead of print]","Plant Biotechnol J.  2017","PubMed","citation","PMID:28834352","pubmed","28834352","create date:2017/08/24 | first author:Liu Z",
"Population transcriptomic characterization of the genetic and expression variation of a candidate progenitor of Miscanthus energy crops.","/pubmed/28833782","Yan J, Song Z, Xu Q, Kang L, Zhu C, Xing S, Liu W, Greimler J, Züst T, Li J, Sang T.","Mol Ecol. 2017 Aug 22. doi: 10.1111/mec.14338. [Epub ahead of print]","Mol Ecol.  2017","PubMed","citation","PMID:28833782","pubmed","28833782","create date:2017/08/24 | first author:Yan J",
"Transcriptome analysis of genes involved in secondary cell wall biosynthesis in developing internodes of Miscanthus lutarioriparius.","/pubmed/28831170","Hu R, Xu Y, Yu C, He K, Tang Q, Jia C, He G, Wang X, Kong Y, Zhou G.","Sci Rep. 2017 Aug 22;7(1):9034. doi: 10.1038/s41598-017-08690-8.","Sci Rep.  2017","PubMed","citation","PMID:28831170","pubmed","28831170","create date:2017/08/24 | first author:Hu R",
"Analyses of Long Non-Coding RNA and mRNA profiling using RNA sequencing in chicken testis with extreme sperm motility.","/pubmed/28831078","Liu Y, Sun Y, Li Y, Bai H, Xue F, Xu S, Xu H, Shi L, Yang N, Chen J.","Sci Rep. 2017 Aug 22;7(1):9055. doi: 10.1038/s41598-017-08738-9.","Sci Rep.  2017","PubMed","citation","PMID:28831078","pubmed","28831078","create date:2017/08/24 | first author:Liu Y",
"Identification of candidate genes involved in isoquinoline alkaloids biosynthesis in Dactylicapnos scandens by transcriptome analysis.","/pubmed/28831066","He SM, Song WL, Cong K, Wang X, Dong Y, Cai J, Zhang JJ, Zhang GH, Yang JL, Yang SC, Fan W.","Sci Rep. 2017 Aug 22;7(1):9119. doi: 10.1038/s41598-017-08672-w.","Sci Rep.  2017","PubMed","citation","PMID:28831066","pubmed","28831066","create date:2017/08/24 | first author:He SM",
"Integrative single-cell and cell-free plasma RNA transcriptomics elucidates placental cellular dynamics.","/pubmed/28830992","Tsang JCH, Vong JSL, Ji L, Poon LCY, Jiang P, Lui KO, Ni YB, To KF, Cheng YKY, Chiu RWK, Lo YMD.","Proc Natl Acad Sci U S A. 2017 Aug 22. pii: 201710470. doi: 10.1073/pnas.1710470114. [Epub ahead of print]","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28830992","pubmed","28830992","create date:2017/08/24 | first author:Tsang JCH",
"Comparing the intestinal transcriptome of Meishan and Large White piglets during late fetal development reveals genes involved in glucose and lipid metabolism and immunity as valuable clues of intestinal maturity.","/pubmed/28830381","Yao Y, Voillet V, Jegou M, SanCristobal M, Dou S, Romé V, Lippi Y, Billon Y, Père MC, Boudry G, Gress L, Iannucelli N, Mormède P, Quesnel H, Canario L, Liaubet L, Le Huërou-Luron I.","BMC Genomics. 2017 Aug 22;18(1):647. doi: 10.1186/s12864-017-4001-2.","BMC Genomics.  2017","PubMed","citation","PMID:28830381","pubmed","28830381","create date:2017/08/24 | first author:Yao Y",
"Comparative transcriptome analysis and identification of candidate effectors in two related rust species (Gymnosporangium yamadae and Gymnosporangium asiaticum).","/pubmed/28830353","Tao SQ, Cao B, Tian CM, Liang YM.","BMC Genomics. 2017 Aug 23;18(1):651. doi: 10.1186/s12864-017-4059-x.","BMC Genomics.  2017","PubMed","citation","PMID:28830353","pubmed","28830353","create date:2017/08/24 | first author:Tao SQ",
"Comparative transcriptome analysis reveals differentially expressed genes associated with sex expression in garden asparagus (Asparagus officinalis).","/pubmed/28830346","Li SF, Zhang GJ, Zhang XJ, Yuan JH, Deng CL, Gao WJ.","BMC Plant Biol. 2017 Aug 22;17(1):143. doi: 10.1186/s12870-017-1091-6.","BMC Plant Biol.  2017","PubMed","citation","PMID:28830346","pubmed","28830346","create date:2017/08/24 | first author:Li SF",
"Physiological and de novo transcriptome analysis of the fermentation mechanism of Cerasus sachalinensis roots in response to short-term waterlogging.","/pubmed/28830345","Zhang P, Lyu D, Jia L, He J, Qin S.","BMC Genomics. 2017 Aug 22;18(1):649. doi: 10.1186/s12864-017-4055-1.","BMC Genomics.  2017","PubMed","citation","PMID:28830345","pubmed","28830345","create date:2017/08/24 | first author:Zhang P",
