Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Regulation of the corticosteroid signalling system in rainbow trout HPI axis during confinement stress.","/pubmed/28837788","Kiilerich P, Servili A, Péron S, Valotaire C, Goardon L, Leguen I, Prunet P.","Gen Comp Endocrinol. 2017 Aug 21. pii: S0016-6480(17)30176-4. doi: 10.1016/j.ygcen.2017.08.013. [Epub ahead of print]","Gen Comp Endocrinol.  2017","PubMed","citation","PMID:28837788","pubmed","28837788","create date:2017/08/25 | first author:Kiilerich P",
"Roadmap for Investigating Epigenome Deregulation and Environmental Origins of Cancer.","/pubmed/28836271","Herceg Z, Ghantous A, Wild CP, Sklias A, Casati L, Duthie SJ, Fry R, Issa JP, Kellermayer R, Koturbash I, Kondo Y, Lepeule J, Lima SCS, Marsit CJ, Rakyan V, Saffery R, Taylor JA, Teschendorff AE, Ushijima T, Vineis P, Walker CL, Waterland RA, et al.","Int J Cancer. 2017 Aug 24. doi: 10.1002/ijc.31014. [Epub ahead of print] Review.","Int J Cancer.  2017","PubMed","citation","PMID:28836271","pubmed","28836271","create date:2017/08/25 | first author:Herceg Z",
"Carryover effects of larval exposure to different environmental bacteria drive adult trait variation in a mosquito vector.","/pubmed/28835919","Dickson LB, Jiolle D, Minard G, Moltini-Conclois I, Volant S, Ghozlane A, Bouchier C, Ayala D, Paupy C, Moro CV, Lambrechts L.","Sci Adv. 2017 Aug 16;3(8):e1700585. doi: 10.1126/sciadv.1700585. eCollection 2017 Aug.","Sci Adv.  2017","PubMed","citation","PMID:28835919 | PMCID:PMC5559213","pubmed","28835919","create date:2017/08/25 | first author:Dickson LB",
"Logic programming reveals alteration of key transcription factors in multiple myeloma.","/pubmed/28835615","Miannay B, Minvielle S, Roux O, Drouin P, Avet-Loiseau H, Guérin-Charbonnel C, Gouraud W, Attal M, Facon T, Munshi NC, Moreau P, Campion L, Magrangeas F, Guziolowski C.","Sci Rep. 2017 Aug 23;7(1):9257. doi: 10.1038/s41598-017-09378-9.","Sci Rep.  2017","PubMed","citation","PMID:28835615","pubmed","28835615","create date:2017/08/25 | first author:Miannay B",
"Description of 'Blautia phocaeensis' sp. nov. and 'Lachnoclostridium edouardi' sp. nov., isolated from healthy fresh stools of Saudi Arabia Bedouins by culturomics.","/pubmed/28831300","Traore SI, Azhar EI, Yasir M, Bibi F, Fournier PE, Jiman-Fatani AA, Delerce J, Cadoret F, Lagier JC, Raoult D.","New Microbes New Infect. 2017 Jun 3;19:129-131. doi: 10.1016/j.nmni.2017.05.017. eCollection 2017 Sep.","New Microbes New Infect.  2017","PubMed","citation","PMID:28831300 | PMCID:PMC5554926","pubmed","28831300","create date:2017/08/24 | first author:Traore SI",
"Molecular bases for multidrug resistance in Yersinia pseudotuberculosis.","/pubmed/28830739","Cabanel N, Galimand M, Bouchier C, Chesnokova M, Klimov V, Carniel E.","Int J Med Microbiol. 2017 Aug 16. pii: S1438-4221(17)30273-4. doi: 10.1016/j.ijmm.2017.08.005. [Epub ahead of print]","Int J Med Microbiol.  2017","PubMed","citation","PMID:28830739","pubmed","28830739","create date:2017/08/24 | first author:Cabanel N",
"Comparing the intestinal transcriptome of Meishan and Large White piglets during late fetal development reveals genes involved in glucose and lipid metabolism and immunity as valuable clues of intestinal maturity.","/pubmed/28830381","Yao Y, Voillet V, Jegou M, SanCristobal M, Dou S, Romé V, Lippi Y, Billon Y, Père MC, Boudry G, Gress L, Iannucelli N, Mormède P, Quesnel H, Canario L, Liaubet L, Le Huërou-Luron I.","BMC Genomics. 2017 Aug 22;18(1):647. doi: 10.1186/s12864-017-4001-2.","BMC Genomics.  2017","PubMed","citation","PMID:28830381","pubmed","28830381","create date:2017/08/24 | first author:Yao Y",
"Prevalence of genital Chlamydia trachomatis infections in Russia: systematic literature review and multicenter study.","/pubmed/28830072","Smelov V, Thomas P, Ouburg S, Morré SA.","Pathog Dis. 2017 Sep 29;75(7). doi: 10.1093/femspd/ftx081.","Pathog Dis.  2017","PubMed","citation","PMID:28830072","pubmed","28830072","create date:2017/08/24 | first author:Smelov V",
"An integrated expression atlas of miRNAs and their promoters in human and mouse.","/pubmed/28829439","de Rie D, Abugessaisa I, Alam T, Arner E, Arner P, Ashoor H, Åström G, Babina M, Bertin N, Burroughs AM, Carlisle AJ, Daub CO, Detmar M, Deviatiiarov R, Fort A, Gebhard C, Goldowitz D, Guhl S, Ha TJ, Harshbarger J, Hasegawa A, Hashimoto K, et al.","Nat Biotechnol. 2017 Aug 21. doi: 10.1038/nbt.3947. [Epub ahead of print]","Nat Biotechnol.  2017","PubMed","citation","PMID:28829439","pubmed","28829439","create date:2017/08/23 | first author:de Rie D",
"Reduced immunoglobulin gene diversity in patients with Cornelia de Lange syndrome.","/pubmed/28826797","Björkman A, Du L, van der Burg M, Cormier-Daire V, Borck G, Pié J, Anderlid BM, Hammarström L, Ström L, Villartay JP, Kipling D, Walters DD, Pan-Hammarström Q.","J Allergy Clin Immunol. 2017 Aug 4. pii: S0091-6749(17)31266-6. doi: 10.1016/j.jaci.2017.06.043. [Epub ahead of print]","J Allergy Clin Immunol.  2017","PubMed","citation","PMID:28826797","pubmed","28826797","create date:2017/08/23 | first author:Björkman A",
