Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The ninth ENBDC Weggis meeting: growth and in-depth characterisation of normal and neoplastic breast cells.","/pubmed/28830566","Wiese KE, Amante RJ, Vivanco MD, Bentires-Alj M, Iggo RD.","Breast Cancer Res. 2017 Aug 22;19(1):96. doi: 10.1186/s13058-017-0891-9.","Breast Cancer Res.  2017","PubMed","citation","PMID:28830566","pubmed","28830566","create date:2017/08/24 | first author:Wiese KE",
"Cardiac Metabolic Deregulation Induced by the Tyrosine Kinase Receptor Inhibitor Sunitinib is rescued by Endothelin Receptor Antagonism.","/pubmed/28824714","Sourdon J, Lager F, Viel T, Balvay D, Moorhouse R, Bennana E, Renault G, Tharaux PL, Dhaun N, Tavitian B.","Theranostics. 2017 Jul 8;7(11):2757-2774. doi: 10.7150/thno.19551. eCollection 2017.","Theranostics.  2017","PubMed","citation","PMID:28824714 | PMCID:PMC5562214","pubmed","28824714","create date:2017/08/22 | first author:Sourdon J",
"Transposon Sequencing Uncovers an Essential Regulatory Function of Phosphoribulokinase for Methylotrophy.","/pubmed/28823675","Ochsner AM, Christen M, Hemmerle L, Peyraud R, Christen B, Vorholt JA.","Curr Biol. 2017 Aug 9. pii: S0960-9822(17)30883-7. doi: 10.1016/j.cub.2017.07.025. [Epub ahead of print]","Curr Biol.  2017","PubMed","citation","PMID:28823675","pubmed","28823675","create date:2017/08/22 | first author:Ochsner AM",
"A Simple Light Isotope Metabolic labeling (SLIM-labeling) strategy: a powerful tool to address the dynamics of proteome variations in vivo.","/pubmed/28821603","Léger T, Garcia C, Collomb L, Camadro JM.","Mol Cell Proteomics. 2017 Aug 18. pii: mcp.M117.066936. doi: 10.1074/mcp.M117.066936. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28821603","pubmed","28821603","create date:2017/08/20 | first author:Léger T",
"Genomic, transcriptomic, and proteomic approaches towards understanding the molecular mechanisms of salt tolerance in Frankia strains isolated from Casuarina trees.","/pubmed/28821232","Oshone R, Ngom M, Chu F, Mansour S, Sy MO, Champion A, Tisa LS.","BMC Genomics. 2017 Aug 18;18(1):633. doi: 10.1186/s12864-017-4056-0.","BMC Genomics.  2017","PubMed","citation","PMID:28821232 | PMCID:PMC5563000","pubmed","28821232","create date:2017/08/20 | first author:Oshone R",
"A Microsomal Proteomics View of H₂O₂- and ABA-Dependent Responses.","/pubmed/28820483","Alqurashi M, Thomas L, Gehring C, Marondedze C.","Proteomes. 2017 Aug 18;5(3). pii: E22. doi: 10.3390/proteomes5030022.","Proteomes.  2017","PubMed","citation","PMID:28820483","pubmed","28820483","create date:2017/08/19 | first author:Alqurashi M",
"Cell wall modifications of two Arabidopsis thaliana ecotypes, Col and Sha, in response to sub-optimal growth conditions: An integrative study.","/pubmed/28818374","Duruflé H, Hervé V, Ranocha P, Balliau T, Zivy M, Chourré J, San Clemente H, Burlat V, Albenne C, Déjean S, Jamet E, Dunand C.","Plant Sci. 2017 Oct;263:183-193. doi: 10.1016/j.plantsci.2017.07.015. Epub 2017 Jul 20.","Plant Sci.  2017","PubMed","citation","PMID:28818374","pubmed","28818374","create date:2017/08/19 | first author:Duruflé H",
"Mutations in KEOPS-complex genes cause nephrotic syndrome with primary microcephaly.","/pubmed/28805828","Braun DA, Rao J, Mollet G, Schapiro D, Daugeron MC, Tan W, Gribouval O, Boyer O, Revy P, Jobst-Schwan T, Schmidt JM, Lawson JA, Schanze D, Ashraf S, Ullmann JFP, Hoogstraten CA, Boddaert N, Collinet B, Martin G, Liger D, Lovric S, Furlano M, et al.","Nat Genet. 2017 Aug 14. doi: 10.1038/ng.3933. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28805828","pubmed","28805828","create date:2017/08/15 | first author:Braun DA",
"Comparative analysis of basidiomycete transcriptomes reveals a core set of expressed genes encoding plant biomass degrading enzymes.","/pubmed/28803908","Peng M, Aguilar-Pontes MV, Hainaut M, Henrissat B, Hildén K, Mäkelä MR, de Vries RP.","Fungal Genet Biol. 2017 Aug 10. pii: S1087-1845(17)30129-9. doi: 10.1016/j.fgb.2017.08.001. [Epub ahead of print]","Fungal Genet Biol.  2017","PubMed","citation","PMID:28803908","pubmed","28803908","create date:2017/08/15 | first author:Peng M",
"Methylation of DNA Ligase 1 by G9a/GLP Recruits UHRF1 to Replicating DNA and Regulates DNA Methylation.","/pubmed/28803780","Ferry L, Fournier A, Tsusaka T, Adelmant G, Shimazu T, Matano S, Kirsh O, Amouroux R, Dohmae N, Suzuki T, Filion GJ, Deng W, de Dieuleveult M, Fritsch L, Kudithipudi S, Jeltsch A, Leonhardt H, Hajkova P, Marto JA, Arita K, Shinkai Y, Defossez PA.","Mol Cell. 2017 Aug 17;67(4):550-565.e5. doi: 10.1016/j.molcel.2017.07.012. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803780","pubmed","28803780","create date:2017/08/15 | first author:Ferry L",
"Vitreous amyloidosis with autonomic neuropathy of the digestive tract associated with a novel transthyretin p.Gly87Arg variant in a Bangladeshi patient: a case report.","/pubmed/28802308","Terrier B, Colombat M, Beugnet C, Quéant A, London J, Daudin JB, Le Jeunne C, Mouthon L, Monnet D, Cauquil C, Lacroix C, Adams D, Brézin A, Valleix S.","J Med Case Rep. 2017 Aug 13;11(1):222. doi: 10.1186/s13256-017-1407-z.","J Med Case Rep.  2017","PubMed","citation","PMID:28802308 | PMCID:PMC5554541","pubmed","28802308","create date:2017/08/15 | first author:Terrier B",
"β-Catenin Knockdown Affects Mitochondrial Biogenesis and Lipid Metabolism in Breast Cancer Cells.","/pubmed/28798698","Vergara D, Stanca E, Guerra F, Priore P, Gaballo A, Franck J, Simeone P, Trerotola M, De Domenico S, Fournier I, Bucci C, Salzet M, Giudetti AM, Maffia M.","Front Physiol. 2017 Jul 27;8:544. doi: 10.3389/fphys.2017.00544. eCollection 2017.","Front Physiol.  2017","PubMed","citation","PMID:28798698 | PMCID:PMC5529387","pubmed","28798698","create date:2017/08/12 | first author:Vergara D",
"Biomarker research to improve clinical outcomes of peritoneal dialysis: consensus of the European Training and Research in Peritoneal Dialysis (EuTRiPD) network.","/pubmed/28797473","Aufricht C, Beelen R, Eberl M, Fischbach M, Fraser D, Jörres A, Kratochwill K, LópezCabrera M, Rutherford P, Schmitt CP, Topley N, Witowski J.","Kidney Int. 2017 Aug 8. pii: S0085-2538(17)30419-2. doi: 10.1016/j.kint.2017.02.037. [Epub ahead of print] Review.","Kidney Int.  2017","PubMed","citation","PMID:28797473","pubmed","28797473","create date:2017/08/12 | first author:Aufricht C",
"Systems and synthetic biology perspective of the versatile plant-pathogenic and polysaccharide-producing bacterium Xanthomonas campestris.","/pubmed/28795660","Schatschneider S, Schneider J, Blom J, Létisse F, Niehaus K, Goesmann A, Vorhölter FJ.","Microbiology. 2017 Aug;163(8):1117-1144. doi: 10.1099/mic.0.000473. Epub 2017 Aug 10.","Microbiology.  2017","PubMed","citation","PMID:28795660","pubmed","28795660","create date:2017/08/11 | first author:Schatschneider S",
"Lumican delays melanoma growth in mice and drives tumor molecular assembly as well as response to matrix-targeted TAX2 therapeutic peptide.","/pubmed/28794454","Jeanne A, Untereiner V, Perreau C, Proult I, Gobinet C, Boulagnon-Rombi C, Terryn C, Martiny L, Brézillon S, Dedieu S.","Sci Rep. 2017 Aug 9;7(1):7700. doi: 10.1038/s41598-017-07043-9.","Sci Rep.  2017","PubMed","citation","PMID:28794454 | PMCID:PMC5550434","pubmed","28794454","create date:2017/08/11 | first author:Jeanne A",
"Quantitative Proteomic Analysis Reveals Changes in the Benchmark Corynebacterium pseudotuberculosis Biovar Equi Exoproteome after Passage in a Murine Host.","/pubmed/28791255","Silva WM, Carvalho RDO, Dorella FA, Folador EL, Souza GHMF, Pimenta AMC, Figueiredo HCP, Le Loir Y, Silva A, Azevedo V.","Front Cell Infect Microbiol. 2017 Jul 25;7:325. doi: 10.3389/fcimb.2017.00325. eCollection 2017.","Front Cell Infect Microbiol.  2017","PubMed","citation","PMID:28791255 | PMCID:PMC5524672","pubmed","28791255","create date:2017/08/10 | first author:Silva WM",
"A Combination of Histological, Physiological, and Proteomic Approaches Shed Light on Seed Desiccation Tolerance of the Basal Angiosperm Amborella trichopoda.","/pubmed/28788068","Villegente M, Marmey P, Job C, Galland M, Cueff G, Godin B, Rajjou L, Balliau T, Zivy M, Fogliani B, Sarramegna-Burtet V, Job D.","Proteomes. 2017 Jul 28;5(3). pii: E19. doi: 10.3390/proteomes5030019.","Proteomes.  2017","PubMed","citation","PMID:28788068","pubmed","28788068","create date:2017/08/10 | first author:Villegente M",
