Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Siglec-H is a microglia-specific marker that discriminates microglia from CNS-associated macrophages and CNS-infiltrating monocytes.","/pubmed/28836308","Konishi H, Kobayashi M, Kunisawa T, Imai K, Sayo A, Malissen B, Crocker PR, Sato K, Kiyama H.","Glia. 2017 Aug 24. doi: 10.1002/glia.23204. [Epub ahead of print]","Glia.  2017","PubMed","citation","PMID:28836308","pubmed","28836308","create date:2017/08/25 | first author:Konishi H",
"Whole transcriptome data of zebrafish exposed to chronic dose of depleted uranium.","/pubmed/28831411","Armant O, Gombeau K, Guillermin CA.","Data Brief. 2017 Jul 28;14:474-482. doi: 10.1016/j.dib.2017.07.071. eCollection 2017 Oct.","Data Brief.  2017","PubMed","citation","PMID:28831411 | PMCID:PMC5554979","pubmed","28831411","create date:2017/08/24 | first author:Armant O",
"Comparing the intestinal transcriptome of Meishan and Large White piglets during late fetal development reveals genes involved in glucose and lipid metabolism and immunity as valuable clues of intestinal maturity.","/pubmed/28830381","Yao Y, Voillet V, Jegou M, SanCristobal M, Dou S, Romé V, Lippi Y, Billon Y, Père MC, Boudry G, Gress L, Iannucelli N, Mormède P, Quesnel H, Canario L, Liaubet L, Le Huërou-Luron I.","BMC Genomics. 2017 Aug 22;18(1):647. doi: 10.1186/s12864-017-4001-2.","BMC Genomics.  2017","PubMed","citation","PMID:28830381","pubmed","28830381","create date:2017/08/24 | first author:Yao Y",
"Transcriptional regulatory network of WOX11 is involved in the control of crown root development, cytokinin signals, and redox in rice.","/pubmed/28830102","Jiang W, Zhou S, Zhang Q, Song H, Zhou DX, Zhao Y.","J Exp Bot. 2017 May 17;68(11):2787-2798. doi: 10.1093/jxb/erx153.","J Exp Bot.  2017","PubMed","citation","PMID:28830102","pubmed","28830102","create date:2017/08/24 | first author:Jiang W",
"Integrated analysis of mRNA and miRNA expression in HeLa cells expressing low levels of Nucleolin.","/pubmed/28827664","Kumar S, Gomez EC, Chalabi-Dchar M, Rong C, Das S, Ugrinova I, Gaume X, Monier K, Mongelard F, Bouvet P.","Sci Rep. 2017 Aug 21;7(1):9017. doi: 10.1038/s41598-017-09353-4.","Sci Rep.  2017","PubMed","citation","PMID:28827664","pubmed","28827664","create date:2017/08/23 | first author:Kumar S",
"Asynchronous lineage priming determines commitment to T cell and B cell lineages in fetal liver.","/pubmed/28825702","Berthault C, Ramond C, Burlen-Defranoux O, Soubigou G, Chea S, Golub R, Pereira P, Vieira P, Cumano A.","Nat Immunol. 2017 Aug 21. doi: 10.1038/ni.3820. [Epub ahead of print]","Nat Immunol.  2017","PubMed","citation","PMID:28825702","pubmed","28825702","create date:2017/08/22 | first author:Berthault C",
"Measurement of Transcripts Associated with Photorespiration and Related Redox Signaling.","/pubmed/28822123","Mhamdi A, Kerchev PI, Willems P, Noctor G, Van Breusegem F.","Methods Mol Biol. 2017;1653:17-29. doi: 10.1007/978-1-4939-7225-8_2.","Methods Mol Biol.  2017","PubMed","citation","PMID:28822123","pubmed","28822123","create date:2017/08/20 | first author:Mhamdi A",
"Transcriptomic, biochemical and physio-anatomical investigations shed more light on responses to drought stress in two contrasting sesame genotypes.","/pubmed/28821876","Dossa K, Li D, Wang L, Zheng X, Liu A, Yu J, Wei X, Zhou R, Fonceka D, Diouf D, Liao B, Cissé N, Zhang X.","Sci Rep. 2017 Aug 18;7(1):8755. doi: 10.1038/s41598-017-09397-6.","Sci Rep.  2017","PubMed","citation","PMID:28821876 | PMCID:PMC5562740","pubmed","28821876","create date:2017/08/20 | first author:Dossa K",
"Genomic, transcriptomic, and proteomic approaches towards understanding the molecular mechanisms of salt tolerance in Frankia strains isolated from Casuarina trees.","/pubmed/28821232","Oshone R, Ngom M, Chu F, Mansour S, Sy MO, Champion A, Tisa LS.","BMC Genomics. 2017 Aug 18;18(1):633. doi: 10.1186/s12864-017-4056-0.","BMC Genomics.  2017","PubMed","citation","PMID:28821232 | PMCID:PMC5563000","pubmed","28821232","create date:2017/08/20 | first author:Oshone R",
"Cell wall modifications of two Arabidopsis thaliana ecotypes, Col and Sha, in response to sub-optimal growth conditions: An integrative study.","/pubmed/28818374","Duruflé H, Hervé V, Ranocha P, Balliau T, Zivy M, Chourré J, San Clemente H, Burlat V, Albenne C, Déjean S, Jamet E, Dunand C.","Plant Sci. 2017 Oct;263:183-193. doi: 10.1016/j.plantsci.2017.07.015. Epub 2017 Jul 20.","Plant Sci.  2017","PubMed","citation","PMID:28818374","pubmed","28818374","create date:2017/08/19 | first author:Duruflé H",
