Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Dimethyl-Labeling-Based Quantification of the Lysine Acetylome and Proteome of Plants.","/pubmed/28822126","Lassowskat I, Hartl M, Hosp F, Boersema PJ, Mann M, Finkemeier I.","Methods Mol Biol. 2017;1653:65-81. doi: 10.1007/978-1-4939-7225-8_5.","Methods Mol Biol.  2017","PubMed","citation","PMID:28822126","pubmed","28822126","create date:2017/08/20 | first author:Lassowskat I",
"Systematic Identification of MCU Modulators by Orthogonal Interspecies Chemical Screening.","/pubmed/28820965","Arduino DM, Wettmarshausen J, Vais H, Navas-Navarro P, Cheng Y, Leimpek A, Ma Z, Delrio-Lorenzo A, Giordano A, Garcia-Perez C, Médard G, Kuster B, García-Sancho J, Mokranjac D, Foskett JK, Alonso MT, Perocchi F.","Mol Cell. 2017 Aug 17;67(4):711-723.e7. doi: 10.1016/j.molcel.2017.07.019.","Mol Cell.  2017","PubMed","citation","PMID:28820965","pubmed","28820965","create date:2017/08/19 | first author:Arduino DM",
"Landscape of submitochondrial protein distribution.","/pubmed/28819139","Vögtle FN, Burkhart JM, Gonczarowska-Jorge H, Kücükköse C, Taskin AA, Kopczynski D, Ahrends R, Mossmann D, Sickmann A, Zahedi RP, Meisinger C.","Nat Commun. 2017 Aug 18;8(1):290. doi: 10.1038/s41467-017-00359-0.","Nat Commun.  2017","PubMed","citation","PMID:28819139","pubmed","28819139","create date:2017/08/19 | first author:Vögtle FN",
"A combined bile and urine proteomic test for cholangiocarcinoma diagnosis in patients with biliary strictures of unknown origin.","/pubmed/28815030","Voigtländer T, Metzger J, Schönemeier B, Jäger M, Mischak H, Manns MP, Lankisch TO.","United European Gastroenterol J. 2017 Aug;5(5):668-676. doi: 10.1177/2050640616687836. Epub 2017 Jan 11.","United European Gastroenterol J.  2017","PubMed","citation","PMID:28815030 | PMCID:PMC5548357","pubmed","28815030","create date:2017/08/18 | first author:Voigtländer T",
"Polylox barcoding reveals haematopoietic stem cell fates realized in vivo.","/pubmed/28813413","Pei W, Feyerabend TB, Rössler J, Wang X, Postrach D, Busch K, Rode I, Klapproth K, Dietlein N, Quedenau C, Chen W, Sauer S, Wolf S, Höfer T, Rodewald HR.","Nature. 2017 Aug 16. doi: 10.1038/nature23653. [Epub ahead of print]","Nature.  2017","PubMed","citation","PMID:28813413","pubmed","28813413","create date:2017/08/17 | first author:Pei W",
"The mTORC1-4E-BP-eIF4E axis controls de novo Bcl6 protein synthesis in T cells and systemic autoimmunity.","/pubmed/28811467","Yi W, Gupta S, Ricker E, Manni M, Jessberger R, Chinenov Y, Molina H, Pernis AB.","Nat Commun. 2017 Aug 15;8(1):254. doi: 10.1038/s41467-017-00348-3.","Nat Commun.  2017","PubMed","citation","PMID:28811467 | PMCID:PMC5557982","pubmed","28811467","create date:2017/08/16 | first author:Yi W",
"Twenty years of menin: emerging opportunities for restoration of transcription in MEN1.","/pubmed/28811299","Dreijerink KMA, Timmers M, Brown M.","Endocr Relat Cancer. 2017 Aug 15. pii: ERC-17-0281. doi: 10.1530/ERC-17-0281. [Epub ahead of print]","Endocr Relat Cancer.  2017","PubMed","citation","PMID:28811299","pubmed","28811299","create date:2017/08/16 | first author:Dreijerink KMA",
"Monitoring Dynamic Changes of the Cell Surface Glycoproteome by Quantitative Proteomics.","/pubmed/28808994","Kalxdorf M, Eberl HC, Bantscheff M.","Methods Mol Biol. 2017;1647:47-59. doi: 10.1007/978-1-4939-7201-2_3.","Methods Mol Biol.  2017","PubMed","citation","PMID:28808994","pubmed","28808994","create date:2017/08/16 | first author:Kalxdorf M",
"Data on the impact of the blood sample collection methods on blood protein profiling studies.","/pubmed/28808673","Ilies M, Iuga CA, Loghin F, Dhople VM, Thiele T, Völker U, Hammer E.","Data Brief. 2017 Jul 14;14:313-319. doi: 10.1016/j.dib.2017.07.025. eCollection 2017 Oct.","Data Brief.  2017","PubMed","citation","PMID:28808673 | PMCID:PMC5544472","pubmed","28808673","create date:2017/08/16 | first author:Ilies M",
"Concentration dependent transcriptome responses of zebrafish embryos after exposure to cadmium, cobalt and copper.","/pubmed/28806688","Sonnack L, Klawonn T, Kriehuber R, Hollert H, Schäfers C, Fenske M.","Comp Biochem Physiol Part D Genomics Proteomics. 2017 Aug 2;24:29-40. doi: 10.1016/j.cbd.2017.07.004. [Epub ahead of print]","Comp Biochem Physiol Part D Genomics Proteomics.  2017","PubMed","citation","PMID:28806688","pubmed","28806688","create date:2017/08/15 | first author:Sonnack L",
"Advances in stem cell proteomics.","/pubmed/28806595","Abazova N, Krijgsveld J.","Curr Opin Genet Dev. 2017 Aug 11;46:149-155. doi: 10.1016/j.gde.2017.07.007. [Epub ahead of print] Review.","Curr Opin Genet Dev.  2017","PubMed","citation","PMID:28806595","pubmed","28806595","create date:2017/08/15 | first author:Abazova N",
"Mutations in KEOPS-complex genes cause nephrotic syndrome with primary microcephaly.","/pubmed/28805828","Braun DA, Rao J, Mollet G, Schapiro D, Daugeron MC, Tan W, Gribouval O, Boyer O, Revy P, Jobst-Schwan T, Schmidt JM, Lawson JA, Schanze D, Ashraf S, Ullmann JFP, Hoogstraten CA, Boddaert N, Collinet B, Martin G, Liger D, Lovric S, Furlano M, et al.","Nat Genet. 2017 Aug 14. doi: 10.1038/ng.3933. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28805828","pubmed","28805828","create date:2017/08/15 | first author:Braun DA",
"Methylation of DNA Ligase 1 by G9a/GLP Recruits UHRF1 to Replicating DNA and Regulates DNA Methylation.","/pubmed/28803780","Ferry L, Fournier A, Tsusaka T, Adelmant G, Shimazu T, Matano S, Kirsh O, Amouroux R, Dohmae N, Suzuki T, Filion GJ, Deng W, de Dieuleveult M, Fritsch L, Kudithipudi S, Jeltsch A, Leonhardt H, Hajkova P, Marto JA, Arita K, Shinkai Y, Defossez PA.","Mol Cell. 2017 Aug 17;67(4):550-565.e5. doi: 10.1016/j.molcel.2017.07.012. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803780","pubmed","28803780","create date:2017/08/15 | first author:Ferry L",
"Molecular signature of complex regional pain syndrome (CRPS) and its analysis.","/pubmed/28803495","König S, Schlereth T, Birklein F.","Expert Rev Proteomics. 2017 Aug 17:1-11. doi: 10.1080/14789450.2017.1366859. [Epub ahead of print]","Expert Rev Proteomics.  2017","PubMed","citation","PMID:28803495","pubmed","28803495","create date:2017/08/15 | first author:König S",
"Proteomic profiling of the dystrophin complex and membrane fraction from dystrophic mdx muscle reveals decreases in the cytolinker desmoglein and increases in the extracellular matrix stabilizers biglycan and fibronectin.","/pubmed/28803268","Murphy S, Brinkmeier H, Krautwald M, Henry M, Meleady P, Ohlendieck K.","J Muscle Res Cell Motil. 2017 Aug 12. doi: 10.1007/s10974-017-9478-4. [Epub ahead of print]","J Muscle Res Cell Motil.  2017","PubMed","citation","PMID:28803268","pubmed","28803268","create date:2017/08/15 | first author:Murphy S",
"Acyl modification and binding of mitochondrial ACP to multiprotein complexes.","/pubmed/28802701","Angerer H, Schönborn S, Gorka J, Bahr U, Karas M, Wittig I, Heidler J, Hoffmann J, Morgner N, Zickermann V.","Biochim Biophys Acta. 2017 Aug 9;1864(10):1913-1920. doi: 10.1016/j.bbamcr.2017.08.006. [Epub ahead of print]","Biochim Biophys Acta.  2017","PubMed","citation","PMID:28802701","pubmed","28802701","create date:2017/08/15 | first author:Angerer H",
"MALDI Imaging-Guided Microproteomic Analyses of Heterogeneous Breast Tumors - A Pilot Study.","/pubmed/28801933","Alberts D, Pottier C, Smargiasso N, Baiwir D, Mazzucchelli G, Delvenne P, Kriegsmann M, Kazdal D, Warth A, De Pauw E, Longuespée R.","Proteomics Clin Appl. 2017 Aug 11. doi: 10.1002/prca.201700062. [Epub ahead of print]","Proteomics Clin Appl.  2017","PubMed","citation","PMID:28801933","pubmed","28801933","create date:2017/08/13 | first author:Alberts D",
"Multimodal laser ablation/desorption imaging analysis of Zn and MMP-11 in breast tissues.","/pubmed/28801789","de Vega RG, Sanchez MLF, Eiro N, Vizoso FJ, Sperling M, Karst U, Medel AS.","Anal Bioanal Chem. 2017 Aug 12. doi: 10.1007/s00216-017-0537-x. [Epub ahead of print]","Anal Bioanal Chem.  2017","PubMed","citation","PMID:28801789","pubmed","28801789","create date:2017/08/13 | first author:de Vega RG",
