Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Transient exposure to oxygen or nitrate reveals ecophysiology of fermentative and sulfate-reducing benthic microbial populations.","/pubmed/28836729","Abdulrahman Beiruti Z, Bhatnagar S, Tegetmeyer HE, Geelhoed JS, Strous M, Ruff SE.","Environ Microbiol. 2017 Aug 24. doi: 10.1111/1462-2920.13895. [Epub ahead of print]","Environ Microbiol.  2017","PubMed","citation","PMID:28836729","pubmed","28836729","create date:2017/08/25 | first author:Abdulrahman Beiruti Z",
"Pervasive coexpression of spatially proximal genes is buffered at the protein level.","/pubmed/28835372","Kustatscher G, Grabowski P, Rappsilber J.","Mol Syst Biol. 2017 Aug 23;13(8):937. doi: 10.15252/msb.20177548.","Mol Syst Biol.  2017","PubMed","citation","PMID:28835372","pubmed","28835372","create date:2017/08/25 | first author:Kustatscher G",
"Identification of novel molecular signatures of IgA nephropathy through an integrative -omics analysis.","/pubmed/28831120","Krochmal M, Cisek K, Filip S, Markoska K, Orange C, Zoidakis J, Gakiopoulou C, Spasovski G, Mischak H, Delles C, Vlahou A, Jankowski J.","Sci Rep. 2017 Aug 22;7(1):9091. doi: 10.1038/s41598-017-09393-w.","Sci Rep.  2017","PubMed","citation","PMID:28831120","pubmed","28831120","create date:2017/08/24 | first author:Krochmal M",
"Antagonistic Activities of Sox2 and Brachyury Control the Fate Choice of Neuro-Mesodermal Progenitors.","/pubmed/28826820","Koch F, Scholze M, Wittler L, Schifferl D, Sudheer S, Grote P, Timmermann B, Macura K, Herrmann BG.","Dev Cell. 2017 Aug 9. pii: S1534-5807(17)30597-X. doi: 10.1016/j.devcel.2017.07.021. [Epub ahead of print]","Dev Cell.  2017","PubMed","citation","PMID:28826820","pubmed","28826820","create date:2017/08/23 | first author:Koch F",
"Aspergillus niger Secretes Citrate to Increase Iron Bioavailability.","/pubmed/28824560","Odoni DI, van Gaal MP, Schonewille T, Tamayo-Ramos JA, Martins Dos Santos VAP, Suarez-Diez M, Schaap PJ.","Front Microbiol. 2017 Aug 2;8:1424. doi: 10.3389/fmicb.2017.01424. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824560 | PMCID:PMC5539119","pubmed","28824560","create date:2017/08/22 | first author:Odoni DI",
"Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts.","/pubmed/28819298","Shved N, Warsow G, Eichinger F, Hoogewijs D, Brandt S, Wild P, Kretzler M, Cohen CD, Lindenmeyer MT.","Sci Rep. 2017 Aug 17;7(1):8576. doi: 10.1038/s41598-017-08492-y.","Sci Rep.  2017","PubMed","citation","PMID:28819298 | PMCID:PMC5561250","pubmed","28819298","create date:2017/08/19 | first author:Shved N",
"Standardized, systemic phenotypic analysis reveals kidney dysfunction as main alteration of Kctd1 (I27N) mutant mice.","/pubmed/28818080","Kumar S, Rathkolb B, Sabrautzki S, Krebs S, Kemter E, Becker L, Beckers J, Bekeredjian R, Brommage R, Calzada-Wack J, Garrett L, Hölter SM, Horsch M, Klingenspor M, Klopstock T, Moreth K, Neff F, Rozman J, Fuchs H, Gailus-Durner V, Hrabe de Angelis M, Wolf E, et al.","J Biomed Sci. 2017 Aug 17;24(1):57. doi: 10.1186/s12929-017-0365-5.","J Biomed Sci.  2017","PubMed","citation","PMID:28818080 | PMCID:PMC5559776","pubmed","28818080","create date:2017/08/19 | first author:Kumar S",
"Association of coral algal symbionts with a diverse viral community responsive to heat shock.","/pubmed/28818037","Brüwer JD, Agrawal S, Liew YJ, Aranda M, Voolstra CR.","BMC Microbiol. 2017 Aug 17;17(1):174. doi: 10.1186/s12866-017-1084-5.","BMC Microbiol.  2017","PubMed","citation","PMID:28818037 | PMCID:PMC5561611","pubmed","28818037","create date:2017/08/19 | first author:Brüwer JD",
"Morphologic, phenotypic, and transcriptomic characterization of classically and alternatively activated canine blood-derived macrophages in vitro.","/pubmed/28817687","Heinrich F, Lehmbecker A, Raddatz BB, Kegler K, Tipold A, Stein VM, Kalkuhl A, Deschl U, Baumgärtner W, Ulrich R, Spitzbarth I.","PLoS One. 2017 Aug 17;12(8):e0183572. doi: 10.1371/journal.pone.0183572. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28817687","pubmed","28817687","create date:2017/08/18 | first author:Heinrich F",
"Time-resolved transcriptome analysis and lipid pathway reconstruction of the oleaginous green microalga Monoraphidium neglectum reveal a model for triacylglycerol and lipid hyperaccumulation.","/pubmed/28814974","Jaeger D, Winkler A, Mussgnug JH, Kalinowski J, Goesmann A, Kruse O.","Biotechnol Biofuels. 2017 Aug 14;10:197. doi: 10.1186/s13068-017-0882-1. eCollection 2017.","Biotechnol Biofuels.  2017","PubMed","citation","PMID:28814974 | PMCID:PMC5556983","pubmed","28814974","create date:2017/08/18 | first author:Jaeger D",
"Genetic regulatory effects modified by immune activation contribute to autoimmune disease associations.","/pubmed/28814792","Kim-Hellmuth S, Bechheim M, Pütz B, Mohammadi P, Nédélec Y, Giangreco N, Becker J, Kaiser V, Fricker N, Beier E, Boor P, Castel SE, Nöthen MM, Barreiro LB, Pickrell JK, Müller-Myhsok B, Lappalainen T, Schumacher J, Hornung V.","Nat Commun. 2017 Aug 16;8(1):266. doi: 10.1038/s41467-017-00366-1.","Nat Commun.  2017","PubMed","citation","PMID:28814792 | PMCID:PMC5559603","pubmed","28814792","create date:2017/08/18 | first author:Kim-Hellmuth S",
"Zygotic Genome Activation Occurs Shortly After Fertilization in Maize.","/pubmed/28814645","Chen J, Strieder N, Krohn NG, Cyprys P, Sprunck S, Engelmann JC, Dresselhaus T.","Plant Cell. 2017 Aug 16. pii: tpc.00099.2017. doi: 10.1105/tpc.17.00099. [Epub ahead of print]","Plant Cell.  2017","PubMed","citation","PMID:28814645","pubmed","28814645","create date:2017/08/18 | first author:Chen J",
"Sex and tissue specific gene expression patterns identified following de novo transcriptomic analysis of the Norway lobster, Nephrops norvegicus.","/pubmed/28814267","Rotllant G, Nguyen TV, Sbragaglia V, Rahi L, Dudley KJ, Hurwood D, Ventura T, Company JB, Chand V, Aguzzi J, Mather PB.","BMC Genomics. 2017 Aug 16;18(1):622. doi: 10.1186/s12864-017-3981-2.","BMC Genomics.  2017","PubMed","citation","PMID:28814267 | PMCID:PMC5559819","pubmed","28814267","create date:2017/08/18 | first author:Rotllant G",
"A Step-by-Step Guide to Assemble a Reptilian Genome.","/pubmed/28809013","Ullate-Agote A, Chan YF, Tzika AC.","Methods Mol Biol. 2017;1650:47-67. doi: 10.1007/978-1-4939-7216-6_3.","Methods Mol Biol.  2017","PubMed","citation","PMID:28809013","pubmed","28809013","create date:2017/08/16 | first author:Ullate-Agote A",
