Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Searching for signatures across microbial communities: Metagenomic analysis of soil samples from mangrove and other ecosystems.","/pubmed/28821820","Imchen M, Kumavath R, Barh D, Avezedo V, Ghosh P, Viana M, Wattam AR.","Sci Rep. 2017 Aug 18;7(1):8859. doi: 10.1038/s41598-017-09254-6.","Sci Rep.  2017","PubMed","citation","PMID:28821820","pubmed","28821820","create date:2017/08/20 | first author:Imchen M",
"ATF3 negatively regulates cellular antiviral signaling and autophagy in the absence of type I interferons.","/pubmed/28821775","Sood V, Sharma KB, Gupta V, Saha D, Dhapola P, Sharma M, Sen U, Kitajima S, Chowdhury S, Kalia M, Vrati S.","Sci Rep. 2017 Aug 18;7(1):8789. doi: 10.1038/s41598-017-08584-9.","Sci Rep.  2017","PubMed","citation","PMID:28821775","pubmed","28821775","create date:2017/08/20 | first author:Sood V",
"Arjunolic Acid, a Peroxisome Proliferator-Activated Receptor Alpha Agonist Regresses Cardiac Fibrosis by Inhibiting Non-canonical TGF-β Signaling.","/pubmed/28821620","Bansal T, Chatterjee E, Singh J, Ray A, Kundu B, Thankamani V, Sengupta S, Sarkar S.","J Biol Chem. 2017 Aug 18. pii: jbc.M117.788299. doi: 10.1074/jbc.M117.788299. [Epub ahead of print]","J Biol Chem.  2017","PubMed","citation","PMID:28821620","pubmed","28821620","create date:2017/08/20 | first author:Bansal T",
"Enhanced post wash retention of combed DNA molecules by varying multiple combing parameters.","/pubmed/28821423","Yadav H.","Anal Biochem. 2017 Aug 15. pii: S0003-2697(17)30348-2. doi: 10.1016/j.ab.2017.08.008. [Epub ahead of print]","Anal Biochem.  2017","PubMed","citation","PMID:28821423","pubmed","28821423","create date:2017/08/20 | first author:Yadav H",
"Genetic Dissection of Seedling Stage Salinity Tolerance in Rice Using Introgression Lines of a Salt Tolerant Landrace Nona Bokra.","/pubmed/28821187","Puram VRR, Ontoy J, Linscombe S, Subudhi PK.","J Hered. 2017 Sep 1;108(6):658-670. doi: 10.1093/jhered/esx067.","J Hered.  2017","PubMed","citation","PMID:28821187","pubmed","28821187","create date:2017/08/20 | first author:Puram VRR",
"Enzyme sensitive smart inulin-dehydropeptide conjugate self-assembles into nanostructures useful for targeted delivery of ornidazole.","/pubmed/28818724","Shivhare K, Garg C, Priyam A, Gupta A, Sharma AK, Kumar P.","Int J Biol Macromol. 2017 Aug 14. pii: S0141-8130(17)32498-4. doi: 10.1016/j.ijbiomac.2017.08.071. [Epub ahead of print]","Int J Biol Macromol.  2017","PubMed","citation","PMID:28818724","pubmed","28818724","create date:2017/08/19 | first author:Shivhare K",
"RNA sequencing of db/db mice liver identifies lncRNA H19 as a key regulator of gluconeogenesis and hepatic glucose output.","/pubmed/28814771","Goyal N, Sivadas A, Shamsudheen KV, Jayarajan R, Verma A, Sivasubbu S, Scaria V, Datta M.","Sci Rep. 2017 Aug 16;7(1):8312. doi: 10.1038/s41598-017-08281-7.","Sci Rep.  2017","PubMed","citation","PMID:28814771 | PMCID:PMC5559625","pubmed","28814771","create date:2017/08/18 | first author:Goyal N",
"Fetal-type gastrointestinal adenocarcinoma: a morphologically distinct entity with unfavourable prognosis.","/pubmed/28814568","Arora K, Bal M, Shih A, Moy A, Zukerberg L, Brown I, Liu X, Kelly P, Oliva E, Mullen J, Ahn S, Kim KM, Deshpande V.","J Clin Pathol. 2017 Aug 16. pii: jclinpath-2017-204535. doi: 10.1136/jclinpath-2017-204535. [Epub ahead of print]","J Clin Pathol.  2017","PubMed","citation","PMID:28814568","pubmed","28814568","create date:2017/08/18 | first author:Arora K",
"Detection of First-Line Drug Resistance Mutations and Drug-Protein Interaction Dynamics from Tuberculosis Patients in South India.","/pubmed/28813625","Nachappa SA, Neelambike SM, Amruthavalli C, Ramachandra NB.","Microb Drug Resist. 2017 Aug 16. doi: 10.1089/mdr.2017.0048. [Epub ahead of print]","Microb Drug Resist.  2017","PubMed","citation","PMID:28813625","pubmed","28813625","create date:2017/08/17 | first author:Nachappa SA",
"Corrigendum to ""Development of an effective and efficient DNA isolation method for Cinnamomum species"" [Food Chem. 188 (2015) 264-270].","/pubmed/28810538","Bhau BS, Gogoi G, Baruah D, Ahmed R, Hazarika G, Ghosh S, Borah B, Gogoi B, Sarmah DK, Nath SC, Wann SB.","Food Chem. 2016 Jan 1;190:1190. doi: 10.1016/j.foodchem.2015.06.014. Epub 2015 Jun 6. No abstract available. ","Food Chem.  2016","PubMed","citation","PMID:28810538","pubmed","28810538","create date:2016/01/01 | first author:Bhau BS",
"Expression of Telomere Binding Proteins (RAP1 and POT1) in Renal Cell Carcinoma and Their Correlation with Clinicopathological Parameters.","/pubmed/28811689","Pal D, Singh SK, Kakkar N, Prasad R.","Indian J Clin Biochem. 2017 Jul;32(3):301-305. doi: 10.1007/s12291-016-0611-8. Epub 2016 Sep 3.","Indian J Clin Biochem.  2017","PubMed","citation","PMID:28811689 | PMCID:PMC5539006","pubmed","28811689","create date:2017/08/16 | first author:Pal D",
"Determining causal miRNAs and their signaling cascade in diseases using an influence diffusion model.","/pubmed/28811509","Nalluri JJ, Rana P, Barh D, Azevedo V, Dinh TN, Vladimirov V, Ghosh P.","Sci Rep. 2017 Aug 15;7(1):8133. doi: 10.1038/s41598-017-08125-4.","Sci Rep.  2017","PubMed","citation","PMID:28811509 | PMCID:PMC5557952","pubmed","28811509","create date:2017/08/16 | first author:Nalluri JJ",
"Comparative Genomics of Escherichia coli Isolated from Skin and Soft Tissue and Other Extraintestinal Infections.","/pubmed/28811343","Ranjan A, Shaik S, Nandanwar N, Hussain A, Tiwari SK, Semmler T, Jadhav S, Wieler LH, Alam M, Colwell RR, Ahmed N.","MBio. 2017 Aug 15;8(4). pii: e01070-17. doi: 10.1128/mBio.01070-17.","MBio.  2017","PubMed","citation","PMID:28811343","pubmed","28811343","create date:2017/08/16 | first author:Ranjan A",
"Argonaute 8 (AGO8) mediates the elicitation of primary defense against herbivory.","/pubmed/28811334","Pradhan M, Pandey P, Gase K, Shraff M, Singh RK, Sethi A, Baldwin IT, Pandey SP.","Plant Physiol. 2017 Aug 15. pii: pp.00702.2017. doi: 10.1104/pp.17.00702. [Epub ahead of print]","Plant Physiol.  2017","PubMed","citation","PMID:28811334","pubmed","28811334","create date:2017/08/16 | first author:Pradhan M",
"Suitable reference gene for quantitative real-time PCR analysis of gene expression in gonadal tissues of minnow Puntius sophore under high-temperature stress.","/pubmed/28810828","Mahanty A, Purohit GK, Mohanty S, Nayak NR, Mohanty BP.","BMC Genomics. 2017 Aug 15;18(1):617. doi: 10.1186/s12864-017-3974-1.","BMC Genomics.  2017","PubMed","citation","PMID:28810828 | PMCID:PMC5557063","pubmed","28810828","create date:2017/08/16 | first author:Mahanty A",
"Striking the Right Chord: Signaling Enigma during Root Gravitropism.","/pubmed/28798760","Singh M, Gupta A, Laxmi A.","Front Plant Sci. 2017 Jul 27;8:1304. doi: 10.3389/fpls.2017.01304. eCollection 2017. Review.","Front Plant Sci.  2017","PubMed","citation","PMID:28798760 | PMCID:PMC5529344","pubmed","28798760","create date:2017/08/12 | first author:Singh M",
"Complete Genome Analysis of Thermus parvatiensis and Comparative Genomics of Thermus spp. Provide Insights into Genetic Variability and Evolution of Natural Competence as Strategic Survival Attributes.","/pubmed/28798737","Tripathi C, Mishra H, Khurana H, Dwivedi V, Kamra K, Negi RK, Lal R.","Front Microbiol. 2017 Jul 27;8:1410. doi: 10.3389/fmicb.2017.01410. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28798737 | PMCID:PMC5529391","pubmed","28798737","create date:2017/08/12 | first author:Tripathi C",
"Pedigree Analysis of Familial Primary Concomitant Horizontal Strabismus in Northern India.","/pubmed/28796570","Chaudhuri Z, John J, Aneja S, Thelma BK.","Strabismus. 2017 Aug 10:1-14. doi: 10.1080/09273972.2017.1350865. [Epub ahead of print]","Strabismus.  2017","PubMed","citation","PMID:28796570","pubmed","28796570","create date:2017/08/11 | first author:Chaudhuri Z",
"RNA sequencing reveals a complete but an unconventional type of dosage compensation in the domestic silkworm Bombyx mori.","/pubmed/28791152","Gopinath G, Srikeerthana K, Tomar A, Sekhar SMC, Arunkumar KP.","R Soc Open Sci. 2017 Jul 12;4(7):170261. doi: 10.1098/rsos.170261. eCollection 2017 Jul.","R Soc Open Sci.  2017","PubMed","citation","PMID:28791152 | PMCID:PMC5541547","pubmed","28791152","create date:2017/08/10 | first author:Gopinath G",
"MurB as a target in an alternative approach to tackle the Vibrio cholerae resistance using molecular docking and simulation study.","/pubmed/28786497","Ragunathan A, Malathi K, Anbarasu A.","J Cell Biochem. 2017 Aug 8. doi: 10.1002/jcb.26333. [Epub ahead of print]","J Cell Biochem.  2017","PubMed","citation","PMID:28786497","pubmed","28786497","create date:2017/08/09 | first author:Ragunathan A",
"Fusion of expression values and protein interaction information using multi-objective optimization for improving gene clustering.","/pubmed/28783536","Dutta P, Saha S.","Comput Biol Med. 2017 Aug 1;89:31-43. doi: 10.1016/j.compbiomed.2017.07.015. [Epub ahead of print]","Comput Biol Med.  2017","PubMed","citation","PMID:28783536","pubmed","28783536","create date:2017/08/08 | first author:Dutta P",
"Molecular characterization of novel Bradyrhizobium strains nodulating Eriosema chinense and Flemingia vestita, important unexplored native legumes of the sub-Himalayan region (Meghalaya) of India.","/pubmed/28781100","Ojha A, Tak N, Rathi S, Chouhan B, Rao SR, Barik SK, Joshi SR, Sprent JS, James EK, Gehlot HS.","Syst Appl Microbiol. 2017 Jul 19. pii: S0723-2020(17)30076-0. doi: 10.1016/j.syapm.2017.06.003. [Epub ahead of print]","Syst Appl Microbiol.  2017","PubMed","citation","PMID:28781100","pubmed","28781100","create date:2017/08/07 | first author:Ojha A",
"Gene selection for tumor classification using a novel bio-inspired multi-objective approach.","/pubmed/28780377","Dashtban M, Balafar M, Suravajhala P.","Genomics. 2017 Aug 3. pii: S0888-7543(17)30067-8. doi: 10.1016/j.ygeno.2017.07.010. [Epub ahead of print]","Genomics.  2017","PubMed","citation","PMID:28780377","pubmed","28780377","create date:2017/08/07 | first author:Dashtban M",
"NGS-based identification of induced mutations in a doubly mutagenized tomato (Solanum lycopersicum) population.","/pubmed/28779536","Gupta P, Reddaiah B, Salava H, Upadhyaya P, Tyagi K, Sarma S, Datta S, Malhotra B, Thomas S, Sunkum A, Devulapalli S, Till BJ, Sreelakshmi Y, Sharma R.","Plant J. 2017 Aug 5. doi: 10.1111/tpj.13654. [Epub ahead of print]","Plant J.  2017","PubMed","citation","PMID:28779536","pubmed","28779536","create date:2017/08/06 | first author:Gupta P",
"OsbZIP48, a HY5 transcription factor ortholog, exerts pleiotropic effects in light-regulated development.","/pubmed/28775143","Burman N, Bhatnagar A, Khurana JP.","Plant Physiol. 2017 Aug 3. pii: pp.00478.2017. doi: 10.1104/pp.17.00478. [Epub ahead of print]","Plant Physiol.  2017","PubMed","citation","PMID:28775143","pubmed","28775143","create date:2017/08/05 | first author:Burman N",
