Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Identification of α-enolase as a prognostic and diagnostic precancer biomarker in oral submucous fibrosis.","/pubmed/28821582","Bag S, Dutta D, Chaudhary A, Sing BC, Pal M, Ray AK, Banerjee R, Paul RR, Basak A, Das AK, Chatterjee J.","J Clin Pathol. 2017 Aug 18. pii: jclinpath-2017-204430. doi: 10.1136/jclinpath-2017-204430. [Epub ahead of print]","J Clin Pathol.  2017","PubMed","citation","PMID:28821582","pubmed","28821582","create date:2017/08/20 | first author:Bag S",
"Mutational Impact on the Interaction between Human IL27 and gp130: In silico Approach for Defending HIV Infection.","/pubmed/28820066","Banerjee A, Dasgupta R, Ray S.","Curr HIV Res. 2017 Aug 17. doi: 10.2174/1570162X15666170817121226. [Epub ahead of print]","Curr HIV Res.  2017","PubMed","citation","PMID:28820066","pubmed","28820066","create date:2017/08/19 | first author:Banerjee A",
"Chronic Cigarette Smoke Mediated Global Changes in Lung Mucoepidermoid Cells: A Phosphoproteomic Analysis.","/pubmed/28816646","Solanki HS, Advani J, Khan AA, Radhakrishnan A, Sahasrabuddhe NA, Pinto SM, Chang X, Prasad TSK, Mathur PP, Sidransky D, Gowda H, Chatterjee A.","OMICS. 2017 Aug;21(8):474-487. doi: 10.1089/omi.2017.0090.","OMICS.  2017","PubMed","citation","PMID:28816646","pubmed","28816646","create date:2017/08/18 | first author:Solanki HS",
"Proteomic Analysis of the Human Olfactory Bulb.","/pubmed/28816642","Dammalli M, Dey G, Madugundu AK, Kumar M, Rodrigues B, Gowda H, Siddaiah BG, Mahadevan A, Shankar SK, Prasad TSK.","OMICS. 2017 Aug;21(8):440-453. doi: 10.1089/omi.2017.0084.","OMICS.  2017","PubMed","citation","PMID:28816642","pubmed","28816642","create date:2017/08/18 | first author:Dammalli M",
"Label-free quantitative proteomic analysis of Lactobacillus fermentum NCDC 400 during bile salt exposure.","/pubmed/28802582","Kaur G, Ali SA, Kumar S, Mohanty AK, Behare P.","J Proteomics. 2017 Aug 9. pii: S1874-3919(17)30279-8. doi: 10.1016/j.jprot.2017.08.008. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28802582","pubmed","28802582","create date:2017/08/15 | first author:Kaur G",
"A comparative intracellular proteomic profiling of Pseudomonas aeruginosa strain ASP-53 grown on pyrene or glucose as sole source of carbon and identification of some key enzymes of pyrene biodegradation pathway.","/pubmed/28774858","Mukherjee AK, Bhagowati P, Biswa BB, Chanda A, Kalita B.","J Proteomics. 2017 Jul 31. pii: S1874-3919(17)30263-4. doi: 10.1016/j.jprot.2017.07.020. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28774858","pubmed","28774858","create date:2017/08/05 | first author:Mukherjee AK",
"Preparation and characterization of a Cu (II)-IDA poly HEMA monolith syringe for proteomic applications.","/pubmed/28762518","Khaparde A, M A V, Tetala KKR.","Electrophoresis. 2017 Aug 1. doi: 10.1002/elps.201700219. [Epub ahead of print]","Electrophoresis.  2017","PubMed","citation","PMID:28762518","pubmed","28762518","create date:2017/08/02 | first author:Khaparde A",
"Emerging targets and latest proteomics based therapeutic approaches in neurodegenerative diseases.","/pubmed/28762306","Fatima MT, Islam Z, Ahmad E, Salahuddin P.","Curr Protein Pept Sci. 2017 Jul 31. doi: 10.2174/1389203718666170731114757. [Epub ahead of print]","Curr Protein Pept Sci.  2017","PubMed","citation","PMID:28762306","pubmed","28762306","create date:2017/08/02 | first author:Fatima MT",
"Examination of pathways involved in leukemia inhibitory factor (LIF)-induced cell growth arrest using label-free proteomics approach.","/pubmed/28755912","Ali SA, Kaur G, Mohanty AK, Kumar S.","J Proteomics. 2017 Jul 26. pii: S1874-3919(17)30258-0. doi: 10.1016/j.jprot.2017.07.014. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28755912","pubmed","28755912","create date:2017/08/02 | first author:Ali SA",
"Differential accumulation of vimentin fragments in preeclamptic placenta.","/pubmed/28752964","Mary S, Kulkarni MJ, Mehendale SS, Joshi SR, Giri AP.","Cytoskeleton (Hoboken). 2017 Jul 28. doi: 10.1002/cm.21390. [Epub ahead of print]","Cytoskeleton (Hoboken).  2017","PubMed","citation","PMID:28752964","pubmed","28752964","create date:2017/07/29 | first author:Mary S",
