Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Doxorubicin upregulates CXCR4 via miR-200c/ZEB1-dependent mechanism in human cardiac mesenchymal progenitor cells.","/pubmed/28837147","Beji S, Milano G, Scopece A, Cicchillitti L, Cencioni C, Picozza M, D'Alessandra Y, Pizzolato S, Bertolotti M, Spaltro G, Raucci A, Piaggio G, Pompilio G, Capogrossi MC, Avitabile D, Magenta A, Gambini E.","Cell Death Dis. 2017 Aug 24;8(8):e3020. doi: 10.1038/cddis.2017.409.","Cell Death Dis.  2017","PubMed","citation","PMID:28837147","pubmed","28837147","create date:2017/08/25 | first author:Beji S",
"Large-scale comparative metagenomics of Blastocystis, a common member of the human gut microbiome.","/pubmed/28837129","Beghini F, Pasolli E, Truong TD, Putignani L, Cacciò SM, Segata N.","ISME J. 2017 Aug 22. doi: 10.1038/ismej.2017.139. [Epub ahead of print]","ISME J.  2017","PubMed","citation","PMID:28837129","pubmed","28837129","create date:2017/08/25 | first author:Beghini F",
"Roadmap for Investigating Epigenome Deregulation and Environmental Origins of Cancer.","/pubmed/28836271","Herceg Z, Ghantous A, Wild CP, Sklias A, Casati L, Duthie SJ, Fry R, Issa JP, Kellermayer R, Koturbash I, Kondo Y, Lepeule J, Lima SCS, Marsit CJ, Rakyan V, Saffery R, Taylor JA, Teschendorff AE, Ushijima T, Vineis P, Walker CL, Waterland RA, et al.","Int J Cancer. 2017 Aug 24. doi: 10.1002/ijc.31014. [Epub ahead of print] Review.","Int J Cancer.  2017","PubMed","citation","PMID:28836271","pubmed","28836271","create date:2017/08/25 | first author:Herceg Z",
"Accurate and comprehensive analysis of single nucleotide variants and large deletions of the human mitochondrial genome in DNA and single cells.","/pubmed/28832570","Zambelli F, Vancampenhout K, Daneels D, Brown D, Mertens J, Van Dooren S, Caljon B, Gianaroli L, Sermon K, Voet T, Seneca S, Spits C.","Eur J Hum Genet. 2017 Aug 23. doi: 10.1038/ejhg.2017.129. [Epub ahead of print]","Eur J Hum Genet.  2017","PubMed","citation","PMID:28832570","pubmed","28832570","create date:2017/08/24 | first author:Zambelli F",
"Auxin minimum triggers the developmental switch from cell division to cell differentiation in the Arabidopsis root.","/pubmed/28831001","Di Mambro R, De Ruvo M, Pacifici E, Salvi E, Sozzani R, Benfey PN, Busch W, Novak O, Ljung K, Di Paola L, Marée AFM, Costantino P, Grieneisen VA, Sabatini S.","Proc Natl Acad Sci U S A. 2017 Aug 22. pii: 201705833. doi: 10.1073/pnas.1705833114. [Epub ahead of print]","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28831001","pubmed","28831001","create date:2017/08/24 | first author:Di Mambro R",
"A major QTL on chromosome 7HS controls the response of barley seedling to salt stress in the Nure × Tremois population.","/pubmed/28830338","Xue W, Yan J, Zhao G, Jiang Y, Cheng J, Cattivelli L, Tondelli A.","BMC Genet. 2017 Aug 22;18(1):79. doi: 10.1186/s12863-017-0545-z.","BMC Genet.  2017","PubMed","citation","PMID:28830338","pubmed","28830338","create date:2017/08/24 | first author:Xue W",
"Functional Characterization of Four Putative δ(1)-Pyrroline-5-Carboxylate Reductases from Bacillus subtilis.","/pubmed/28824574","Forlani G, Nocek B, Chakravarthy S, Joachimiak A.","Front Microbiol. 2017 Aug 2;8:1442. doi: 10.3389/fmicb.2017.01442. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824574 | PMCID:PMC5539093","pubmed","28824574","create date:2017/08/22 | first author:Forlani G",
"TBK1 mutations in Italian patients with amyotrophic lateral sclerosis: genetic and functional characterisation.","/pubmed/28822984","Pozzi L, Valenza F, Mosca L, Dal Mas A, Domi T, Romano A, Tarlarini C, Falzone YM, Tremolizzo L, Sorarù G, Cerri F, Ferraro PM, Basaia S, Agosta F, Fazio R, Comola M, Comi G, Ferrari M, Quattrini A, Lunetta C, Penco S, Bonanomi D, et al.","J Neurol Neurosurg Psychiatry. 2017 Aug 19. pii: jnnp-2017-316174. doi: 10.1136/jnnp-2017-316174. [Epub ahead of print]","J Neurol Neurosurg Psychiatry.  2017","PubMed","citation","PMID:28822984","pubmed","28822984","create date:2017/08/22 | first author:Pozzi L",
"Profiles of soluble proteins in chemosensory organs of three members of the afro-tropical Anopheles gambiae complex.","/pubmed/28822866","Iovinella I, Caputo B, Calzetta M, Zwiebel LJ, Dani FR, Della Torre A.","Comp Biochem Physiol Part D Genomics Proteomics. 2017 Aug 2;24:41-50. doi: 10.1016/j.cbd.2017.07.005. [Epub ahead of print]","Comp Biochem Physiol Part D Genomics Proteomics.  2017","PubMed","citation","PMID:28822866","pubmed","28822866","create date:2017/08/22 | first author:Iovinella I",
"Genome-wide analysis of LTR-retrotransposon diversity and its impact on the evolution of the genus Helianthus (L.).","/pubmed/28821238","Mascagni F, Giordani T, Ceccarelli M, Cavallini A, Natali L.","BMC Genomics. 2017 Aug 18;18(1):634. doi: 10.1186/s12864-017-4050-6.","BMC Genomics.  2017","PubMed","citation","PMID:28821238 | PMCID:PMC5563062","pubmed","28821238","create date:2017/08/20 | first author:Mascagni F",
