Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Coagulation and fibrinolysis in gastric cancer.","/pubmed/28833193","Repetto O, De Re V.","Ann N Y Acad Sci. 2017 Aug 22. doi: 10.1111/nyas.13454. [Epub ahead of print] Review.","Ann N Y Acad Sci.  2017","PubMed","citation","PMID:28833193","pubmed","28833193","create date:2017/08/24 | first author:Repetto O",
"Auxin minimum triggers the developmental switch from cell division to cell differentiation in the Arabidopsis root.","/pubmed/28831001","Di Mambro R, De Ruvo M, Pacifici E, Salvi E, Sozzani R, Benfey PN, Busch W, Novak O, Ljung K, Di Paola L, Marée AFM, Costantino P, Grieneisen VA, Sabatini S.","Proc Natl Acad Sci U S A. 2017 Aug 22. pii: 201705833. doi: 10.1073/pnas.1705833114. [Epub ahead of print]","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28831001","pubmed","28831001","create date:2017/08/24 | first author:Di Mambro R",
"Profiles of soluble proteins in chemosensory organs of three members of the afro-tropical Anopheles gambiae complex.","/pubmed/28822866","Iovinella I, Caputo B, Calzetta M, Zwiebel LJ, Dani FR, Della Torre A.","Comp Biochem Physiol Part D Genomics Proteomics. 2017 Aug 2;24:41-50. doi: 10.1016/j.cbd.2017.07.005. [Epub ahead of print]","Comp Biochem Physiol Part D Genomics Proteomics.  2017","PubMed","citation","PMID:28822866","pubmed","28822866","create date:2017/08/22 | first author:Iovinella I",
"A Microsomal Proteomics View of H₂O₂- and ABA-Dependent Responses.","/pubmed/28820483","Alqurashi M, Thomas L, Gehring C, Marondedze C.","Proteomes. 2017 Aug 18;5(3). pii: E22. doi: 10.3390/proteomes5030022.","Proteomes.  2017","PubMed","citation","PMID:28820483","pubmed","28820483","create date:2017/08/19 | first author:Alqurashi M",
"New astroglial injury-defined biomarkers for neurotrauma assessment.","/pubmed/28816095","Halford J, Shen S, Itamura K, Levine J, Chong AC, Czerwieniec G, Glenn TC, Hovda DA, Vespa P, Bullock R, Dietrich WD, Mondello S, Loo JA, Wanner IB.","J Cereb Blood Flow Metab. 2017 Jan 1:271678X17724681. doi: 10.1177/0271678X17724681. [Epub ahead of print]","J Cereb Blood Flow Metab.  2017","PubMed","citation","PMID:28816095","pubmed","28816095","create date:2017/08/18 | first author:Halford J",
"Plasma membrane protein profiling in beta-amyloid-treated microglia cell line.","/pubmed/28815942","Correani V, Francesco LD, Mignogna G, Fabrizi C, Leone S, Giorgi A, Passeri A, Casata R, Fumagalli L, Maras B, Schininà ME.","Proteomics. 2017 Aug 16. doi: 10.1002/pmic.201600439. [Epub ahead of print]","Proteomics.  2017","PubMed","citation","PMID:28815942","pubmed","28815942","create date:2017/08/18 | first author:Correani V",
"Proteomic Alterations Associated with Biomechanical Dysfunction are Early Processes in the Emilin1 Deficient Mouse Model of Aortic Valve Disease.","/pubmed/28812215","Angel PM, Narmoneva DA, Sewell-Loftin MK, Munjal C, Dupuis L, Landis BJ, Jegga A, Kern CB, Merryman WD, Baldwin HS, Bressan GM, Hinton RB.","Ann Biomed Eng. 2017 Aug 15. doi: 10.1007/s10439-017-1899-0. [Epub ahead of print]","Ann Biomed Eng.  2017","PubMed","citation","PMID:28812215","pubmed","28812215","create date:2017/08/16 | first author:Angel PM",
"Assessment of glutathione/glutathione disulphide ratio and S-glutathionylated proteins in human blood, solid tissues, and cultured cells.","/pubmed/28807817","Giustarini D, Colombo G, Garavaglia ML, Astori E, Portinaro NM, Reggiani F, Badalamenti S, Aloisi AM, Santucci A, Rossi R, Milzani A, Dalle-Donne I.","Free Radic Biol Med. 2017 Aug 12;112:360-375. doi: 10.1016/j.freeradbiomed.2017.08.008. [Epub ahead of print] Review.","Free Radic Biol Med.  2017","PubMed","citation","PMID:28807817","pubmed","28807817","create date:2017/08/16 | first author:Giustarini D",
"Analysis of the Pathogenic Factors and Management of Dry Eye in Ocular Surface Disorders.","/pubmed/28805710","Nebbioso M, Del Regno P, Gharbiya M, Sacchetti M, Plateroti R, Lambiase A.","Int J Mol Sci. 2017 Aug 13;18(8). pii: E1764. doi: 10.3390/ijms18081764. Review.","Int J Mol Sci.  2017","PubMed","citation","PMID:28805710","pubmed","28805710","create date:2017/08/15 | first author:Nebbioso M",
"Cytoskeleton and nuclear lamina affection in recessive osteogenesis imperfecta: A functional proteomics perspective.","/pubmed/28802583","Gagliardi A, Besio R, Carnemolla C, Landi C, Armini A, Aglan M, Otaify G, Temtamy SA, Forlino A, Bini L, Bianchi L.","J Proteomics. 2017 Aug 9. pii: S1874-3919(17)30280-4. doi: 10.1016/j.jprot.2017.08.007. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28802583","pubmed","28802583","create date:2017/08/15 | first author:Gagliardi A",
