Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Extracting Intercellular Signaling Network of Cancer Tissues using Ligand-Receptor Expression Patterns from Whole-tumor and Single-cell Transcriptomes.","/pubmed/28821810","Zhou JX, Taramelli R, Pedrini E, Knijnenburg T, Huang S.","Sci Rep. 2017 Aug 18;7(1):8815. doi: 10.1038/s41598-017-09307-w.","Sci Rep.  2017","PubMed","citation","PMID:28821810 | PMCID:PMC5562796","pubmed","28821810","create date:2017/08/20 | first author:Zhou JX",
"Whole RNA-Sequencing and Transcriptome Assembly of Candida albicans and Candida africana under Chlamydospore-Inducing Conditions.","/pubmed/28810711","Giosa D, Felice MR, Lawrence TJ, Gulati M, Scordino F, Giuffrè L, Lo Passo C, D'Alessandro E, Criseo G, Ardell DH, Hernday AD, Nobile CJ, Romeo O.","Genome Biol Evol. 2017 Jul 1;9(7):1971-1977. doi: 10.1093/gbe/evx143.","Genome Biol Evol.  2017","PubMed","citation","PMID:28810711","pubmed","28810711","create date:2017/08/16 | first author:Giosa D",
"Analytic and Dynamic Secretory Profile of Patient-Derived Cytokine-Induced Killer Cells.","/pubmed/28805233","Mesiano G, Zini R, Montagner G, Bianchi N, Manfredini R, Chillemi A, Aglietta M, Grignani G, Lampronti I, Fiorino E, Malavasi F, Sangiolo D, Gambari R, Ferrari D.","Mol Med. 2017 Aug 9;23. doi: 10.2119/molmed.2017.00084. [Epub ahead of print]","Mol Med.  2017","PubMed","citation","PMID:28805233","pubmed","28805233","create date:2017/08/15 | first author:Mesiano G",
"De novo transcriptome assembly and RNA-Seq expression analysis in blood from beluga whales of Bristol Bay, AK.","/pubmed/28802692","Morey JS, Burek Huntington KA, Campbell M, Clauss TM, Goertz CE, Hobbs RC, Lunardi D, Moors AJ, Neely MG, Schwacke LH, Van Dolah FM.","Mar Genomics. 2017 Aug 9. pii: S1874-7787(17)30166-6. doi: 10.1016/j.margen.2017.08.001. [Epub ahead of print]","Mar Genomics.  2017","PubMed","citation","PMID:28802692","pubmed","28802692","create date:2017/08/15 | first author:Morey JS",
"Adult cardiac stem cells are multipotent and robustly myogenic: c-kit expression is necessary but not sufficient for their identification.","/pubmed/28800128","Vicinanza C, Aquila I, Scalise M, Cristiano F, Marino F, Cianflone E, Mancuso T, Marotta P, Sacco W, Lewis FC, Couch L, Shone V, Gritti G, Torella A, Smith AJ, Terracciano CM, Britti D, Veltri P, Indolfi C, Nadal-Ginard B, Ellison-Hughes GM, Torella D.","Cell Death Differ. 2017 Aug 11. doi: 10.1038/cdd.2017.130. [Epub ahead of print]","Cell Death Differ.  2017","PubMed","citation","PMID:28800128","pubmed","28800128","create date:2017/08/12 | first author:Vicinanza C",
"mRNA 3' uridylation and poly(A) tail length sculpt the mammalian maternal transcriptome.","/pubmed/28792939","Morgan M, Much C, DiGiacomo M, Azzi C, Ivanova I, Vitsios DM, Pistolic J, Collier P, Moreira PN, Benes V, Enright AJ, O'Carroll D.","Nature. 2017 Aug 17;548(7667):347-351. doi: 10.1038/nature23318. Epub 2017 Aug 9.","Nature.  2017","PubMed","citation","PMID:28792939","pubmed","28792939","create date:2017/08/10 | first author:Morgan M",
"The purplish bifurcate mussel Mytilisepta virgata gene expression atlas reveals a remarkable tissue functional specialization.","/pubmed/28789640","Gerdol M, Fujii Y, Hasan I, Koike T, Shimojo S, Spazzali F, Yamamoto K, Ozeki Y, Pallavicini A, Fujita H.","BMC Genomics. 2017 Aug 8;18(1):590. doi: 10.1186/s12864-017-4012-z.","BMC Genomics.  2017","PubMed","citation","PMID:28789640 | PMCID:PMC5549309","pubmed","28789640","create date:2017/08/10 | first author:Gerdol M",
"Transcriptome-Wide Analysis Identifies Novel Associations With Blood Pressure.","/pubmed/28784648","Zeller T, Schurmann C, Schramm K, Müller C, Kwon S, Wild PS, Teumer A, Herrington D, Schillert A, Iacoviello L, Kratzer A, Jagodzinski A, Karakas M, Ding J, Neumann JT, Kuulasmaa K, Gieger C, Kacprowski T, Schnabel RB, Roden M, Wahl S, Rotter JI, et al.","Hypertension. 2017 Aug 7. pii: HYPERTENSIONAHA.117.09458. doi: 10.1161/HYPERTENSIONAHA.117.09458. [Epub ahead of print]","Hypertension.  2017","PubMed","citation","PMID:28784648","pubmed","28784648","create date:2017/08/09 | first author:Zeller T",
"Omics"" in Human Colostrum and Mature Milk: Looking to Old Data with New Eyes.","/pubmed/28783113","Bardanzellu F, Fanos V, Reali A.","Nutrients. 2017 Aug 7;9(8). pii: E843. doi: 10.3390/nu9080843. Review.","Nutrients.  2017","PubMed","citation","PMID:28783113","pubmed","28783113","create date:2017/08/08 | first author:Bardanzellu F",
"Accumulation of Chromatin Remodelling Enzyme and Histone Transcripts in Bovine Oocytes.","/pubmed/28779321","Lodde V, Luciano AM, Franciosi F, Labrecque R, Sirard MA.","Results Probl Cell Differ. 2017;63:223-255. doi: 10.1007/978-3-319-60855-6_11.","Results Probl Cell Differ.  2017","PubMed","citation","PMID:28779321","pubmed","28779321","create date:2017/08/06 | first author:Lodde V",
"Histone Methyltransferase G9a is Required for Cardiomyocyte Homeostasis and Hypertrophy.","/pubmed/28778944","Papait R, Serio S, Pagiatakis C, Rusconi F, Carullo P, Mazzola M, Salvarani N, Miragoli M, Condorelli G.","Circulation. 2017 Aug 4. pii: CIRCULATIONAHA.117.028561. doi: 10.1161/CIRCULATIONAHA.117.028561. [Epub ahead of print]","Circulation.  2017","PubMed","citation","PMID:28778944","pubmed","28778944","create date:2017/08/06 | first author:Papait R",
"Transcriptome Profiling in Human Diseases: New Advances and Perspectives.","/pubmed/28758927","Casamassimi A, Federico A, Rienzo M, Esposito S, Ciccodicola A.","Int J Mol Sci. 2017 Jul 29;18(8). pii: E1652. doi: 10.3390/ijms18081652. Review.","Int J Mol Sci.  2017","PubMed","citation","PMID:28758927","pubmed","28758927","create date:2017/08/02 | first author:Casamassimi A",
"The sortase-dependent fimbriome of the genus Bifidobacterium: extracellular structures with potential to modulate microbe-host dialogue.","/pubmed/28754709","Milani C, Mangifesta M, Mancabelli L, Lugli GA, Mancino W, Viappiani A, Faccini A, van Sinderen D, Ventura M, Turroni F.","Appl Environ Microbiol. 2017 Jul 28. pii: AEM.01295-17. doi: 10.1128/AEM.01295-17. [Epub ahead of print]","Appl Environ Microbiol.  2017","PubMed","citation","PMID:28754709","pubmed","28754709","create date:2017/07/30 | first author:Milani C",
"Corrigendum: Transcriptomic Analysis in Strawberry Fruits Reveals Active Auxin Biosynthesis and Signaling in the Ripe Receptacle.","/pubmed/28744303","Estrada-Johnson E, Csukasi F, Pizarro CM, Vallarino JG, Kiryakova Y, Vioque A, Merchante C, Brumos J, Medina-Escobar N, Botella MA, Alonso JM, Fernie AR, Sánchez-Sevilla JF, Osorio S, Valpuesta V.","Front Plant Sci. 2017 Jul 24;8:1305. doi: 10.3389/fpls.2017.01305. eCollection 2017.","Front Plant Sci.  2017","PubMed","citation","PMID:28744303 | PMCID:PMC5522832","pubmed","28744303","create date:2017/07/27 | first author:Estrada-Johnson E",
"Transcriptome Analysis of Canine Cutaneous Melanoma and Melanocytoma Reveals a Modulation of Genes Regulating Extracellular Matrix Metabolism and Cell Cycle.","/pubmed/28743863","Brachelente C, Cappelli K, Capomaccio S, Porcellato I, Silvestri S, Bongiovanni L, De Maria R, Verini Supplizi A, Mechelli L, Sforna M.","Sci Rep. 2017 Jul 25;7(1):6386. doi: 10.1038/s41598-017-06281-1.","Sci Rep.  2017","PubMed","citation","PMID:28743863 | PMCID:PMC5526991","pubmed","28743863","create date:2017/07/27 | first author:Brachelente C",
"Multi-Omics and Integrated Network Analyses Reveal New Insights into the Systems Relationships between Metabolites, Structural Genes, and Transcriptional Regulators in Developing Grape Berries (Vitis vinifera L.) Exposed to Water Deficit.","/pubmed/28740499","Savoi S, Wong DCJ, Degu A, Herrera JC, Bucchetti B, Peterlunger E, Fait A, Mattivi F, Castellarin SD.","Front Plant Sci. 2017 Jul 10;8:1124. doi: 10.3389/fpls.2017.01124. eCollection 2017.","Front Plant Sci.  2017","PubMed","citation","PMID:28740499 | PMCID:PMC5502274","pubmed","28740499","create date:2017/07/26 | first author:Savoi S",
"Cultivar-specific transcriptome prediction and annotation in Ficus carica L.","/pubmed/28736702","Solorzano Zambrano L, Usai G, Vangelisti A, Mascagni F, Giordani T, Bernardi R, Cavallini A, Gucci R, Caruso G, D'Onofrio C, Quartacci MF, Picciarelli P, Conti B, Lucchi A, Natali L.","Genom Data. 2017 Jul 5;13:64-66. doi: 10.1016/j.gdata.2017.07.005. eCollection 2017 Sep.","Genom Data.  2017","PubMed","citation","PMID:28736702 | PMCID:PMC5510491","pubmed","28736702","create date:2017/07/25 | first author:Solorzano Zambrano L",
"Pattern of gene expression in different stages of schizophrenia: Down-regulation of NPTX2 gene revealed by a meta-analysis of microarray datasets.","/pubmed/28732597","Manchia M, Piras IS, Huentelman MJ, Pinna F, Zai CC, Kennedy JL, Carpiniello B.","Eur Neuropsychopharmacol. 2017 Jul 18. pii: S0924-977X(17)30429-7. doi: 10.1016/j.euroneuro.2017.07.002. [Epub ahead of print]","Eur Neuropsychopharmacol.  2017","PubMed","citation","PMID:28732597","pubmed","28732597","create date:2017/07/25 | first author:Manchia M",
"Functional Implications of MicroRNAs in Crohn's Disease Revealed by Integrating MicroRNA and Messenger RNA Expression Profiling.","/pubmed/28726756","Palmieri O, Creanza TM, Bossa F, Latiano T, Corritore G, Palumbo O, Martino G, Biscaglia G, Scimeca D, Carella M, Ancona N, Andriulli A, Latiano A.","Int J Mol Sci. 2017 Jul 20;18(7). pii: E1580. doi: 10.3390/ijms18071580.","Int J Mol Sci.  2017","PubMed","citation","PMID:28726756 | PMCID:PMC5536068","pubmed","28726756","create date:2017/07/21 | first author:Palmieri O",
"Transcriptome-Wide Identification of Differentially Expressed Genes in Solanum lycopersicon L. in Response to an Alfalfa-Protein Hydrolysate Using Microarrays.","/pubmed/28725232","Ertani A, Schiavon M, Nardi S.","Front Plant Sci. 2017 Jul 5;8:1159. doi: 10.3389/fpls.2017.01159. eCollection 2017.","Front Plant Sci.  2017","PubMed","citation","PMID:28725232 | PMCID:PMC5496959","pubmed","28725232","create date:2017/07/21 | first author:Ertani A",
"Novel promoters and coding first exons in DLG2 linked to developmental disorders and intellectual disability.","/pubmed/28724449","Reggiani C, Coppens S, Sekhara T, Dimov I, Pichon B, Lufin N, Addor MC, Belligni EF, Digilio MC, Faletra F, Ferrero GB, Gerard M, Isidor B, Joss S, Niel-Bütschi F, Perrone MD, Petit F, Renieri A, Romana S, Topa A, Vermeesch JR, Lenaerts T, et al.","Genome Med. 2017 Jul 19;9(1):67. doi: 10.1186/s13073-017-0452-y.","Genome Med.  2017","PubMed","citation","PMID:28724449 | PMCID:PMC5518101","pubmed","28724449","create date:2017/07/21 | first author:Reggiani C",
