Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Roadmap for Investigating Epigenome Deregulation and Environmental Origins of Cancer.","/pubmed/28836271","Herceg Z, Ghantous A, Wild CP, Sklias A, Casati L, Duthie SJ, Fry R, Issa JP, Kellermayer R, Koturbash I, Kondo Y, Lepeule J, Lima SCS, Marsit CJ, Rakyan V, Saffery R, Taylor JA, Teschendorff AE, Ushijima T, Vineis P, Walker CL, Waterland RA, et al.","Int J Cancer. 2017 Aug 24. doi: 10.1002/ijc.31014. [Epub ahead of print] Review.","Int J Cancer.  2017","PubMed","citation","PMID:28836271","pubmed","28836271","create date:2017/08/25 | first author:Herceg Z",
"Involvement of aberrantly expressed microRNAs in the pathogenesis of head and neck squamous cell carcinoma.","/pubmed/28836104","Koshizuka K, Hanazawa T, Arai T, Okato A, Kikkawa N, Seki N.","Cancer Metastasis Rev. 2017 Aug 23. doi: 10.1007/s10555-017-9692-y. [Epub ahead of print]","Cancer Metastasis Rev.  2017","PubMed","citation","PMID:28836104","pubmed","28836104","create date:2017/08/25 | first author:Koshizuka K",
"Involvement of oxidative modification of proteins related to ATP synthesis in the left ventricles of hamsters with cardiomyopathy.","/pubmed/28835655","Ichihara S, Suzuki Y, Chang J, Kuzuya K, Inoue C, Kitamura Y, Oikawa S.","Sci Rep. 2017 Aug 23;7(1):9243. doi: 10.1038/s41598-017-08546-1.","Sci Rep.  2017","PubMed","citation","PMID:28835655","pubmed","28835655","create date:2017/08/25 | first author:Ichihara S",
"Treating the placenta to prevent adverse effects of gestational hypoxia on fetal brain development.","/pubmed/28831049","Phillips TJ, Scott H, Menassa DA, Bignell AL, Sood A, Morton JS, Akagi T, Azuma K, Rogers MF, Gilmore CE, Inman GJ, Grant S, Chung Y, Aljunaidy MM, Cooke CL, Steinkraus BR, Pocklington A, Logan A, Collett GP, Kemp H, Holmans PA, Murphy MP, et al.","Sci Rep. 2017 Aug 22;7(1):9079. doi: 10.1038/s41598-017-06300-1.","Sci Rep.  2017","PubMed","citation","PMID:28831049","pubmed","28831049","create date:2017/08/24 | first author:Phillips TJ",
"Ciliated muconodular papillary tumors of the lung with KRAS/BRAF/AKT1 mutation.","/pubmed/28830562","Udo E, Furusato B, Sakai K, Prentice LM, Tanaka T, Kitamura Y, Tsuchiya T, Yamasaki N, Nagayasu T, Nishio K, Fukuoka J.","Diagn Pathol. 2017 Aug 22;12(1):62. doi: 10.1186/s13000-017-0651-2.","Diagn Pathol.  2017","PubMed","citation","PMID:28830562","pubmed","28830562","create date:2017/08/24 | first author:Udo E",
"Role of MEK partner-1 in cancer stemness through MEK/ERK pathway in cancerous neural stem cells, expressing EGFRviii.","/pubmed/28830458","Kwon SJ, Kwon OS, Kim KT, Go YH, Yu SI, Lee BH, Miyoshi H, Oh E, Cho SJ, Cha HJ.","Mol Cancer. 2017 Aug 22;16(1):140. doi: 10.1186/s12943-017-0703-y.","Mol Cancer.  2017","PubMed","citation","PMID:28830458","pubmed","28830458","create date:2017/08/24 | first author:Kwon SJ",
"An integrated expression atlas of miRNAs and their promoters in human and mouse.","/pubmed/28829439","de Rie D, Abugessaisa I, Alam T, Arner E, Arner P, Ashoor H, Åström G, Babina M, Bertin N, Burroughs AM, Carlisle AJ, Daub CO, Detmar M, Deviatiiarov R, Fort A, Gebhard C, Goldowitz D, Guhl S, Ha TJ, Harshbarger J, Hasegawa A, Hashimoto K, et al.","Nat Biotechnol. 2017 Aug 21. doi: 10.1038/nbt.3947. [Epub ahead of print]","Nat Biotechnol.  2017","PubMed","citation","PMID:28829439","pubmed","28829439","create date:2017/08/23 | first author:de Rie D",
"Multi-laboratory assessment of reproducibility, qualitative and quantitative performance of SWATH-mass spectrometry.","/pubmed/28827567","Collins BC, Hunter CL, Liu Y, Schilling B, Rosenberger G, Bader SL, Chan DW, Gibson BW, Gingras AC, Held JM, Hirayama-Kurogi M, Hou G, Krisp C, Larsen B, Lin L, Liu S, Molloy MP, Moritz RL, Ohtsuki S, Schlapbach R, Selevsek N, Thomas SN, et al.","Nat Commun. 2017 Aug 21;8(1):291. doi: 10.1038/s41467-017-00249-5.","Nat Commun.  2017","PubMed","citation","PMID:28827567","pubmed","28827567","create date:2017/08/23 | first author:Collins BC",
"Comparative Genomics of Bacillus amyloliquefaciens Strains Reveals a Core Genome with Traits for Habitat Adaptation and a Secondary Metabolites Rich Accessory Genome.","/pubmed/28824571","Belbahri L, Chenari Bouket A, Rekik I, Alenezi FN, Vallat A, Luptakova L, Petrovova E, Oszako T, Cherrad S, Vacher S, Rateb ME.","Front Microbiol. 2017 Aug 3;8:1438. doi: 10.3389/fmicb.2017.01438. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824571 | PMCID:PMC5541019","pubmed","28824571","create date:2017/08/22 | first author:Belbahri L",
"ATF3 negatively regulates cellular antiviral signaling and autophagy in the absence of type I interferons.","/pubmed/28821775","Sood V, Sharma KB, Gupta V, Saha D, Dhapola P, Sharma M, Sen U, Kitajima S, Chowdhury S, Kalia M, Vrati S.","Sci Rep. 2017 Aug 18;7(1):8789. doi: 10.1038/s41598-017-08584-9.","Sci Rep.  2017","PubMed","citation","PMID:28821775 | PMCID:PMC5562757","pubmed","28821775","create date:2017/08/20 | first author:Sood V",
