Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A CRY-BIC negative feedback circuitry regulating blue light sensitivity of Arabidopsis.","/pubmed/28833729","Wang X, Wang Q, Han YJ, Liu Q, Gu L, Yang Z, Su J, Liu B, Zuo Z, He W, Wang J, Liu B, Matsui M, Kim JI, Oka Y, Lin C.","Plant J. 2017 Aug 22. doi: 10.1111/tpj.13664. [Epub ahead of print]","Plant J.  2017","PubMed","citation","PMID:28833729","pubmed","28833729","create date:2017/08/24 | first author:Wang X",
"iTRAQ-Based Quantitative Proteomics Analysis on Rice Anther Responding to High Temperature.","/pubmed/28832496","Mu Q, Zhang W, Zhang Y, Yan H, Liu K, Matsui T, Tian X, Yang P.","Int J Mol Sci. 2017 Aug 23;18(9). pii: E1811. doi: 10.3390/ijms18091811.","Int J Mol Sci.  2017","PubMed","citation","PMID:28832496","pubmed","28832496","create date:2017/08/24 | first author:Mu Q",
"Multi-laboratory assessment of reproducibility, qualitative and quantitative performance of SWATH-mass spectrometry.","/pubmed/28827567","Collins BC, Hunter CL, Liu Y, Schilling B, Rosenberger G, Bader SL, Chan DW, Gibson BW, Gingras AC, Held JM, Hirayama-Kurogi M, Hou G, Krisp C, Larsen B, Lin L, Liu S, Molloy MP, Moritz RL, Ohtsuki S, Schlapbach R, Selevsek N, Thomas SN, et al.","Nat Commun. 2017 Aug 21;8(1):291. doi: 10.1038/s41467-017-00249-5.","Nat Commun.  2017","PubMed","citation","PMID:28827567","pubmed","28827567","create date:2017/08/23 | first author:Collins BC",
"Identification and quantification of plasma free salusin-β, an endogenous parasympathomimetic peptide.","/pubmed/28811505","Fujimoto K, Hayashi A, Kodera Y, Saito T, Toki T, Ogawa A, Kamata Y, Takano K, Katakami H, Shichiri M.","Sci Rep. 2017 Aug 15;7(1):8275. doi: 10.1038/s41598-017-08288-0.","Sci Rep.  2017","PubMed","citation","PMID:28811505 | PMCID:PMC5557946","pubmed","28811505","create date:2017/08/16 | first author:Fujimoto K",
"Effect of HA330 resin-directed hemoadsorption on a porcine acute respiratory distress syndrome model.","/pubmed/28808944","Xu X, Jia C, Luo S, Li Y, Xiao F, Dai H, Wang C.","Ann Intensive Care. 2017 Aug 14;7(1):84. doi: 10.1186/s13613-017-0287-0.","Ann Intensive Care.  2017","PubMed","citation","PMID:28808944","pubmed","28808944","create date:2017/08/16 | first author:Xu X",
"Mutations in KEOPS-complex genes cause nephrotic syndrome with primary microcephaly.","/pubmed/28805828","Braun DA, Rao J, Mollet G, Schapiro D, Daugeron MC, Tan W, Gribouval O, Boyer O, Revy P, Jobst-Schwan T, Schmidt JM, Lawson JA, Schanze D, Ashraf S, Ullmann JFP, Hoogstraten CA, Boddaert N, Collinet B, Martin G, Liger D, Lovric S, Furlano M, et al.","Nat Genet. 2017 Aug 14. doi: 10.1038/ng.3933. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28805828","pubmed","28805828","create date:2017/08/15 | first author:Braun DA",
"Methylation of DNA Ligase 1 by G9a/GLP Recruits UHRF1 to Replicating DNA and Regulates DNA Methylation.","/pubmed/28803780","Ferry L, Fournier A, Tsusaka T, Adelmant G, Shimazu T, Matano S, Kirsh O, Amouroux R, Dohmae N, Suzuki T, Filion GJ, Deng W, de Dieuleveult M, Fritsch L, Kudithipudi S, Jeltsch A, Leonhardt H, Hajkova P, Marto JA, Arita K, Shinkai Y, Defossez PA.","Mol Cell. 2017 Aug 17;67(4):550-565.e5. doi: 10.1016/j.molcel.2017.07.012. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803780","pubmed","28803780","create date:2017/08/15 | first author:Ferry L",
"A proteomics method using immunoaffinity fluorogenic derivatization-liquid chromatography/tandem mass spectrometry (FD-LC-MS/MS) to identify a set of interacting proteins.","/pubmed/28801948","Nakata K, Saitoh R, Ishigai M, Imai K.","Biomed Chromatogr. 2017 Aug 12. doi: 10.1002/bmc.4063. [Epub ahead of print]","Biomed Chromatogr.  2017","PubMed","citation","PMID:28801948","pubmed","28801948","create date:2017/08/13 | first author:Nakata K",
"Global gene expression analysis of the muscle tissues of medaka acclimated to low and high environmental temperatures.","/pubmed/28800433","Ikeda D, Koyama H, Mizusawa N, Kan-No N, Tan E, Asakawa S, Watabe S.","Comp Biochem Physiol Part D Genomics Proteomics. 2017 Aug 2;24:19-28. doi: 10.1016/j.cbd.2017.07.002. [Epub ahead of print]","Comp Biochem Physiol Part D Genomics Proteomics.  2017","PubMed","citation","PMID:28800433","pubmed","28800433","create date:2017/08/12 | first author:Ikeda D",
"Arabidopsis SH3P2 is an ubiquitin-binding protein that functions together with ESCRT-I and the deubiquitylating enzyme AMSH3.","/pubmed/28784794","Nagel MK, Kalinowska K, Vogel K, Reynolds GD, Wu Z, Anzenberger F, Ichikawa M, Tsutsumi C, Sato MH, Kuster B, Bednarek SY, Isono E.","Proc Natl Acad Sci U S A. 2017 Aug 22;114(34):E7197-E7204. doi: 10.1073/pnas.1710866114. Epub 2017 Aug 7.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28784794","pubmed","28784794","create date:2017/08/09 | first author:Nagel MK",
"The Neuroprotective Marine Compound Psammaplysene A Binds the RNA-Binding Protein HNRNPK.","/pubmed/28783126","Boccitto M, Lee N, Sakamoto S, Spruce LA, Handa H, Clardy J, Seeholzer SH, Kalb RG.","Mar Drugs. 2017 Aug 7;15(8). pii: E246. doi: 10.3390/md15080246.","Mar Drugs.  2017","PubMed","citation","PMID:28783126","pubmed","28783126","create date:2017/08/08 | first author:Boccitto M",
"Re-expression of Sall1 in podocytes protects against adriamycin-induced nephrosis.","/pubmed/28759006","Hosoe-Nagai Y, Hidaka T, Sonoda A, Sasaki Y, Yamamoto-Nonaka K, Seki T, Asao R, Tanaka E, Trejo JAO, Kodama F, Takagi M, Tada N, Ueno T, Nishinakamura R, Tomino Y, Asanuma K.","Lab Invest. 2017 Jul 31. doi: 10.1038/labinvest.2017.69. [Epub ahead of print]","Lab Invest.  2017","PubMed","citation","PMID:28759006","pubmed","28759006","create date:2017/08/02 | first author:Hosoe-Nagai Y",
