Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Siglec-H is a microglia-specific marker that discriminates microglia from CNS-associated macrophages and CNS-infiltrating monocytes.","/pubmed/28836308","Konishi H, Kobayashi M, Kunisawa T, Imai K, Sayo A, Malissen B, Crocker PR, Sato K, Kiyama H.","Glia. 2017 Aug 24. doi: 10.1002/glia.23204. [Epub ahead of print]","Glia.  2017","PubMed","citation","PMID:28836308","pubmed","28836308","create date:2017/08/25 | first author:Konishi H",
"Expression of Unconventional Myosin VI in Oligodendrocytes.","/pubmed/28828543","Yamazaki R, Ishibashi T, Baba H, Yamaguchi Y.","Neurochem Res. 2017 Aug 21. doi: 10.1007/s11064-017-2377-7. [Epub ahead of print]","Neurochem Res.  2017","PubMed","citation","PMID:28828543","pubmed","28828543","create date:2017/08/23 | first author:Yamazaki R",
"Comparison of transcriptome profiles by Fusarium oxysporum inoculation between Fusarium yellows resistant and susceptible lines in Brassica rapa L.","/pubmed/28819684","Miyaji N, Shimizu M, Miyazaki J, Osabe K, Sato M, Ebe Y, Takada S, Kaji M, Dennis ES, Fujimoto R, Okazaki K.","Plant Cell Rep. 2017 Aug 17. doi: 10.1007/s00299-017-2198-9. [Epub ahead of print]","Plant Cell Rep.  2017","PubMed","citation","PMID:28819684","pubmed","28819684","create date:2017/08/19 | first author:Miyaji N",
"High hydrostatic pressure induces pro-osteoarthritic changes in cartilage precursor cells: A transcriptome analysis.","/pubmed/28813497","Montagne K, Onuma Y, Ito Y, Aiki Y, Furukawa KS, Ushida T.","PLoS One. 2017 Aug 16;12(8):e0183226. doi: 10.1371/journal.pone.0183226. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28813497","pubmed","28813497","create date:2017/08/17 | first author:Montagne K",
"Genome of the pitcher plant Cephalotus reveals genetic changes associated with carnivory.","/pubmed/28812732","Fukushima K, Fang X, Alvarez-Ponce D, Cai H, Carretero-Paulet L, Chen C, Chang TH, Farr KM, Fujita T, Hiwatashi Y, Hoshi Y, Imai T, Kasahara M, Librado P, Mao L, Mori H, Nishiyama T, Nozawa M, Pálfalvi G, Pollard ST, Rozas J, Sánchez-Gracia A, et al.","Nat Ecol Evol. 2017 Feb 6;1(3):59. doi: 10.1038/s41559-016-0059.","Nat Ecol Evol.  2017","PubMed","citation","PMID:28812732","pubmed","28812732","create date:2017/08/16 | first author:Fukushima K",
"RNA-Seq using bulked recombinant inbred line populations uncovers the importance of brassinosteroid for seed longevity after priming treatments.","/pubmed/28808238","Sano N, Kim JS, Onda Y, Nomura T, Mochida K, Okamoto M, Seo M.","Sci Rep. 2017 Aug 14;7(1):8095. doi: 10.1038/s41598-017-08116-5.","Sci Rep.  2017","PubMed","citation","PMID:28808238 | PMCID:PMC5556009","pubmed","28808238","create date:2017/08/16 | first author:Sano N",
"The novel heme-dependent inducible protein, SRRD regulates heme biosynthesis and circadian rhythms.","/pubmed/28802827","Adachi Y, Umeda M, Kawazoe A, Sato T, Ohkawa Y, Kitajima S, Izawa S, Sagami I, Taketani S.","Arch Biochem Biophys. 2017 Aug 9;631:19-29. doi: 10.1016/j.abb.2017.08.006. [Epub ahead of print]","Arch Biochem Biophys.  2017","PubMed","citation","PMID:28802827","pubmed","28802827","create date:2017/08/15 | first author:Adachi Y",
"RNA-sequencing-based transcriptome and biochemical analyses of steroidal saponin pathway in a complete set of Allium fistulosum-A. cepa monosomic addition lines.","/pubmed/28800607","Abdelrahman M, El-Sayed M, Sato S, Hirakawa H, Ito SI, Tanaka K, Mine Y, Sugiyama N, Suzuki M, Yamauchi N, Shigyo M.","PLoS One. 2017 Aug 11;12(8):e0181784. doi: 10.1371/journal.pone.0181784. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28800607","pubmed","28800607","create date:2017/08/12 | first author:Abdelrahman M",
"The purplish bifurcate mussel Mytilisepta virgata gene expression atlas reveals a remarkable tissue functional specialization.","/pubmed/28789640","Gerdol M, Fujii Y, Hasan I, Koike T, Shimojo S, Spazzali F, Yamamoto K, Ozeki Y, Pallavicini A, Fujita H.","BMC Genomics. 2017 Aug 8;18(1):590. doi: 10.1186/s12864-017-4012-z.","BMC Genomics.  2017","PubMed","citation","PMID:28789640 | PMCID:PMC5549309","pubmed","28789640","create date:2017/08/10 | first author:Gerdol M",
"Molecular studies reveal MLL-MLLT10/AF10 and ARID5B-MLL gene fusions displaced in a case of infantile acute lymphoblastic leukemia with complex karyotype.","/pubmed/28781666","Hiwatari M, Seki M, Akahoshi S, Yoshida K, Miyano S, Shiraishi Y, Tanaka H, Chiba K, Ogawa S, Takita J.","Oncol Lett. 2017 Aug;14(2):2295-2299. doi: 10.3892/ol.2017.6430. Epub 2017 Jun 20.","Oncol Lett.  2017","PubMed","citation","PMID:28781666 | PMCID:PMC5530220","pubmed","28781666","create date:2017/08/07 | first author:Hiwatari M",
