"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"1","4or-a quarterly journal of operations research","1","1619-4500","0.918","0.73","0.323","0.69","0.75","-","4or-q j oper res"
"2","aaohn journal","2","0891-0162","0.608","0.856","0.509","0.56","-","-","aaohn j"
"3","aapg bulletin","3","0149-1423","1.832","1.768","1.831","1.964","1.448","1.364","aapg bull"
"4","aaps journal","4","1550-7416","3.905","4.386","5.086","3.942","3.54","-","aaps j"
"5","aaps pharmscitech","5","1530-9932","1.776","1.584","1.432","1.211","1.19","1.445","aaps pharmscitech"
"6","aatcc review","6","1532-8813","0.254","0.354","0.139","0.315","0.293","0.352","aatcc rev"
"7","abdominal imaging","7","0942-8925","1.73","1.905","1.725","1.95","1.791","1.485","abdom imaging"
"8","abhandlungen aus dem mathematischen seminar der universitat hamburg","8","0025-5858","0.222","0.568","0.222","0.522","0.391","0.086","abh math sem hamburg"
"9","abstract and applied analysis","9","1085-3375","1.274","1.102","1.318","1.442","2.221","0.644","abstr appl anal"
"10","abstract harmonic analysis of continous wavelet transforms","6165","0075-8434","-","0.614","-","-","-","1.143","lect notes math"
"11","academic emergency medicine","10","1069-6563","2.198","1.757","1.861","2.197","2.478","2.46","acad emerg med"
"12","academic medicine","11","1040-2446","3.468","3.292","3.524","2.631","2.338","1.867","acad med"
"13","academic pediatrics","12","1876-2859","2.227","2.328","2.398","-","-","-","acad pediatr"
"14","academic radiology","13","1076-6332","2.077","1.914","1.692","2.195","2.092","2.021","acad radiol"
"15","accountability in research-policies and quality assurance","14","0898-9621","0.717","0.756","0.618","-","-","-","account res"
"16","accounts of chemical research","15","0001-4842","24.348","20.833","21.64","21.84","18.203","12.176","accounts chem res"
"17","accreditation and quality assurance","16","0949-1775","1.048","1.132","1.036","0.791","0.76","0.781","accredit qual assur"
"18","aci materials journal","17","0889-325X","1.123","0.826","0.803","1.023","0.896","0.568","aci mater j"
"19","aci structural journal","18","0889-3241","0.964","0.806","0.667","0.782","0.874","0.895","aci struct j"
"20","acm computing surveys","19","0360-0300","4.043","3.543","4.529","7.806","7.667","9.92","acm comput surv"
"21","acm journal on emerging technologies in computing systems","20","1550-4832","0.833","0.759","0.414","0.838","0.758","-","acm j emerg technol"
"22","acm journal on emerging technologies in computing systems","20","1550-4832","0.833","0.759","0.414","0.838","0.758","-","acm j emerg tech com"
"23","acm sigmod record","8279","0163-5808","0.955","0.462","0.667","0.849","0.642","1.620","sigmod rec"
"24","acm sigplan notices","21","0362-1340","0.621","0.705","0.09","0.148","0.28","0.163","acm sigplan notices"
"25","acm transactions on algorithms","22","1549-6325","0.4","0.54","0.646","0.932","-","-","acm trans algoritm"
"26","acm transactions on algorithms","22","1549-6325","0.4","0.54","0.646","0.932","-","-","acm t algorithms"
"27","acm transactions on applied perception","23","1544-3558","1.051","1","1.145","0.776","1.447","-","acm t appl percept"
