," This is a citation overview for a set of 9206 documents.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"h-index = 163 (Of the 9206 documents considered for the h-index, 163 have been cited at least 163 times.)",,,,,,,,,,,,,,,,,
,Scopus is in progress of updating pre-1996 cited references going back to 1970. The h-index might increase over time.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,subtotal,>2014,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,13,417,2389,5837,10328,16461,24152,34936,40776,135296,125204,260513
2014,"OnSet: A visualization technique for large-scale binary set data","Sadana R., Major T., Dove A., Stasko J.",10772626,"IEEE Transactions on Visualization and Computer Graphics",20, 12,0,0,0,0,0,0,0,0,1,1,14,15
2014,"Metabolomics data normalization with EigenMS","Karpievitch Y.V., Nikolic S.B., Wilson R., Sharman J.E., Edwards L.M.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,16,16
2014,"A modified data normalization method for GC-MS-based metabolomics to minimize batch variation","Chen M., Rao R.S.P., Zhang Y., Zhong C.X., Thelen J.J.",21931801,"SpringerPlus",3, 1,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Circadian variation of the human metabolome captured by real-time breath analysis","Martinez-Lozano Sinues P., Tarokh L., Li X., Kohler M., Brown S.A., Zenobi R., Dallmann R.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,18,18
2014,"Increasing fatty acid oxidation remodels the hypothalamic neurometabolome to mitigate stress and inflammation","McFadden J.W., Aja S., Li Q., Bandaru V.V.R., Kim E.-K., Haughey N.J., Kuhajda F.P., Ronnett G.V.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,12,12
2014,"Pea fiber and wheat bran fiber show distinct metabolic profiles in rats as investigated by a <sup>1</sup>H NMR-based metabolomic approach","Liu G., Xiao L., Fang T., Cai Y., Jia G., Zhao H., Wang J., Chen X., Wu C.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,9,9
2014,"Bladder cancer biomarker discovery using global metabolomic profiling of urine","Wittmann B.M., Stirdivant S.M., Mitchell M.W., Wulff J.E., McDunn J.E., Li Z., Dennis-Barrie A., Neri B.P., Milburn M.V., Lotan Y., Wolfert R.L.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,20,20
2014,"K-targeted metabolomic analysis extends chemical subtraction to DESIGNER extracts: Selective depletion of extracts of hops (Humulus lupulus)","Ramos Alvarenga R.F., Friesen J.B., Nikolic D., Simmler C., Napolitano J.G., Van Breemen R., Lankin D.C., McAlpine J.B., Pauli G.F., Chen S.-N.",01633864,"Journal of Natural Products",77, 12,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Metabolomic analysis reveals mechanism of antioxidant butylated hydroxyanisole on lipid accumulation in Crypthecodinium cohnii","Sui X., Niu X., Shi M., Pei G., Li J., Chen L., Wang J., Zhang W.",00218561,"Journal of Agricultural and Food Chemistry",62, 51,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Invariance and plasticity in the Drosophila melanogaster metabolomic network in response to temperature","Hariharan R., Hoffman J.M., Thomas A.S., Soltow Q.A., Jones D.P., Promislow D.E.L.",17520509,"BMC Systems Biology",8, 1,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Identification of molecular pathways affected by treatment with heartwood water extract of Pterocarpus marsupium in MCF 7 cancer cell line","Dabur R.",22108033,"Journal of Herbal Medicine",, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"A pharmaco-metabonomic study on chronic kidney disease and therapeutic effect of Ergone by UPLC-QTOF/HDMS","Zhao Y.-Y., Chen H., Tian T., Chen D.-Q., Bai X., Wei F., Dzeja P.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,19,19
