Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sadana, R., Major, T., Dove, A., Stasko, J.","OnSet: A visualization technique for large-scale binary set data",2014,"IEEE Transactions on Visualization and Computer Graphics",20,12, 6876026,1993,2002,,15,10.1109/TVCG.2014.2346249,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84910097840&partnerID=40&md5=045eddcb64810640127ec78003badd19",Article,Scopus,2-s2.0-84910097840
"Karpievitch, Y.V., Nikolic, S.B., Wilson, R., Sharman, J.E., Edwards, L.M.","Metabolomics data normalization with EigenMS",2014,"PLoS ONE",9,12, e116221,,,,16,10.1371/journal.pone.0116221,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920158793&partnerID=40&md5=0158f316fe15b23b2116570c2879c15c",Article,Scopus,2-s2.0-84920158793
"Chen, M., Rao, R.S.P., Zhang, Y., Zhong, C.X., Thelen, J.J.","A modified data normalization method for GC-MS-based metabolomics to minimize batch variation",2014,"SpringerPlus",3,1, 439,,,,7,10.1186/2193-1801-3-439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84933507558&partnerID=40&md5=2afb0fc139a72d75b6f434bfb3cdea18",Article,Scopus,2-s2.0-84933507558
"Martinez-Lozano Sinues, P., Tarokh, L., Li, X., Kohler, M., Brown, S.A., Zenobi, R., Dallmann, R.","Circadian variation of the human metabolome captured by real-time breath analysis",2014,"PLoS ONE",9,12, e114422,,,,18,10.1371/journal.pone.0114422,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919935807&partnerID=40&md5=18e595114649952f556bbccbc54d1e10",Article,Scopus,2-s2.0-84919935807
"McFadden, J.W., Aja, S., Li, Q., Bandaru, V.V.R., Kim, E.-K., Haughey, N.J., Kuhajda, F.P., Ronnett, G.V.","Increasing fatty acid oxidation remodels the hypothalamic neurometabolome to mitigate stress and inflammation",2014,"PLoS ONE",9,12, e115642,,,,12,10.1371/journal.pone.0115642,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919934511&partnerID=40&md5=9042bedc1010480625869c81f4f6a9d6",Article,Scopus,2-s2.0-84919934511
"Liu, G., Xiao, L., Fang, T., Cai, Y., Jia, G., Zhao, H., Wang, J., Chen, X., Wu, C.","Pea fiber and wheat bran fiber show distinct metabolic profiles in rats as investigated by a <sup>1</sup>H NMR-based metabolomic approach",2014,"PLoS ONE",9,12, e115561,,,,9,10.1371/journal.pone.0115561,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919935282&partnerID=40&md5=c6ab631acd30db3446565c662349525f",Article,Scopus,2-s2.0-84919935282
"Wittmann, B.M., Stirdivant, S.M., Mitchell, M.W., Wulff, J.E., McDunn, J.E., Li, Z., Dennis-Barrie, A., Neri, B.P., Milburn, M.V., Lotan, Y., Wolfert, R.L.","Bladder cancer biomarker discovery using global metabolomic profiling of urine",2014,"PLoS ONE",9,12, e115870,,,,20,10.1371/journal.pone.0115870,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919884328&partnerID=40&md5=c6cc4a54bbb59843c08c598f20644725",Article,Scopus,2-s2.0-84919884328
"Ramos Alvarenga, R.F., Friesen, J.B., Nikolić, D., Simmler, C., Napolitano, J.G., Van Breemen, R., Lankin, D.C., McAlpine, J.B., Pauli, G.F., Chen, S.-N.","K-targeted metabolomic analysis extends chemical subtraction to DESIGNER extracts: Selective depletion of extracts of hops (Humulus lupulus)",2014,"Journal of Natural Products",77,12,,2595,2604,,5,10.1021/np500376g,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920188857&partnerID=40&md5=bd3ab2b9ad89d3c17ce7b294f8f24dd8",Article,Scopus,2-s2.0-84920188857
"Sui, X., Niu, X., Shi, M., Pei, G., Li, J., Chen, L., Wang, J., Zhang, W.","Metabolomic analysis reveals mechanism of antioxidant butylated hydroxyanisole on lipid accumulation in Crypthecodinium cohnii",2014,"Journal of Agricultural and Food Chemistry",62,51,,12477,12484,,6,10.1021/jf503671m,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919708340&partnerID=40&md5=70c91f3758de201e41ee01f166170b35",Article,Scopus,2-s2.0-84919708340
"Hariharan, R., Hoffman, J.M., Thomas, A.S., Soltow, Q.A., Jones, D.P., Promislow, D.E.L.","Invariance and plasticity in the Drosophila melanogaster metabolomic network in response to temperature",2014,"BMC Systems Biology",8,1, 139,,,,3,10.1186/s12918-014-0139-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928672142&partnerID=40&md5=9fc835ce71f6fb6515ff43db4f4d7626",Article,Scopus,2-s2.0-84928672142
"Dabur, R.","Identification of molecular pathways affected by treatment with heartwood water extract of Pterocarpus marsupium in MCF 7 cancer cell line",2014,"Journal of Herbal Medicine",,,,,,,,10.1016/j.hermed.2017.04.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018693078&partnerID=40&md5=4add4bfb4e5fa10409cbb4939eb4c8ff",Article in Press,Scopus,2-s2.0-85018693078
"Zhao, Y.-Y., Chen, H., Tian, T., Chen, D.-Q., Bai, X., Wei, F., Dzeja, P.","A pharmaco-metabonomic study on chronic kidney disease and therapeutic effect of Ergone by UPLC-QTOF/HDMS",2014,"PLoS ONE",9,12, e115467,,,,19,10.1371/journal.pone.0115467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919798332&partnerID=40&md5=0201e79a60404088a81cda1f13456229",Article,Scopus,2-s2.0-84919798332
"Manara, A., Dalcorso, G., Guzzo, F., Furini, A.","Loss of the atypical kinases ABC1K7 and ABC1K8 changes the lipid composition of the chloroplast membrane",2014,"Plant and Cell Physiology",56,6,,1193,1204,,3,10.1093/pcp/pcv046,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930728078&partnerID=40&md5=3bd054f7c4e33462853241718d1f1991",Article,Scopus,2-s2.0-84930728078
