Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Biallelic variants in LINGO1 are associated with autosomal recessive intellectual disability, microcephaly, speech and motor delay.","/pubmed/28837161","Ansar M, Riazuddin S, Sarwar MT, Makrythanasis P, Paracha SA, Iqbal Z, Khan J, Assir MZ, Hussain M, Razzaq A, Polla DL, Taj AS, Holmgren A, Batool N, Misceo D, Iwaszkiewicz J, de Brouwer APM, Guipponi M, Hanquinet S, Zoete V, Santoni FA, Frengen E, et al.","Genet Med. 2017 Aug 24. doi: 10.1038/gim.2017.113. [Epub ahead of print]","Genet Med.  2017","PubMed","citation","PMID:28837161","pubmed","28837161","create date:2017/08/25 | first author:Ansar M",
"An improved vitrification protocol for equine immature oocytes, resulting in a first live foal.","/pubmed/28833413","Ortiz-Escribano N, Bogado Pascottini O, Woelders H, Vandenberghe L, De Schauwer C, Govaere J, Van den Abbeel E, Vullers T, Ververs C, Roels K, Van De Velde M, Van Soom A, Smits K.","Equine Vet J. 2017 Aug 20. doi: 10.1111/evj.12747. [Epub ahead of print]","Equine Vet J.  2017","PubMed","citation","PMID:28833413","pubmed","28833413","create date:2017/08/24 | first author:Ortiz-Escribano N",
"Physical mapping of QTL for tuber yield, starch content and starch yield in tetraploid potato (Solanum tuberosum L.) by means of genome wide genotyping by sequencing and the 8.3 K SolCAP SNP array.","/pubmed/28830357","Schönhals EM, Ding J, Ritter E, Paulo MJ, Cara N, Tacke E, Hofferbert HR, Lübeck J, Strahwald J, Gebhardt C.","BMC Genomics. 2017 Aug 22;18(1):642. doi: 10.1186/s12864-017-3979-9.","BMC Genomics.  2017","PubMed","citation","PMID:28830357","pubmed","28830357","create date:2017/08/24 | first author:Schönhals EM",
"Relating past and present diet to phenotypic and transcriptomic variation in the fruit fly.","/pubmed/28830340","May CM, Zwaan BJ.","BMC Genomics. 2017 Aug 22;18(1):640. doi: 10.1186/s12864-017-3968-z.","BMC Genomics.  2017","PubMed","citation","PMID:28830340","pubmed","28830340","create date:2017/08/24 | first author:May CM",
"A history of hybrids? Genomic patterns of introgression in the True Geese.","/pubmed/28830337","Ottenburghs J, Megens HJ, Kraus RHS, van Hooft P, van Wieren SE, Crooijmans RPMA, Ydenberg RC, Groenen MAM, Prins HHT.","BMC Evol Biol. 2017 Aug 22;17(1):201. doi: 10.1186/s12862-017-1048-2.","BMC Evol Biol.  2017","PubMed","citation","PMID:28830337","pubmed","28830337","create date:2017/08/24 | first author:Ottenburghs J",
"Prevalence of genital Chlamydia trachomatis infections in Russia: systematic literature review and multicenter study.","/pubmed/28830072","Smelov V, Thomas P, Ouburg S, Morré SA.","Pathog Dis. 2017 Sep 29;75(7). doi: 10.1093/femspd/ftx081.","Pathog Dis.  2017","PubMed","citation","PMID:28830072","pubmed","28830072","create date:2017/08/24 | first author:Smelov V",
"An integrated expression atlas of miRNAs and their promoters in human and mouse.","/pubmed/28829439","de Rie D, Abugessaisa I, Alam T, Arner E, Arner P, Ashoor H, Åström G, Babina M, Bertin N, Burroughs AM, Carlisle AJ, Daub CO, Detmar M, Deviatiiarov R, Fort A, Gebhard C, Goldowitz D, Guhl S, Ha TJ, Harshbarger J, Hasegawa A, Hashimoto K, et al.","Nat Biotechnol. 2017 Aug 21. doi: 10.1038/nbt.3947. [Epub ahead of print]","Nat Biotechnol.  2017","PubMed","citation","PMID:28829439","pubmed","28829439","create date:2017/08/23 | first author:de Rie D",
"An MR-compatible Antenna and Application in a Murine Superficial Hyperthermia Applicator.","/pubmed/28828891","Raaijmakers EAL, Mestrom RMC, Sumser K, Salim G, van Rhoon GC, Essers J, Paulides MM.","Int J Hyperthermia. 2017 Aug 22:1-25. doi: 10.1080/02656736.2017.1369172. [Epub ahead of print]","Int J Hyperthermia.  2017","PubMed","citation","PMID:28828891","pubmed","28828891","create date:2017/08/23 | first author:Raaijmakers EAL",
"Reduced immunoglobulin gene diversity in patients with Cornelia de Lange syndrome.","/pubmed/28826797","Björkman A, Du L, van der Burg M, Cormier-Daire V, Borck G, Pié J, Anderlid BM, Hammarström L, Ström L, Villartay JP, Kipling D, Walters DD, Pan-Hammarström Q.","J Allergy Clin Immunol. 2017 Aug 4. pii: S0091-6749(17)31266-6. doi: 10.1016/j.jaci.2017.06.043. [Epub ahead of print]","J Allergy Clin Immunol.  2017","PubMed","citation","PMID:28826797","pubmed","28826797","create date:2017/08/23 | first author:Björkman A",
"A Children's Oncology Group and TARGET initiative exploring the genetic landscape of Wilms tumor.","/pubmed/28825729","Gadd S, Huff V, Walz AL, Ooms AHAG, Armstrong AE, Gerhard DS, Smith MA, Auvil JMG, Meerzaman D, Chen QR, Hsu CH, Yan C, Nguyen C, Hu Y, Hermida LC, Davidsen T, Gesuwan P, Ma Y, Zong Z, Mungall AJ, Moore RA, Marra MA, et al.","Nat Genet. 2017 Aug 21. doi: 10.1038/ng.3940. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28825729","pubmed","28825729","create date:2017/08/22 | first author:Gadd S",
