Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Identification of novel molecular signatures of IgA nephropathy through an integrative -omics analysis.","/pubmed/28831120","Krochmal M, Cisek K, Filip S, Markoska K, Orange C, Zoidakis J, Gakiopoulou C, Spasovski G, Mischak H, Delles C, Vlahou A, Jankowski J.","Sci Rep. 2017 Aug 22;7(1):9091. doi: 10.1038/s41598-017-09393-w.","Sci Rep.  2017","PubMed","citation","PMID:28831120","pubmed","28831120","create date:2017/08/24 | first author:Krochmal M",
"The ninth ENBDC Weggis meeting: growth and in-depth characterisation of normal and neoplastic breast cells.","/pubmed/28830566","Wiese KE, Amante RJ, Vivanco MD, Bentires-Alj M, Iggo RD.","Breast Cancer Res. 2017 Aug 22;19(1):96. doi: 10.1186/s13058-017-0891-9.","Breast Cancer Res.  2017","PubMed","citation","PMID:28830566","pubmed","28830566","create date:2017/08/24 | first author:Wiese KE",
"The Evolution of gene regulation research in Lactococcus lactis.","/pubmed/28830093","Kok J, van Gijtenbeek LA, de Jong A, van der Meulen SB, Solopova A, Kuipers OP.","FEMS Microbiol Rev. 2017 Aug 1;41(Supp_1):S220-S243. doi: 10.1093/femsre/fux028.","FEMS Microbiol Rev.  2017","PubMed","citation","PMID:28830093","pubmed","28830093","create date:2017/08/24 | first author:Kok J",
"Integrative epigenomics, transcriptomics and proteomics of patient chondrocytes reveal genes and pathways involved in osteoarthritis.","/pubmed/28827734","Steinberg J, Ritchie GRS, Roumeliotis TI, Jayasuriya RL, Clark MJ, Brooks RA, Binch ALA, Shah KM, Coyle R, Pardo M, Le Maitre CL, Ramos YFM, Nelissen RGHH, Meulenbelt I, McCaskie AW, Choudhary JS, Wilkinson JM, Zeggini E.","Sci Rep. 2017 Aug 21;7(1):8935. doi: 10.1038/s41598-017-09335-6.","Sci Rep.  2017","PubMed","citation","PMID:28827734 | PMCID:PMC5566454","pubmed","28827734","create date:2017/08/23 | first author:Steinberg J",
"Decoding the Human Immunoglobulin G-Glycan Repertoire Reveals a Spectrum of Fc-Receptor- and Complement-Mediated-Effector Activities.","/pubmed/28824618","Dekkers G, Treffers L, Plomp R, Bentlage AEH, de Boer M, Koeleman CAM, Lissenberg-Thunnissen SN, Visser R, Brouwer M, Mok JY, Matlung H, van den Berg TK, van Esch WJE, Kuijpers TW, Wouters D, Rispens T, Wuhrer M, Vidarsson G.","Front Immunol. 2017 Aug 2;8:877. doi: 10.3389/fimmu.2017.00877. eCollection 2017.","Front Immunol.  2017","PubMed","citation","PMID:28824618 | PMCID:PMC5539844","pubmed","28824618","create date:2017/08/22 | first author:Dekkers G",
"A cross-platform metabolomics workflow for volume-restricted tissue samples: application to an animal model for polycystic kidney disease.","/pubmed/28820206","Sánchez-López E, Happé H, Steenvoorden E, Crego AL, Marina ML, Peters DJM, Mayboroda OA.","Mol Biosyst. 2017 Aug 18. doi: 10.1039/c7mb00245a. [Epub ahead of print]","Mol Biosyst.  2017","PubMed","citation","PMID:28820206","pubmed","28820206","create date:2017/08/19 | first author:Sánchez-López E",
"Paradigm of Biased PAR1 (Protease-Activated Receptor-1) Activation and Inhibition in Endothelial Cells Dissected by Phosphoproteomics.","/pubmed/28818855","van den Eshof BL, Hoogendijk AJ, Simpson PJ, van Alphen FPJ, Zanivan S, Mertens K, Meijer AB, van den Biggelaar M.","Arterioscler Thromb Vasc Biol. 2017 Aug 17. pii: ATVBAHA.117.309926. doi: 10.1161/ATVBAHA.117.309926. [Epub ahead of print]","Arterioscler Thromb Vasc Biol.  2017","PubMed","citation","PMID:28818855","pubmed","28818855","create date:2017/08/19 | first author:van den Eshof BL",
"Differential oxidation of protein-tyrosine phosphatases during zebrafish caudal fin regeneration.","/pubmed/28814789","Wu W, Hale AJ, Lemeer S, den Hertog J.","Sci Rep. 2017 Aug 16;7(1):8460. doi: 10.1038/s41598-017-07109-8.","Sci Rep.  2017","PubMed","citation","PMID:28814789 | PMCID:PMC5559610","pubmed","28814789","create date:2017/08/18 | first author:Wu W",
"Identification of CMTM6 and CMTM4 as PD-L1 protein regulators.","/pubmed/28813410","Mezzadra R, Sun C, Jae LT, Gomez-Eerland R, de Vries E, Wu W, Logtenberg MEW, Slagter M, Rozeman EA, Hofland I, Broeks A, Horlings HM, Wessels LFA, Blank CU, Xiao Y, Heck AJR, Borst J, Brummelkamp TR, Schumacher TNM.","Nature. 2017 Aug 16. doi: 10.1038/nature23669. [Epub ahead of print]","Nature.  2017","PubMed","citation","PMID:28813410","pubmed","28813410","create date:2017/08/17 | first author:Mezzadra R",
"Patients with IgG1-anti-red blood cell autoantibodies show aberrant Fc-glycosylation.","/pubmed/28811589","Sonneveld ME, de Haas M, Koeleman C, de Haan N, Zeerleder SS, Ligthart PC, Wuhrer M, van der Schoot CE, Vidarsson G.","Sci Rep. 2017 Aug 15;7(1):8187. doi: 10.1038/s41598-017-08654-y.","Sci Rep.  2017","PubMed","citation","PMID:28811589 | PMCID:PMC5557851","pubmed","28811589","create date:2017/08/16 | first author:Sonneveld ME",
