Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Transient exposure to oxygen or nitrate reveals ecophysiology of fermentative and sulfate-reducing benthic microbial populations.","/pubmed/28836729","Abdulrahman Beiruti Z, Bhatnagar S, Tegetmeyer HE, Geelhoed JS, Strous M, Ruff SE.","Environ Microbiol. 2017 Aug 24. doi: 10.1111/1462-2920.13895. [Epub ahead of print]","Environ Microbiol.  2017","PubMed","citation","PMID:28836729","pubmed","28836729","create date:2017/08/25 | first author:Abdulrahman Beiruti Z",
"MicroRNA profile for health risk assessment: Environmental exposure to persistent organic pollutants strongly affects the human blood microRNA machinery.","/pubmed/28835693","Krauskopf J, de Kok TM, Hebels DG, Bergdahl IA, Johansson A, Spaeth F, Kiviranta H, Rantakokko P, Kyrtopoulos SA, Kleinjans JC.","Sci Rep. 2017 Aug 23;7(1):9262. doi: 10.1038/s41598-017-10167-7.","Sci Rep.  2017","PubMed","citation","PMID:28835693","pubmed","28835693","create date:2017/08/25 | first author:Krauskopf J",
"Identification of novel molecular signatures of IgA nephropathy through an integrative -omics analysis.","/pubmed/28831120","Krochmal M, Cisek K, Filip S, Markoska K, Orange C, Zoidakis J, Gakiopoulou C, Spasovski G, Mischak H, Delles C, Vlahou A, Jankowski J.","Sci Rep. 2017 Aug 22;7(1):9091. doi: 10.1038/s41598-017-09393-w.","Sci Rep.  2017","PubMed","citation","PMID:28831120","pubmed","28831120","create date:2017/08/24 | first author:Krochmal M",
"Relating past and present diet to phenotypic and transcriptomic variation in the fruit fly.","/pubmed/28830340","May CM, Zwaan BJ.","BMC Genomics. 2017 Aug 22;18(1):640. doi: 10.1186/s12864-017-3968-z.","BMC Genomics.  2017","PubMed","citation","PMID:28830340","pubmed","28830340","create date:2017/08/24 | first author:May CM",
"The Evolution of gene regulation research in Lactococcus lactis.","/pubmed/28830093","Kok J, van Gijtenbeek LA, de Jong A, van der Meulen SB, Solopova A, Kuipers OP.","FEMS Microbiol Rev. 2017 Aug 1;41(Supp_1):S220-S243. doi: 10.1093/femsre/fux028.","FEMS Microbiol Rev.  2017","PubMed","citation","PMID:28830093","pubmed","28830093","create date:2017/08/24 | first author:Kok J",
"Integrative epigenomics, transcriptomics and proteomics of patient chondrocytes reveal genes and pathways involved in osteoarthritis.","/pubmed/28827734","Steinberg J, Ritchie GRS, Roumeliotis TI, Jayasuriya RL, Clark MJ, Brooks RA, Binch ALA, Shah KM, Coyle R, Pardo M, Le Maitre CL, Ramos YFM, Nelissen RGHH, Meulenbelt I, McCaskie AW, Choudhary JS, Wilkinson JM, Zeggini E.","Sci Rep. 2017 Aug 21;7(1):8935. doi: 10.1038/s41598-017-09335-6.","Sci Rep.  2017","PubMed","citation","PMID:28827734 | PMCID:PMC5566454","pubmed","28827734","create date:2017/08/23 | first author:Steinberg J",
"Architecture and Dynamics of the Jasmonic Acid Gene Regulatory Network.","/pubmed/28827376","Hickman R, van Verk MC, Van Dijken AJH, Pereira Mendes M, Vroegop-Vos IA, Caarls L, Steenbergen M, Van Der Nagel I, Wesselink GJ, Jironkin A, Talbot A, Rhodes J, de Vries M, Schuurink RC, Denby K, Pieterse CMJ, Van Wees SCM.","Plant Cell. 2017 Aug 21. pii: tpc.00958.2016. doi: 10.1105/tpc.16.00958. [Epub ahead of print]","Plant Cell.  2017","PubMed","citation","PMID:28827376","pubmed","28827376","create date:2017/08/23 | first author:Hickman R",
"Comparative Transcriptomics of Bacillus mycoides Strains in Response to Potato-Root Exudates Reveals Different Genetic Adaptation of Endophytic and Soil Isolates.","/pubmed/28824604","Yi Y, de Jong A, Frenzel E, Kuipers OP.","Front Microbiol. 2017 Aug 4;8:1487. doi: 10.3389/fmicb.2017.01487. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824604 | PMCID:PMC5543090","pubmed","28824604","create date:2017/08/22 | first author:Yi Y",
"Aspergillus niger Secretes Citrate to Increase Iron Bioavailability.","/pubmed/28824560","Odoni DI, van Gaal MP, Schonewille T, Tamayo-Ramos JA, Martins Dos Santos VAP, Suarez-Diez M, Schaap PJ.","Front Microbiol. 2017 Aug 2;8:1424. doi: 10.3389/fmicb.2017.01424. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28824560 | PMCID:PMC5539119","pubmed","28824560","create date:2017/08/22 | first author:Odoni DI",
"Transcriptome-wide analyses indicate mitochondrial responses to particulate air pollution exposure.","/pubmed/28821289","Winckelmans E, Nawrot TS, Tsamou M, Den Hond E, Baeyens W, Kleinjans J, Lefebvre W, Van Larebeke N, Peusens M, Plusquin M, Reynders H, Schoeters G, Vanpoucke C, de Kok TM, Vrijens K.","Environ Health. 2017 Aug 18;16(1):87. doi: 10.1186/s12940-017-0292-7.","Environ Health.  2017","PubMed","citation","PMID:28821289 | PMCID:PMC5563023","pubmed","28821289","create date:2017/08/20 | first author:Winckelmans E",
"Interleukin-17 receptor A (IL-17RA) as a central regulator of the protective immune response against Giardia.","/pubmed/28819174","Paerewijck O, Maertens B, Dreesen L, Van Meulder F, Peelaers I, Ratman D, Li RW, Lubberts E, De Bosscher K, Geldhof P.","Sci Rep. 2017 Aug 17;7(1):8520. doi: 10.1038/s41598-017-08590-x.","Sci Rep.  2017","PubMed","citation","PMID:28819174 | PMCID:PMC5561107","pubmed","28819174","create date:2017/08/19 | first author:Paerewijck O",
"Comparative analysis of basidiomycete transcriptomes reveals a core set of expressed genes encoding plant biomass degrading enzymes.","/pubmed/28803908","Peng M, Aguilar-Pontes MV, Hainaut M, Henrissat B, Hildén K, Mäkelä MR, de Vries RP.","Fungal Genet Biol. 2017 Aug 10. pii: S1087-1845(17)30129-9. doi: 10.1016/j.fgb.2017.08.001. [Epub ahead of print]","Fungal Genet Biol.  2017","PubMed","citation","PMID:28803908","pubmed","28803908","create date:2017/08/15 | first author:Peng M",
"High Resolution Mapping of Chromatin Conformation in Cardiac Myocytes Reveals Structural Remodeling of the Epigenome in Heart Failure.","/pubmed/28802249","Rosa-Garrido M, Chapski DJ, Schmitt AD, Kimball TH, Karbassi E, Monte E, Balderas E, Pellegrini M, Shih TT, Soehalim E, Liem DA, Ping P, Galjart NJ, Ren S, Wang Y, Ren B, Vondriska TM.","Circulation. 2017 Aug 11. pii: CIRCULATIONAHA.117.029430. doi: 10.1161/CIRCULATIONAHA.117.029430. [Epub ahead of print]","Circulation.  2017","PubMed","citation","PMID:28802249","pubmed","28802249","create date:2017/08/13 | first author:Rosa-Garrido M",
"Differential transcriptome of tolerogenic versus inflammatory dendritic cells points to modulated T1D genetic risk and enriched immune regulation.","/pubmed/28794505","Nikolic T, Woittiez NJC, van der Slik A, Laban S, Joosten A, Gysemans C, Mathieu C, Zwaginga JJ, Koeleman B, Roep BO.","Genes Immun. 2017 Aug 10. doi: 10.1038/gene.2017.18. [Epub ahead of print]","Genes Immun.  2017","PubMed","citation","PMID:28794505","pubmed","28794505","create date:2017/08/11 | first author:Nikolic T",
"The non-coding RNA landscape of human hematopoiesis and leukemia.","/pubmed/28794406","Schwarzer A, Emmrich S, Schmidt F, Beck D, Ng M, Reimer C, Adams FF, Grasedieck S, Witte D, Käbler S, Wong JWH, Shah A, Huang Y, Jammal R, Maroz A, Jongen-Lavrencic M, Schambach A, Kuchenbauer F, Pimanda JE, Reinhardt D, Heckl D, Klusmann JH.","Nat Commun. 2017 Aug 9;8(1):218. doi: 10.1038/s41467-017-00212-4.","Nat Commun.  2017","PubMed","citation","PMID:28794406 | PMCID:PMC5550424","pubmed","28794406","create date:2017/08/11 | first author:Schwarzer A",
"Transcriptome profiling from adipose tissue during a low-calorie diet reveals predictors of weight and glycemic outcomes in obese, nondiabetic subjects.","/pubmed/28793995","Armenise C, Lefebvre G, Carayol J, Bonnel S, Bolton J, Di Cara A, Gheldof N, Descombes P, Langin D, Saris WH, Astrup A, Hager J, Viguerie N, Valsesia A.","Am J Clin Nutr. 2017 Aug 9. pii: ajcn156216. doi: 10.3945/ajcn.117.156216. [Epub ahead of print]","Am J Clin Nutr.  2017","PubMed","citation","PMID:28793995","pubmed","28793995","create date:2017/08/11 | first author:Armenise C",
"CXCL9, a promising biomarker in the diagnosis of chronic Q fever.","/pubmed/28793883","Jansen AFM, Schoffelen T, Textoris J, Mege JL, Nabuurs-Franssen M, Raijmakers RPH, Netea MG, Joosten LAB, Bleeker-Rovers CP, van Deuren M.","BMC Infect Dis. 2017 Aug 9;17(1):556. doi: 10.1186/s12879-017-2656-6.","BMC Infect Dis.  2017","PubMed","citation","PMID:28793883 | PMCID:PMC5551022","pubmed","28793883","create date:2017/08/11 | first author:Jansen AFM",
