Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Dimethyl-Labeling-Based Quantification of the Lysine Acetylome and Proteome of Plants.","/pubmed/28822126","Lassowskat I, Hartl M, Hosp F, Boersema PJ, Mann M, Finkemeier I.","Methods Mol Biol. 2017;1653:65-81. doi: 10.1007/978-1-4939-7225-8_5.","Methods Mol Biol.  2017","PubMed","citation","PMID:28822126","pubmed","28822126","create date:2017/08/20 | first author:Lassowskat I",
"Large-scale proteomics combined with transgenic experiments demonstrates an important role of jasmonic acid&nbsp;in potassium&nbsp;deficiency response in wheat and rice.","/pubmed/28821602","Li G, Wu Y, Liu G, Xiao X, Wang P, Gao T, Xu M, Han Q, Wang Y, Guo T, Kang G.","Mol Cell Proteomics. 2017 Aug 18. pii: mcp.000032.2017. doi: 10.1074/mcp.RA117.000032. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28821602","pubmed","28821602","create date:2017/08/20 | first author:Li G",
"Genomic, transcriptomic, and proteomic approaches towards understanding the molecular mechanisms of salt tolerance in Frankia strains isolated from Casuarina trees.","/pubmed/28821232","Oshone R, Ngom M, Chu F, Mansour S, Sy MO, Champion A, Tisa LS.","BMC Genomics. 2017 Aug 18;18(1):633. doi: 10.1186/s12864-017-4056-0.","BMC Genomics.  2017","PubMed","citation","PMID:28821232","pubmed","28821232","create date:2017/08/20 | first author:Oshone R",
"A Microsomal Proteomics View of H₂O₂- and ABA-Dependent Responses.","/pubmed/28820483","Alqurashi M, Thomas L, Gehring C, Marondedze C.","Proteomes. 2017 Aug 18;5(3). pii: E22. doi: 10.3390/proteomes5030022.","Proteomes.  2017","PubMed","citation","PMID:28820483","pubmed","28820483","create date:2017/08/19 | first author:Alqurashi M",
"Cell wall modifications of two Arabidopsis thaliana ecotypes, Col and Sha, in response to sub-optimal growth conditions: An integrative study.","/pubmed/28818374","Duruflé H, Hervé V, Ranocha P, Balliau T, Zivy M, Chourré J, San Clemente H, Burlat V, Albenne C, Déjean S, Jamet E, Dunand C.","Plant Sci. 2017 Oct;263:183-193. doi: 10.1016/j.plantsci.2017.07.015. Epub 2017 Jul 20.","Plant Sci.  2017","PubMed","citation","PMID:28818374","pubmed","28818374","create date:2017/08/19 | first author:Duruflé H",
"Proteomic analysis during of spore germination of Moniliophthora perniciosa, the causal agent of witches' broom disease in cacao.","/pubmed/28818052","Mares JH, Gramacho KP, Santos EC, da Silva Santiago A, Santana JO, de Sousa AO, Alvim FC, Pirovani CP.","BMC Microbiol. 2017 Aug 17;17(1):176. doi: 10.1186/s12866-017-1085-4.","BMC Microbiol.  2017","PubMed","citation","PMID:28818052","pubmed","28818052","create date:2017/08/19 | first author:Mares JH",
"Proteomics analysis identified a DRT protein involved in arsenic resistance in Populus.","/pubmed/28815368","Liu Y, Damaris RN, Yang P.","Plant Cell Rep. 2017 Aug 16. doi: 10.1007/s00299-017-2199-8. [Epub ahead of print]","Plant Cell Rep.  2017","PubMed","citation","PMID:28815368","pubmed","28815368","create date:2017/08/18 | first author:Liu Y",
"A novel method for transmitting southern rice black-streaked dwarf virus to rice without insect vector.","/pubmed/28810884","Yu L, Shi J, Cao L, Zhang G, Wang W, Hu D, Song B.","Virol J. 2017 Aug 15;14(1):155. doi: 10.1186/s12985-017-0815-4.","Virol J.  2017","PubMed","citation","PMID:28810884 | PMCID:PMC5558718","pubmed","28810884","create date:2017/08/16 | first author:Yu L",
"Proteomics informed by transcriptomics for characterising differential cellular susceptibility to Nelson Bay orthoreovirus infection.","/pubmed/28806913","Mok L, Wynne JW, Tachedjian M, Shiell B, Ford K, Matthews DA, Bacic A, Michalski WP.","BMC Genomics. 2017 Aug 14;18(1):615. doi: 10.1186/s12864-017-3994-x.","BMC Genomics.  2017","PubMed","citation","PMID:28806913 | PMCID:PMC5556373","pubmed","28806913","create date:2017/08/16 | first author:Mok L",
"Comparative analysis of basidiomycete transcriptomes reveals a core set of expressed genes encoding plant biomass degrading enzymes.","/pubmed/28803908","Peng M, Aguilar-Pontes MV, Hainaut M, Henrissat B, Hildén K, Mäkelä MR, de Vries RP.","Fungal Genet Biol. 2017 Aug 10. pii: S1087-1845(17)30129-9. doi: 10.1016/j.fgb.2017.08.001. [Epub ahead of print]","Fungal Genet Biol.  2017","PubMed","citation","PMID:28803908","pubmed","28803908","create date:2017/08/15 | first author:Peng M",
"Differential Proteomic Analysis Reveals the Effect of Calcium on Malus baccata Borkh. Leaves under Temperature Stress.","/pubmed/28800123","Li L, Su H, Ma H, Lyu D.","Int J Mol Sci. 2017 Aug 11;18(8). pii: E1755. doi: 10.3390/ijms18081755.","Int J Mol Sci.  2017","PubMed","citation","PMID:28800123","pubmed","28800123","create date:2017/08/12 | first author:Li L",
