Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Circulating Tumor Cells: Markers and Methodologies for Enrichment and Detection.","/pubmed/28819860","Alvarez Cubero MJ, Lorente JA, Robles-Fernandez I, Rodriguez-Martinez A, Puche JL, Serrano MJ.","Methods Mol Biol. 2017;1634:283-303. doi: 10.1007/978-1-4939-7144-2_24.","Methods Mol Biol.  2017","PubMed","citation","PMID:28819860","pubmed","28819860","create date:2017/08/19 | first author:Alvarez Cubero MJ",
"Sex and tissue specific gene expression patterns identified following de novo transcriptomic analysis of the Norway lobster, Nephrops norvegicus.","/pubmed/28814267","Rotllant G, Nguyen TV, Sbragaglia V, Rahi L, Dudley KJ, Hurwood D, Ventura T, Company JB, Chand V, Aguzzi J, Mather PB.","BMC Genomics. 2017 Aug 16;18(1):622. doi: 10.1186/s12864-017-3981-2.","BMC Genomics.  2017","PubMed","citation","PMID:28814267 | PMCID:PMC5559819","pubmed","28814267","create date:2017/08/18 | first author:Rotllant G",
"444OPHASE IB TRIAL TRIAL OF RG7116, A GLYCOENGINEERED MONOCLONAL ANTIBODY TARGETING HER3, IN COMBINATION WITH CETUXIMAB OR ERLOTINIB IN PATIENTS WITH ADVANCED/METASTATIC TUMORS OF EPITHELIAL CELL ORIGIN EXPRESSING HER3 PROTEIN.","/pubmed/28170796","Lassen UN, Ruiperez AC, Fleitas T, Meulendijks D, Schellens J, Lolkemar M, De Jonge MJ, Sleijfer S, Mau-Soerensen M, Taus A, Adessi C, Keelara A, Michielin F, Bossenmaier B, Meneses-Lorente G, James I, Jacob W, Weisser M, Martinez-Garcia M.","Ann Oncol. 2014 Sep 1;25(suppl_4):iv147. doi: 10.1093/annonc/mdu331.4. No abstract available. ","Ann Oncol.  2014","PubMed","citation","PMID:28170796","pubmed","28170796","create date:2014/09/01 | first author:Lassen UN",
"147INTRANSLATING BREAST CANCER GENOMICS INTO CLINIC.","/pubmed/28170561","Martin M.","Ann Oncol. 2014 Sep 1;25(suppl_4):iv51. doi: 10.1093/annonc/mdu324.1. No abstract available. ","Ann Oncol.  2014","PubMed","citation","PMID:28170561","pubmed","28170561","create date:2014/09/01 | first author:Martin M",
"Relationship of ERCC1 genotype variant with mRNA expression and ERCC1 protein levels in advanced urothelial carcinoma (UC).","/pubmed/28136860","Werner L, Bellmunt J, Nikitas N, Stack EC, Lis R, Signoretti S, Loda M, Regan MM, Park RS, O'Brien R, Berman DM, Bamias A, Rosenberg JE.","J Clin Oncol. 2013 Feb 20;31(6_suppl):260. doi: 10.1200/jco.2013.31.6_suppl.260.","J Clin Oncol.  2013","PubMed","citation","PMID:28136860","pubmed","28136860","create date:2013/02/20 | first author:Werner L",
"Development of pathogenicity predictors specific for variants that do not comply with clinical guidelines for the use of computational evidence.","/pubmed/28812538","de la Campa EÁ, Padilla N, de la Cruz X.","BMC Genomics. 2017 Aug 11;18(Suppl 5):569. doi: 10.1186/s12864-017-3914-0.","BMC Genomics.  2017","PubMed","citation","PMID:28812538 | PMCID:PMC5558188","pubmed","28812538","create date:2017/08/16 | first author:de la Campa EÁ",
"Epigenetics and Oxidative Stress in Aging.","/pubmed/28808499","Guillaumet-Adkins A, Yañez Y, Peris-Diaz MD, Calabria I, Palanca-Ballester C, Sandoval J.","Oxid Med Cell Longev. 2017;2017:9175806. doi: 10.1155/2017/9175806. Epub 2017 Jul 20. Review.","Oxid Med Cell Longev.  2017","PubMed","citation","PMID:28808499 | PMCID:PMC5541801","pubmed","28808499","create date:2017/08/16 | first author:Guillaumet-Adkins A",
"Mobilization of LINE-1 retrotransposons is restricted by Tex19.1 in mouse embryonic stem cells.","/pubmed/28806172","MacLennan M, García-Cañadas M, Reichmann J, Khazina E, Wagner G, Playfoot CJ, Salvador-Palomeque C, Mann AR, Peressini P, Sanchez L, Dobie K, Read D, Hung CC, Eskeland R, Meehan RR, Weichenrieder O, García-Pérez JL, Adams IR.","Elife. 2017 Aug 14;6. pii: e26152. doi: 10.7554/eLife.26152.","Elife.  2017","PubMed","citation","PMID:28806172","pubmed","28806172","create date:2017/08/15 | first author:MacLennan M",
"Mutations in KEOPS-complex genes cause nephrotic syndrome with primary microcephaly.","/pubmed/28805828","Braun DA, Rao J, Mollet G, Schapiro D, Daugeron MC, Tan W, Gribouval O, Boyer O, Revy P, Jobst-Schwan T, Schmidt JM, Lawson JA, Schanze D, Ashraf S, Ullmann JFP, Hoogstraten CA, Boddaert N, Collinet B, Martin G, Liger D, Lovric S, Furlano M, et al.","Nat Genet. 2017 Aug 14. doi: 10.1038/ng.3933. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28805828","pubmed","28805828","create date:2017/08/15 | first author:Braun DA",
"Human genomics projects and precision medicine.","/pubmed/28805797","Carrasco-Ramiro F, Peiró-Pastor R, Aguado B.","Gene Ther. 2017 Aug 14. doi: 10.1038/gt.2017.77. [Epub ahead of print] Review.","Gene Ther.  2017","PubMed","citation","PMID:28805797","pubmed","28805797","create date:2017/08/15 | first author:Carrasco-Ramiro F",
