Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A cost-effective approach to produce (15)N-labelled amino acids employing Chlamydomonas reinhardtii CC503.","/pubmed/28821247","Nicolás Carcelén J, Marchante-Gayón JM, González PR, Valledor L, Cañal MJ, Alonso JIG.","Microb Cell Fact. 2017 Aug 18;16(1):146. doi: 10.1186/s12934-017-0759-9.","Microb Cell Fact.  2017","PubMed","citation","PMID:28821247","pubmed","28821247","create date:2017/08/20 | first author:Nicolás Carcelén J",
"Systematic Identification of MCU Modulators by Orthogonal Interspecies Chemical Screening.","/pubmed/28820965","Arduino DM, Wettmarshausen J, Vais H, Navas-Navarro P, Cheng Y, Leimpek A, Ma Z, Delrio-Lorenzo A, Giordano A, Garcia-Perez C, Médard G, Kuster B, García-Sancho J, Mokranjac D, Foskett JK, Alonso MT, Perocchi F.","Mol Cell. 2017 Aug 17;67(4):711-723.e7. doi: 10.1016/j.molcel.2017.07.019.","Mol Cell.  2017","PubMed","citation","PMID:28820965","pubmed","28820965","create date:2017/08/19 | first author:Arduino DM",
"Marine Lipids on Cardiovascular Diseases and Other Chronic Diseases Induced by Diet: An Insight Provided by Proteomics and Lipidomics.","/pubmed/28820493","Méndez L, Dasilva G, Taltavull N, Romeu M, Medina I.","Mar Drugs. 2017 Aug 18;15(8). pii: E258. doi: 10.3390/md15080258. Review.","Mar Drugs.  2017","PubMed","citation","PMID:28820493","pubmed","28820493","create date:2017/08/19 | first author:Méndez L",
"A cross-platform metabolomics workflow for volume-restricted tissue samples: application to an animal model for polycystic kidney disease.","/pubmed/28820206","Sánchez-López E, Happé H, Steenvoorden E, Crego AL, Marina ML, Peters DJM, Mayboroda OA.","Mol Biosyst. 2017 Aug 18. doi: 10.1039/c7mb00245a. [Epub ahead of print]","Mol Biosyst.  2017","PubMed","citation","PMID:28820206","pubmed","28820206","create date:2017/08/19 | first author:Sánchez-López E",
"Relationship of ERCC1 genotype variant with mRNA expression and ERCC1 protein levels in advanced urothelial carcinoma (UC).","/pubmed/28136860","Werner L, Bellmunt J, Nikitas N, Stack EC, Lis R, Signoretti S, Loda M, Regan MM, Park RS, O'Brien R, Berman DM, Bamias A, Rosenberg JE.","J Clin Oncol. 2013 Feb 20;31(6_suppl):260. doi: 10.1200/jco.2013.31.6_suppl.260.","J Clin Oncol.  2013","PubMed","citation","PMID:28136860","pubmed","28136860","create date:2013/02/20 | first author:Werner L",
"Activity of the β-Lactamase inhibitor LN-1-255 against carbapenem-hydrolyzing class D β-lactamases from Acinetobacter baumannii.","/pubmed/28807908","Vázquez-Ucha JC, Maneiro M, Martínez-Guitián M, Buynak J, Bethel CR, Bonomo RA, Bou G, Poza M, González-Bello C, Beceiro A.","Antimicrob Agents Chemother. 2017 Aug 14. pii: AAC.01172-17. doi: 10.1128/AAC.01172-17. [Epub ahead of print]","Antimicrob Agents Chemother.  2017","PubMed","citation","PMID:28807908","pubmed","28807908","create date:2017/08/16 | first author:Vázquez-Ucha JC",
"Mutations in KEOPS-complex genes cause nephrotic syndrome with primary microcephaly.","/pubmed/28805828","Braun DA, Rao J, Mollet G, Schapiro D, Daugeron MC, Tan W, Gribouval O, Boyer O, Revy P, Jobst-Schwan T, Schmidt JM, Lawson JA, Schanze D, Ashraf S, Ullmann JFP, Hoogstraten CA, Boddaert N, Collinet B, Martin G, Liger D, Lovric S, Furlano M, et al.","Nat Genet. 2017 Aug 14. doi: 10.1038/ng.3933. [Epub ahead of print]","Nat Genet.  2017","PubMed","citation","PMID:28805828","pubmed","28805828","create date:2017/08/15 | first author:Braun DA",
"Methylation of DNA Ligase 1 by G9a/GLP Recruits UHRF1 to Replicating DNA and Regulates DNA Methylation.","/pubmed/28803780","Ferry L, Fournier A, Tsusaka T, Adelmant G, Shimazu T, Matano S, Kirsh O, Amouroux R, Dohmae N, Suzuki T, Filion GJ, Deng W, de Dieuleveult M, Fritsch L, Kudithipudi S, Jeltsch A, Leonhardt H, Hajkova P, Marto JA, Arita K, Shinkai Y, Defossez PA.","Mol Cell. 2017 Aug 17;67(4):550-565.e5. doi: 10.1016/j.molcel.2017.07.012. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803780","pubmed","28803780","create date:2017/08/15 | first author:Ferry L",
"Multimodal laser ablation/desorption imaging analysis of Zn and MMP-11 in breast tissues.","/pubmed/28801789","de Vega RG, Sanchez MLF, Eiro N, Vizoso FJ, Sperling M, Karst U, Medel AS.","Anal Bioanal Chem. 2017 Aug 12. doi: 10.1007/s00216-017-0537-x. [Epub ahead of print]","Anal Bioanal Chem.  2017","PubMed","citation","PMID:28801789","pubmed","28801789","create date:2017/08/13 | first author:de Vega RG",
"Biomarker research to improve clinical outcomes of peritoneal dialysis: consensus of the European Training and Research in Peritoneal Dialysis (EuTRiPD) network.","/pubmed/28797473","Aufricht C, Beelen R, Eberl M, Fischbach M, Fraser D, Jörres A, Kratochwill K, LópezCabrera M, Rutherford P, Schmitt CP, Topley N, Witowski J.","Kidney Int. 2017 Aug 8. pii: S0085-2538(17)30419-2. doi: 10.1016/j.kint.2017.02.037. [Epub ahead of print] Review.","Kidney Int.  2017","PubMed","citation","PMID:28797473","pubmed","28797473","create date:2017/08/12 | first author:Aufricht C",
