Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The Transcriptome of Streptococcus pneumoniae Induced by Local and Global Changes in Supercoiling.","/pubmed/28824578","de la Campa AG, Ferrándiz MJ, Martín-Galiano AJ, García MT, Tirado-Vélez JM.","Front Microbiol. 2017 Jul 31;8:1447. doi: 10.3389/fmicb.2017.01447. eCollection 2017. Review.","Front Microbiol.  2017","PubMed","citation","PMID:28824578 | PMCID:PMC5534458","pubmed","28824578","create date:2017/08/22 | first author:de la Campa AG",
"Microarray gene-expression study in fibroblast and lymphoblastoid cell lines from antipsychotic-naïve first-episode schizophrenia patients.","/pubmed/28822801","Gassó P, Mas S, Rodríguez N, Boloc D, García-Cerro S, Bernardo M, Lafuente A, Parellada E.","J Psychiatr Res. 2017 Aug 5;95:91-101. doi: 10.1016/j.jpsychires.2017.08.003. [Epub ahead of print]","J Psychiatr Res.  2017","PubMed","citation","PMID:28822801","pubmed","28822801","create date:2017/08/22 | first author:Gassó P",
"The acute effects of ultraviolet radiation on the blood transcriptome are independent of plasma 25OHD(3).","/pubmed/28822308","Bustamante M, Hernandez-Ferrer C, Sarria Y, Harrison GI, Nonell L, Kang W, Friedländer MR, Estivill X, González JR, Nieuwenhuijsen M, Young AR.","Environ Res. 2017 Aug 16;159:239-248. doi: 10.1016/j.envres.2017.07.045. [Epub ahead of print]","Environ Res.  2017","PubMed","citation","PMID:28822308","pubmed","28822308","create date:2017/08/20 | first author:Bustamante M",
"Sex and tissue specific gene expression patterns identified following de novo transcriptomic analysis of the Norway lobster, Nephrops norvegicus.","/pubmed/28814267","Rotllant G, Nguyen TV, Sbragaglia V, Rahi L, Dudley KJ, Hurwood D, Ventura T, Company JB, Chand V, Aguzzi J, Mather PB.","BMC Genomics. 2017 Aug 16;18(1):622. doi: 10.1186/s12864-017-3981-2.","BMC Genomics.  2017","PubMed","citation","PMID:28814267 | PMCID:PMC5559819","pubmed","28814267","create date:2017/08/18 | first author:Rotllant G",
"Comprehensive comparison of neonate and adult human platelet transcriptomes.","/pubmed/28813466","Caparrós-Pérez E, Teruel-Montoya R, López-Andreo MJ, Llanos MC, Rivera J, Palma-Barqueros V, Blanco JE, Vicente V, Martínez C, Ferrer-Marín F.","PLoS One. 2017 Aug 16;12(8):e0183042. doi: 10.1371/journal.pone.0183042. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28813466","pubmed","28813466","create date:2017/08/17 | first author:Caparrós-Pérez E",
"Genome of the pitcher plant Cephalotus reveals genetic changes associated with carnivory.","/pubmed/28812732","Fukushima K, Fang X, Alvarez-Ponce D, Cai H, Carretero-Paulet L, Chen C, Chang TH, Farr KM, Fujita T, Hiwatashi Y, Hoshi Y, Imai T, Kasahara M, Librado P, Mao L, Mori H, Nishiyama T, Nozawa M, Pálfalvi G, Pollard ST, Rozas J, Sánchez-Gracia A, et al.","Nat Ecol Evol. 2017 Feb 6;1(3):59. doi: 10.1038/s41559-016-0059.","Nat Ecol Evol.  2017","PubMed","citation","PMID:28812732","pubmed","28812732","create date:2017/08/16 | first author:Fukushima K",
"Myc Regulates Chromatin Decompaction and Nuclear Architecture during B Cell Activation.","/pubmed/28803781","Kieffer-Kwon KR, Nimura K, Rao SSP, Xu J, Jung S, Pekowska A, Dose M, Stevens E, Mathe E, Dong P, Huang SC, Ricci MA, Baranello L, Zheng Y, Ardori FT, Resch W, Stavreva D, Nelson S, McAndrew M, Casellas A, Finn E, Gregory C, et al.","Mol Cell. 2017 Aug 17;67(4):566-578.e10. doi: 10.1016/j.molcel.2017.07.013. Epub 2017 Aug 10.","Mol Cell.  2017","PubMed","citation","PMID:28803781","pubmed","28803781","create date:2017/08/15 | first author:Kieffer-Kwon KR",
"Aged Stem Cells Reprogram Their Daily Rhythmic Functions to Adapt to Stress.","/pubmed/28802040","Solanas G, Peixoto FO, Perdiguero E, Jardí M, Ruiz-Bonilla V, Datta D, Symeonidi A, Castellanos A, Welz PS, Caballero JM, Sassone-Corsi P, Muñoz-Cánoves P, Benitah SA.","Cell. 2017 Aug 10;170(4):678-692.e20. doi: 10.1016/j.cell.2017.07.035.","Cell.  2017","PubMed","citation","PMID:28802040","pubmed","28802040","create date:2017/08/13 | first author:Solanas G",
"Circadian Reprogramming in the Liver Identifies Metabolic Pathways of Aging.","/pubmed/28802039","Sato S, Solanas G, Peixoto FO, Bee L, Symeonidi A, Schmidt MS, Brenner C, Masri S, Benitah SA, Sassone-Corsi P.","Cell. 2017 Aug 10;170(4):664-677.e11. doi: 10.1016/j.cell.2017.07.042.","Cell.  2017","PubMed","citation","PMID:28802039","pubmed","28802039","create date:2017/08/13 | first author:Sato S",
"Growth of Amanita caesarea in the presence of Pseudomonas fluorescens and Bacillus cereus.","/pubmed/28800852","Cano JM, Berrocal-Lobo M, Domínguez-Núñez JA.","Fungal Biol. 2017 Sep;121(9):825-833. doi: 10.1016/j.funbio.2017.05.009. Epub 2017 Jun 8.","Fungal Biol.  2017","PubMed","citation","PMID:28800852","pubmed","28800852","create date:2017/08/13 | first author:Cano JM",
"Saturation mapping of regions determining resistance to Ascochyta blight and broomrape in faba bean using transcriptome-based SNP genotyping.","/pubmed/28791437","Ocaña-Moral S, Gutiérrez N, Torres AM, Madrid E.","Theor Appl Genet. 2017 Aug 8. doi: 10.1007/s00122-017-2958-5. [Epub ahead of print]","Theor Appl Genet.  2017","PubMed","citation","PMID:28791437","pubmed","28791437","create date:2017/08/10 | first author:Ocaña-Moral S",
