Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Beyond genomics - Targeting the epigenome in diffuse large B-cell lymphoma.","/pubmed/28822237","Kühnl A, Cunningham D, Chau I.","Cancer Treat Rev. 2017 Aug 9;59:132-137. doi: 10.1016/j.ctrv.2017.07.009. [Epub ahead of print] Review.","Cancer Treat Rev.  2017","PubMed","citation","PMID:28822237","pubmed","28822237","create date:2017/08/20 | first author:Kühnl A",
"Efficient and accurate causal inference with hidden confounders from genome-transcriptome variation data.","/pubmed/28821014","Wang L, Michoel T.","PLoS Comput Biol. 2017 Aug 18;13(8):e1005703. doi: 10.1371/journal.pcbi.1005703. [Epub ahead of print]","PLoS Comput Biol.  2017","PubMed","citation","PMID:28821014","pubmed","28821014","create date:2017/08/19 | first author:Wang L",
"Draft Genome Sequences of Two Gammaproteobacterial Methanotrophs Isolated from Rice Ecosystems.","/pubmed/28818885","Frindte K, Kalyuzhnaya MG, Bringel F, Dunfield PF, Jetten MSM, Khmelenina VN, Klotz MG, Murrell JC, Op den Camp HJM, Sakai Y, Semrau JD, Shapiro N, DiSpirito AA, Stein LY, Svenning MM, Trotsenko YA, Vuilleumier S, Woyke T, Knief C.","Genome Announc. 2017 Aug 17;5(33). pii: e00526-17. doi: 10.1128/genomeA.00526-17.","Genome Announc.  2017","PubMed","citation","PMID:28818885","pubmed","28818885","create date:2017/08/19 | first author:Frindte K",
"Mining Naïve Rabbit Antibody Repertoires by Phage Display for Monoclonal Antibodies of Therapeutic Utility.","/pubmed/28818634","Peng H, Nerreter T, Chang J, Qi J, Li X, Karunadharma P, Martinez G, Fallahi M, Soden J, Freeth J, Beerli RR, Grawunder U, Hudecek M, Rader C.","J Mol Biol. 2017 Aug 14. pii: S0022-2836(17)30394-7. doi: 10.1016/j.jmb.2017.08.003. [Epub ahead of print]","J Mol Biol.  2017","PubMed","citation","PMID:28818634","pubmed","28818634","create date:2017/08/19 | first author:Peng H",
"Characterization of a highly selective inhibitor of the Aurora kinases.","/pubmed/28818446","Ferguson FM, Doctor ZM, Chaikuad A, Sim T, Kim ND, Knapp S, Gray NS.","Bioorg Med Chem Lett. 2017 Aug 10. pii: S0960-894X(17)30817-X. doi: 10.1016/j.bmcl.2017.08.016. [Epub ahead of print]","Bioorg Med Chem Lett.  2017","PubMed","citation","PMID:28818446","pubmed","28818446","create date:2017/08/19 | first author:Ferguson FM",
"Stakeholders in psychiatry and their attitudes toward receiving pertinent and incident findings in genomic research.","/pubmed/28817238","Sundby A, Boolsen MW, Burgdorf KS, Ullum H, Hansen TF, Middleton A, Mors O.","Am J Med Genet A. 2017 Aug 17. doi: 10.1002/ajmg.a.38380. [Epub ahead of print]","Am J Med Genet A.  2017","PubMed","citation","PMID:28817238","pubmed","28817238","create date:2017/08/18 | first author:Sundby A",
"How Single-Cell Genomics Is Changing Evolutionary and Developmental Biology.","/pubmed/28813177","Marioni JC, Arendt D.","Annu Rev Cell Dev Biol. 2017 Aug 16. doi: 10.1146/annurev-cellbio-100616-060818. [Epub ahead of print]","Annu Rev Cell Dev Biol.  2017","PubMed","citation","PMID:28813177","pubmed","28813177","create date:2017/08/17 | first author:Marioni JC",
"Genomic evidence reveals a radiation of placental mammals uninterrupted by the KPg boundary.","/pubmed/28808022","Liu L, Zhang J, Rheindt FE, Lei F, Qu Y, Wang Y, Zhang Y, Sullivan C, Nie W, Wang J, Yang F, Chen J, Edwards SV, Meng J, Wu S.","Proc Natl Acad Sci U S A. 2017 Aug 14. pii: 201616744. doi: 10.1073/pnas.1616744114. [Epub ahead of print]","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28808022","pubmed","28808022","create date:2017/08/16 | first author:Liu L",
"Mobilization of LINE-1 retrotransposons is restricted by Tex19.1 in mouse embryonic stem cells.","/pubmed/28806172","MacLennan M, García-Cañadas M, Reichmann J, Khazina E, Wagner G, Playfoot CJ, Salvador-Palomeque C, Mann AR, Peressini P, Sanchez L, Dobie K, Read D, Hung CC, Eskeland R, Meehan RR, Weichenrieder O, García-Pérez JL, Adams IR.","Elife. 2017 Aug 14;6. pii: e26152. doi: 10.7554/eLife.26152.","Elife.  2017","PubMed","citation","PMID:28806172","pubmed","28806172","create date:2017/08/15 | first author:MacLennan M",
"Treatment of epileptic encephalopathies.","/pubmed/28799511","Balestrini S, Sisodiya SM.","Curr Pharm Des. 2017 Aug 9. doi: 10.2174/1381612823666170809115827. [Epub ahead of print]","Curr Pharm Des.  2017","PubMed","citation","PMID:28799511","pubmed","28799511","create date:2017/08/12 | first author:Balestrini S",
