Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Paradigm of Biased PAR1 (Protease-Activated Receptor-1) Activation and Inhibition in Endothelial Cells Dissected by Phosphoproteomics.","/pubmed/28818855","van den Eshof BL, Hoogendijk AJ, Simpson PJ, van Alphen FPJ, Zanivan S, Mertens K, Meijer AB, van den Biggelaar M.","Arterioscler Thromb Vasc Biol. 2017 Aug 17. pii: ATVBAHA.117.309926. doi: 10.1161/ATVBAHA.117.309926. [Epub ahead of print]","Arterioscler Thromb Vasc Biol.  2017","PubMed","citation","PMID:28818855","pubmed","28818855","create date:2017/08/19 | first author:van den Eshof BL",
"Carbon Nanoparticles Inhibit the Antimicrobial Activities of the Human Cathelicidin LL-37 through Structural Alteration.","/pubmed/28814602","Findlay F, Pohl J, Svoboda P, Shakamuri P, McLean K, Inglis NF, Proudfoot L, Barlow PG.","J Immunol. 2017 Aug 16. pii: ji1700706. doi: 10.4049/jimmunol.1700706. [Epub ahead of print]","J Immunol.  2017","PubMed","citation","PMID:28814602","pubmed","28814602","create date:2017/08/18 | first author:Findlay F",
"Proteomic analysis of pre- and post-sunitinib treated renal cancer tissue to assess tumor heterogeneity and differential protein expression.","/pubmed/28143306","Stewart GD, O'Mahony F, Eory L, Nanda J, Laird A, O'Donnell M, Mullen P, Riddick A, McNeill A, Aitchison M, Berney D, Peters J, Rockall A, Sahdev A, Bex A, Faratian D, Chowdhury S, Harrison D, Overton I, Powles T; Scottish Collaboration on Translational Research into Renal Cell Cancer \(SCOTRRCC\)..","J Clin Oncol. 2012 Feb 10;30(5_suppl):388. doi: 10.1200/jco.2012.30.5_suppl.388.","J Clin Oncol.  2012","PubMed","citation","PMID:28143306","pubmed","28143306","create date:2012/02/10 | first author:Stewart GD",
"Myst2/Kat7 histone acetyltransferase interaction proteomics reveals tumour-suppressor Niam as a novel binding partner in embryonic stem cells.","/pubmed/28811661","Pardo M, Yu L, Shen S, Tate P, Bode D, Letney BL, Quelle DE, Skarnes W, Choudhary JS.","Sci Rep. 2017 Aug 15;7(1):8157. doi: 10.1038/s41598-017-08456-2.","Sci Rep.  2017","PubMed","citation","PMID:28811661 | PMCID:PMC5557939","pubmed","28811661","create date:2017/08/16 | first author:Pardo M",
"IgE Trimers Drive SPE-7 Cytokinergic Activity.","/pubmed/28811536","Bax HJ, Bowen H, Beavil RL, Chung R, Ward M, Davies AM, Dodev TS, McDonnell JM, Beavil AJ, Sutton BJ, Gould HJ.","Sci Rep. 2017 Aug 15;7(1):8164. doi: 10.1038/s41598-017-08212-6.","Sci Rep.  2017","PubMed","citation","PMID:28811536 | PMCID:PMC5557881","pubmed","28811536","create date:2017/08/16 | first author:Bax HJ",
"Novel Urinary Peptidomic Classifier Predicts Incident Heart Failure.","/pubmed/28784649","Zhang ZY, Ravassa S, Nkuipou-Kenfack E, Yang WY, Kerr SM, Koeck T, Campbell A, Kuznetsova T, Mischak H, Padmanabhan S, Dominiczak AF, Delles C, Staessen JA.","J Am Heart Assoc. 2017 Aug 7;6(8). pii: e005432. doi: 10.1161/JAHA.116.005432.","J Am Heart Assoc.  2017","PubMed","citation","PMID:28784649","pubmed","28784649","create date:2017/08/09 | first author:Zhang ZY",
"Quantitative proteomics screen identifies a substrate repertoire of rhomboid protease RHBDL2 in human cells and implicates it in epithelial homeostasis.","/pubmed/28779096","Johnson N, Březinová J, Stephens E, Burbridge E, Freeman M, Adrain C, Strisovsky K.","Sci Rep. 2017 Aug 4;7(1):7283. doi: 10.1038/s41598-017-07556-3.","Sci Rep.  2017","PubMed","citation","PMID:28779096 | PMCID:PMC5544772","pubmed","28779096","create date:2017/08/06 | first author:Johnson N",
"Mechanistic Investigation of the Specific Anticancer Property of Artemisinin and Its Combination with Aminolevulinic Acid for Enhanced Anticolorectal Cancer Activity.","/pubmed/28776016","Wang J, Zhang J, Shi Y, Xu C, Zhang C, Wong YK, Lee YM, Krishna S, He Y, Lim TK, Sim W, Hua ZC, Shen HM, Lin Q.","ACS Cent Sci. 2017 Jul 26;3(7):743-750. doi: 10.1021/acscentsci.7b00156. Epub 2017 Jun 28.","ACS Cent Sci.  2017","PubMed","citation","PMID:28776016 | PMCID:PMC5532725","pubmed","28776016","create date:2017/08/05 | first author:Wang J",
"Dynamic Acclimation to High Light in Arabidopsis thaliana Involves Widespread Reengineering of the Leaf Proteome.","/pubmed/28775726","Miller MAE, O'Cualain R, Selley J, Knight D, Karim MF, Hubbard SJ, Johnson GN.","Front Plant Sci. 2017 Jul 20;8:1239. doi: 10.3389/fpls.2017.01239. eCollection 2017.","Front Plant Sci.  2017","PubMed","citation","PMID:28775726 | PMCID:PMC5517461","pubmed","28775726","create date:2017/08/05 | first author:Miller MAE",
"Variability in Mass Spectrometry-based Quantification of Clinically Relevant Drug Transporters and Drug Metabolizing Enzymes.","/pubmed/28767254","Wegler C, Gaugaz FZ, Andersson TB, Wiśniewski JR, Busch D, Gröer C, Oswald S, Norén A, Weiss F, Hammer HS, Joos TO, Poetz O, Achour B, Rostami-Hodjegan A, van de Steeg E, Wortelboer HM, Artursson P.","Mol Pharm. 2017 Aug 16. doi: 10.1021/acs.molpharmaceut.7b00364. [Epub ahead of print]","Mol Pharm.  2017","PubMed","citation","PMID:28767254","pubmed","28767254","create date:2017/08/03 | first author:Wegler C",
