Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Hydrogen sulfide attenuates calcification of vascular smooth muscle cells via KEAP1/NRF2/NQO1 activation.","/pubmed/28865326","Aghagolzadeh P, Radpour R, Bachtler M, van Goor H, Smith ER, Lister A, Odermatt A, Feelisch M, Pasch A.","Atherosclerosis. 2017 Aug 19;265:78-86. doi: 10.1016/j.atherosclerosis.2017.08.012. [Epub ahead of print]","Atherosclerosis.  2017","PubMed","citation","PMID:28865326","pubmed","28865326","create date:2017/09/03 | first author:Aghagolzadeh P",
"Antitumor activity and expression profiles of genes induced by sulforaphane in human melanoma cells.","/pubmed/28864908","Arcidiacono P, Ragonese F, Stabile A, Pistilli A, Kuligina E, Rende M, Bottoni U, Calvieri S, Crisanti A, Spaccapelo R.","Eur J Nutr. 2017 Sep 1. doi: 10.1007/s00394-017-1527-7. [Epub ahead of print]","Eur J Nutr.  2017","PubMed","citation","PMID:28864908","pubmed","28864908","create date:2017/09/03 | first author:Arcidiacono P",
"Single cell analysis of normal and leukemic hematopoiesis.","/pubmed/28863981","Povinelli BJ, Rodriguez-Meira A, Mead AJ.","Mol Aspects Med. 2017 Aug 29. pii: S0098-2997(17)30056-0. doi: 10.1016/j.mam.2017.08.006. [Epub ahead of print] Review.","Mol Aspects Med.  2017","PubMed","citation","PMID:28863981","pubmed","28863981","create date:2017/09/03 | first author:Povinelli BJ",
"Deep Sequencing of RNA from Blood and Oral Swab Samples Reveals the Presence of Nucleic Acid from a Number of Pathogens in Patients with Acute Ebola Virus Disease and Is Consistent with Bacterial Translocation across the Gut.","/pubmed/28861524","Carroll MW, Haldenby S, Rickett NY, Pályi B, Garcia-Dorival I, Liu X, Barker G, Bore JA, Koundouno FR, Williamson ED, Laws TR, Kerber R, Sissoko D, Magyar N, Di Caro A, Biava M, Fletcher TE, Sprecher A, Ng LFP, Rénia L, Magassouba N, Günther S, et al.","mSphere. 2017 Aug 23;2(4). pii: e00325-17. doi: 10.1128/mSphereDirect.00325-17. eCollection 2017 Jul-Aug.","mSphere.  2017","PubMed","citation","PMID:28861524 | PMCID:PMC5566839","pubmed","28861524","create date:2017/09/02 | first author:Carroll MW",
"Inflammatory Infiltrates in Parathyroid Tumors.","/pubmed/28855268","Haglund F, Hallström B, Nilsson IL, HÖÖg A, Juhlin CC, Larsson C.","Eur J Endocrinol. 2017 Aug 30. pii: EJE-17-0277. doi: 10.1530/EJE-17-0277. [Epub ahead of print]","Eur J Endocrinol.  2017","PubMed","citation","PMID:28855268","pubmed","28855268","create date:2017/09/01 | first author:Haglund F",
"Conserved Transcription Factors Steer Growth-Related Genomic Programs in Daphnia.","/pubmed/28854641","Spanier KI, Jansen M, Decaestecker E, Hulselmans G, Becker D, Colbourne JK, Orsini L, De Meester L, Aerts S.","Genome Biol Evol. 2017 Jun 1;9(6):1821-1842. doi: 10.1093/gbe/evx127.","Genome Biol Evol.  2017","PubMed","citation","PMID:28854641 | PMCID:PMC5569996","pubmed","28854641","create date:2017/09/01 | first author:Spanier KI",
"The medical threat of mamba envenoming in sub-Saharan Africa revealed by genus-wide analysis of venom composition, toxicity and antivenomics profiling of available antivenoms.","/pubmed/28843532","Ainsworth S, Petras D, Engmark M, Süssmuth RD, Whiteley G, Albulescu LO, Kazandjian TD, Wagstaff SC, Rowley P, Wüster W, Dorrestein PC, Arias AS, Gutiérrez JM, Harrison RA, Casewell NR, Calvete JJ.","J Proteomics. 2017 Aug 24. pii: S1874-3919(17)30303-2. doi: 10.1016/j.jprot.2017.08.016. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28843532","pubmed","28843532","create date:2017/08/28 | first author:Ainsworth S",
"DNA methylation and exposure to ambient air pollution in two prospective cohorts.","/pubmed/28843141","Plusquin M, Guida F, Polidoro S, Vermeulen R, Raaschou-Nielsen O, Campanella G, Hoek G, Kyrtopoulos SA, Georgiadis P, Naccarati A, Sacerdote C, Krogh V, Bas Bueno-de-Mesquita H, Monique Verschuren WM, Sayols-Baixeras S, Panni T, Peters A, Hebels DGAJ, Kleinjans J, Vineis P, Chadeau-Hyam M.","Environ Int. 2017 Aug 23;108:127-136. doi: 10.1016/j.envint.2017.08.006. [Epub ahead of print]","Environ Int.  2017","PubMed","citation","PMID:28843141","pubmed","28843141","create date:2017/08/27 | first author:Plusquin M",
"Impaired innate immune gene profiling in airway smooth muscle cells from chronic cough patients.","/pubmed/28842514","Rossios C, Pavlidis S, Gibeon D, Mumby S, Durham A, Ojo O, Horowitz D, Loza M, Baribaud F, Rao N, Chung KF, Adcock IM; U-BIOPRED WP6 study group..","Biosci Rep. 2017 Aug 25. pii: BSR20171090. doi: 10.1042/BSR20171090. [Epub ahead of print]","Biosci Rep.  2017","PubMed","citation","PMID:28842514","pubmed","28842514","create date:2017/08/27 | first author:Rossios C",
"Siglec-H is a microglia-specific marker that discriminates microglia from CNS-associated macrophages and CNS-infiltrating monocytes.","/pubmed/28836308","Konishi H, Kobayashi M, Kunisawa T, Imai K, Sayo A, Malissen B, Crocker PR, Sato K, Kiyama H.","Glia. 2017 Aug 24. doi: 10.1002/glia.23204. [Epub ahead of print]","Glia.  2017","PubMed","citation","PMID:28836308","pubmed","28836308","create date:2017/08/25 | first author:Konishi H",
