Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Whole Exome Sequencing of Lacrimal Gland Adenoid Cystic Carcinoma.","/pubmed/28820917","Sant DW, Tao W, Field MG, Pelaez D, Jin K, Capobianco A, Dubovy SR, Tse DT, Wang G.","Invest Ophthalmol Vis Sci. 2017 May 1;58(6):BIO240-BIO246. doi: 10.1167/iovs.16-21097.","Invest Ophthalmol Vis Sci.  2017","PubMed","citation","PMID:28820917","pubmed","28820917","create date:2017/08/19 | first author:Sant DW",
"Interleukin-17 receptor A (IL-17RA) as a central regulator of the protective immune response against Giardia.","/pubmed/28819174","Paerewijck O, Maertens B, Dreesen L, Van Meulder F, Peelaers I, Ratman D, Li RW, Lubberts E, De Bosscher K, Geldhof P.","Sci Rep. 2017 Aug 17;7(1):8520. doi: 10.1038/s41598-017-08590-x.","Sci Rep.  2017","PubMed","citation","PMID:28819174","pubmed","28819174","create date:2017/08/19 | first author:Paerewijck O",
"Resistance training regulates gene expression of molecules associated with intramyocellular lipids, glucose signaling and fiber size in old rats.","/pubmed/28819168","Ribeiro MBT, Guzzoni V, Hord JM, Lopes GN, Marqueti RC, de Andrade RV, Selistre-de-Araujo HS, Durigan JLQ.","Sci Rep. 2017 Aug 17;7(1):8593. doi: 10.1038/s41598-017-09343-6.","Sci Rep.  2017","PubMed","citation","PMID:28819168","pubmed","28819168","create date:2017/08/19 | first author:Ribeiro MBT",
"Fruit weight is controlled by Cell Size Regulator encoding a novel protein that is expressed in maturing tomato fruits.","/pubmed/28817560","Mu Q, Huang Z, Chakrabarti M, Illa-Berenguer E, Liu X, Wang Y, Ramos A, van der Knaap E.","PLoS Genet. 2017 Aug 17;13(8):e1006930. doi: 10.1371/journal.pgen.1006930. eCollection 2017 Aug.","PLoS Genet.  2017","PubMed","citation","PMID:28817560","pubmed","28817560","create date:2017/08/18 | first author:Mu Q",
"Joint Analysis of Nuclear and Mitochondrial Variants in Age-Related Macular Degeneration Identifies Novel Loci TRPM1 and ABHD2/RLBP1.","/pubmed/28813576","Persad PJ, Heid IM, Weeks DE, Baird PN, de Jong EK, Haines JL, Pericak-Vance MA, Scott WK; for the International Age-Related Macular Degeneration Genomics Consortium (IAMDGC)..","Invest Ophthalmol Vis Sci. 2017 Aug 1;58(10):4027-4038. doi: 10.1167/iovs.17-21734.","Invest Ophthalmol Vis Sci.  2017","PubMed","citation","PMID:28813576 | PMCID:PMC5559178","pubmed","28813576","create date:2017/08/17 | first author:Persad PJ",
"Twenty years of menin: emerging opportunities for restoration of transcription in MEN1.","/pubmed/28811299","Dreijerink KMA, Timmers M, Brown M.","Endocr Relat Cancer. 2017 Aug 15. pii: ERC-17-0281. doi: 10.1530/ERC-17-0281. [Epub ahead of print]","Endocr Relat Cancer.  2017","PubMed","citation","PMID:28811299","pubmed","28811299","create date:2017/08/16 | first author:Dreijerink KMA",
"Identification of Novel Growth Regulators in Plant Populations Expressing Random Peptides.","/pubmed/28807931","Bao Z, Clancy MA, Carvalho RF, Elliott K, Folta KM.","Plant Physiol. 2017 Aug 14. pii: pp.00577.2017. doi: 10.1104/pp.17.00577. [Epub ahead of print]","Plant Physiol.  2017","PubMed","citation","PMID:28807931","pubmed","28807931","create date:2017/08/16 | first author:Bao Z",
"Microbial Community Structure and the Persistence of Cyanobacterial Populations in Salt Crusts of the Hyperarid Atacama Desert from Genome-Resolved Metagenomics.","/pubmed/28804480","Finstad KM, Probst AJ, Thomas BC, Andersen GL, Demergasso C, Echeverría A, Amundson RG, Banfield JF.","Front Microbiol. 2017 Jul 28;8:1435. doi: 10.3389/fmicb.2017.01435. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28804480 | PMCID:PMC5532433","pubmed","28804480","create date:2017/08/15 | first author:Finstad KM",
"Metastatic Cardiac Angiosarcoma to the Lung, Spine, and Brain: A Case Report and Review of the Literature.","/pubmed/28803168","Lin CT, Ducis K, Tucker S, Tranmer B.","World Neurosurg. 2017 Aug 9. pii: S1878-8750(17)31320-7. doi: 10.1016/j.wneu.2017.08.023. [Epub ahead of print]","World Neurosurg.  2017","PubMed","citation","PMID:28803168","pubmed","28803168","create date:2017/08/15 | first author:Lin CT",
"SRSF shape analysis for sequencing data reveal new differentiating patterns.","/pubmed/28803038","Wesolowski S, Vera D, Wu W.","Comput Biol Chem. 2017 Jul 27;70:56-64. doi: 10.1016/j.compbiolchem.2017.07.004. [Epub ahead of print]","Comput Biol Chem.  2017","PubMed","citation","PMID:28803038","pubmed","28803038","create date:2017/08/15 | first author:Wesolowski S",
"Molecular mapping and genomics of soybean seed protein: a review and perspective for the future.","/pubmed/28801731","Patil G, Mian R, Vuong T, Pantalone V, Song Q, Chen P, Shannon GJ, Carter TC, Nguyen HT.","Theor Appl Genet. 2017 Aug 11. doi: 10.1007/s00122-017-2955-8. [Epub ahead of print] Review.","Theor Appl Genet.  2017","PubMed","citation","PMID:28801731","pubmed","28801731","create date:2017/08/13 | first author:Patil G",
"Toward Genomics-Based Breeding in C3 Cool-Season Perennial Grasses.","/pubmed/28798766","Talukder SK, Saha MC.","Front Plant Sci. 2017 Jul 26;8:1317. doi: 10.3389/fpls.2017.01317. eCollection 2017. Review.","Front Plant Sci.  2017","PubMed","citation","PMID:28798766 | PMCID:PMC5526908","pubmed","28798766","create date:2017/08/12 | first author:Talukder SK",
"Comparative genomics of two super-shedder isolates of Escherichia coli O157:H7.","/pubmed/28797098","Katani R, Cote R, Kudva IT, DebRoy C, Arthur TM, Kapur V.","PLoS One. 2017 Aug 10;12(8):e0182940. doi: 10.1371/journal.pone.0182940. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28797098","pubmed","28797098","create date:2017/08/11 | first author:Katani R",
"The endogenous transposable element Tgm9 is suitable for generating knockout mutants for functional analyses of soybean genes and genetic improvement in soybean.","/pubmed/28797084","Sandhu D, Ghosh J, Johnson C, Baumbach J, Baumert E, Cina T, Grant D, Palmer RG, Bhattacharyya MK.","PLoS One. 2017 Aug 10;12(8):e0180732. doi: 10.1371/journal.pone.0180732. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28797084","pubmed","28797084","create date:2017/08/11 | first author:Sandhu D",
"Colonizing opportunistic pathogens (COPs): The beasts in all of us.","/pubmed/28796836","Price LB, Hungate BA, Koch BJ, Davis GS, Liu CM.","PLoS Pathog. 2017 Aug 10;13(8):e1006369. doi: 10.1371/journal.ppat.1006369. eCollection 2017 Aug. No abstract available. ","PLoS Pathog.  2017","PubMed","citation","PMID:28796836","pubmed","28796836","create date:2017/08/11 | first author:Price LB",
"The Many Faces of Long Noncoding RNAs in Cancer.","/pubmed/28793797","Wu X, Tudoran O, Calin G, Ivan M.","Antioxid Redox Signal. 2017 Aug 10. doi: 10.1089/ars.2017.7293. [Epub ahead of print]","Antioxid Redox Signal.  2017","PubMed","citation","PMID:28793797","pubmed","28793797","create date:2017/08/11 | first author:Wu X",
