Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"High sensitivity quantitative proteomics using automated multidimensional nano-flow chromatography and accumulated ion monitoring on quadrupole-Orbitrap-linear ion trap mass spectrometer.","/pubmed/28821601","Cifani P, Kentsis A.","Mol Cell Proteomics. 2017 Aug 18. pii: mcp.000023.2017. doi: 10.1074/mcp.RA117.000023. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28821601","pubmed","28821601","create date:2017/08/20 | first author:Cifani P",
"Resistance training regulates gene expression of molecules associated with intramyocellular lipids, glucose signaling and fiber size in old rats.","/pubmed/28819168","Ribeiro MBT, Guzzoni V, Hord JM, Lopes GN, Marqueti RC, de Andrade RV, Selistre-de-Araujo HS, Durigan JLQ.","Sci Rep. 2017 Aug 17;7(1):8593. doi: 10.1038/s41598-017-09343-6.","Sci Rep.  2017","PubMed","citation","PMID:28819168","pubmed","28819168","create date:2017/08/19 | first author:Ribeiro MBT",
"Quantum mechanical force fields for condensed phase molecular simulations.","/pubmed/28817382","Giese TJ, York DM.","J Phys Condens Matter. 2017 Aug 17;29(38):383002. doi: 10.1088/1361-648X/aa7c5c. [Epub ahead of print]","J Phys Condens Matter.  2017","PubMed","citation","PMID:28817382","pubmed","28817382","create date:2017/08/18 | first author:Giese TJ",
"Chemoproteomics Reveals Chemical Diversity and Dynamics of 4-Oxo-2-nonenal Modifications in Cells.","/pubmed/28814509","Sun R, Fu L, Liu KK, Tian CP, Yang Y, Tallman KA, Porter NA, Liebler DC, Yang J.","Mol Cell Proteomics. 2017 Aug 16. pii: mcp.000116.2017. doi: 10.1074/mcp.RA117.000116. [Epub ahead of print]","Mol Cell Proteomics.  2017","PubMed","citation","PMID:28814509","pubmed","28814509","create date:2017/08/18 | first author:Sun R",
"Twenty years of menin: emerging opportunities for restoration of transcription in MEN1.","/pubmed/28811299","Dreijerink KMA, Timmers M, Brown M.","Endocr Relat Cancer. 2017 Aug 15. pii: ERC-17-0281. doi: 10.1530/ERC-17-0281. [Epub ahead of print]","Endocr Relat Cancer.  2017","PubMed","citation","PMID:28811299","pubmed","28811299","create date:2017/08/16 | first author:Dreijerink KMA",
"Activity of the β-Lactamase inhibitor LN-1-255 against carbapenem-hydrolyzing class D β-lactamases from Acinetobacter baumannii.","/pubmed/28807908","Vázquez-Ucha JC, Maneiro M, Martínez-Guitián M, Buynak J, Bethel CR, Bonomo RA, Bou G, Poza M, González-Bello C, Beceiro A.","Antimicrob Agents Chemother. 2017 Aug 14. pii: AAC.01172-17. doi: 10.1128/AAC.01172-17. [Epub ahead of print]","Antimicrob Agents Chemother.  2017","PubMed","citation","PMID:28807908","pubmed","28807908","create date:2017/08/16 | first author:Vázquez-Ucha JC",
"Fibroblast growth factor receptor-1 mediates internalization of pathogenic spotted fever rickettsiae into host endothelium.","/pubmed/28806774","Sahni A, Patel J, Narra HP, Schroeder CLC, Walker DH, Sahni SK.","PLoS One. 2017 Aug 14;12(8):e0183181. doi: 10.1371/journal.pone.0183181. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28806774","pubmed","28806774","create date:2017/08/15 | first author:Sahni A",
"Development of a rapid and sensitive multiple reaction monitoring proteomic approach for quantification of transporters in human liver tissue.","/pubmed/28800539","Wang L, Rubadue KJ, Alberts J, Bedwell DW, Ruterbories KJ.","J Chromatogr B Analyt Technol Biomed Life Sci. 2017 Aug 1;1061-1062:356-363. doi: 10.1016/j.jchromb.2017.07.051. [Epub ahead of print]","J Chromatogr B Analyt Technol Biomed Life Sci.  2017","PubMed","citation","PMID:28800539","pubmed","28800539","create date:2017/08/12 | first author:Wang L",
"Analysis of Urine Composition in Type II Diabetic Mice after Intervention Therapy Using Holothurian Polypeptides.","/pubmed/28798909","Li Y, Xu J, Su X.","Front Chem. 2017 Jul 26;5:54. doi: 10.3389/fchem.2017.00054. eCollection 2017.","Front Chem.  2017","PubMed","citation","PMID:28798909 | PMCID:PMC5526924","pubmed","28798909","create date:2017/08/12 | first author:Li Y",
"Direct Interaction of Chivosazole F with Actin Elicits Cell Responses Similar to Latrunculin A but Distinct from Chondramide.","/pubmed/28796488","Filipuzzi I, Thomas JR, Pries V, Estoppey D, Salcius M, Studer C, Schirle M, Hoepfner D.","ACS Chem Biol. 2017 Aug 15. doi: 10.1021/acschembio.7b00385. [Epub ahead of print]","ACS Chem Biol.  2017","PubMed","citation","PMID:28796488","pubmed","28796488","create date:2017/08/11 | first author:Filipuzzi I",
