Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Characterization of lincRNA expression in the human retinal pigment epithelium and differentiated induced pluripotent stem cells.","/pubmed/28837677","Au ED, Fernandez-Godino R, Kaczynksi TJ, Sousa ME, Farkas MH.","PLoS One. 2017 Aug 24;12(8):e0183939. doi: 10.1371/journal.pone.0183939. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28837677","pubmed","28837677","create date:2017/08/25 | first author:Au ED",
"Cardiac transcriptome profiling of diabetic Akita mice using microarray and next generation sequencing.","/pubmed/28837672","Kesherwani V, Shahshahan HR, Mishra PK.","PLoS One. 2017 Aug 24;12(8):e0182828. doi: 10.1371/journal.pone.0182828. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28837672","pubmed","28837672","create date:2017/08/25 | first author:Kesherwani V",
"Evaluation of changes to the Rickettsia rickettsii transcriptome during mammalian infection.","/pubmed/28832688","Riley SP, Pruneau L, Martinez JJ.","PLoS One. 2017 Aug 23;12(8):e0182290. doi: 10.1371/journal.pone.0182290. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28832688","pubmed","28832688","create date:2017/08/24 | first author:Riley SP",
"Ancestry as a potential modifier of gene expression in breast tumors from Colombian women.","/pubmed/28832682","Serrano-Gómez SJ, Sanabria-Salas MC, Garay J, Baddoo MC, Hernández-Suarez G, Mejía JC, García O, Miele L, Fejerman L, Zabaleta J.","PLoS One. 2017 Aug 23;12(8):e0183179. doi: 10.1371/journal.pone.0183179. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28832682","pubmed","28832682","create date:2017/08/24 | first author:Serrano-Gómez SJ",
"Crosstalk between the tricarboxylic acid cycle and peptidoglycan synthesis in Caulobacter crescentus through the homeostatic control of α-ketoglutarate.","/pubmed/28827812","Irnov I, Wang Z, Jannetty ND, Bustamante JA, Rhee KY, Jacobs-Wagner C.","PLoS Genet. 2017 Aug 21;13(8):e1006978. doi: 10.1371/journal.pgen.1006978. [Epub ahead of print]","PLoS Genet.  2017","PubMed","citation","PMID:28827812","pubmed","28827812","create date:2017/08/23 | first author:Irnov I",
"Temporal network analysis identifies early physiological and transcriptomic indicators of mild drought in Brassica rapa.","/pubmed/28826479","Greenham K, Guadagno CR, Gehan MA, Mockler TC, Weinig C, Ewers BE, McClung CR.","Elife. 2017 Aug 18;6. pii: e29655. doi: 10.7554/eLife.29655. [Epub ahead of print]","Elife.  2017","PubMed","citation","PMID:28826479","pubmed","28826479","create date:2017/08/23 | first author:Greenham K",
"Extensive alternative splicing transitions during postnatal skeletal muscle development are required for calcium handling functions.","/pubmed/28826478","Brinegar AE, Xia Z, Loehr JA, Li W, Rodney GG, Cooper TA.","Elife. 2017 Aug 11;6. pii: e27192. doi: 10.7554/eLife.27192.","Elife.  2017","PubMed","citation","PMID:28826478","pubmed","28826478","create date:2017/08/23 | first author:Brinegar AE",
"Data aggregation at the level of molecular pathways improves stability of experimental transcriptomic and proteomic data.","/pubmed/28825872","Borisov N, Suntsova M, Sorokin M, Garazha A, Kovalchuk O, Aliper A, Ilnitskaya E, Lezhnina K, Korzinkin M, Tkachev V, Saenko V, Saenko Y, Sokov DG, Gaifullin NM, Kashintsev K, Shirokorad V, Shabalina I, Zhavoronkov A, Mishra B, Cantor CR, Buzdin A.","Cell Cycle. 2017 Aug 21:0. doi: 10.1080/15384101.2017.1361068. [Epub ahead of print]","Cell Cycle.  2017","PubMed","citation","PMID:28825872","pubmed","28825872","create date:2017/08/22 | first author:Borisov N",
"Sniffing out the hypoxia volatile metabolic signature of Aspergillus fumigatus.","/pubmed/28825403","Rees CA, Stefanuto PH, Beattie SR, Bultman KM, Cramer RA, Hill JE.","J Breath Res. 2017 Aug 21;11(3):036003. doi: 10.1088/1752-7163/aa7b3e.","J Breath Res.  2017","PubMed","citation","PMID:28825403","pubmed","28825403","create date:2017/08/22 | first author:Rees CA",
"Interleukin-17 receptor A (IL-17RA) as a central regulator of the protective immune response against Giardia.","/pubmed/28819174","Paerewijck O, Maertens B, Dreesen L, Van Meulder F, Peelaers I, Ratman D, Li RW, Lubberts E, De Bosscher K, Geldhof P.","Sci Rep. 2017 Aug 17;7(1):8520. doi: 10.1038/s41598-017-08590-x.","Sci Rep.  2017","PubMed","citation","PMID:28819174 | PMCID:PMC5561107","pubmed","28819174","create date:2017/08/19 | first author:Paerewijck O",
"Whole-Transcriptome Microarray Analysis Reveals Regulation of Rab4 by RBM5 in Neurons.","/pubmed/28818525","Jackson TC, Kotermanski SE, Kochanek PM.","Neuroscience. 2017 Aug 14. pii: S0306-4522(17)30572-9. doi: 10.1016/j.neuroscience.2017.08.014. [Epub ahead of print]","Neuroscience.  2017","PubMed","citation","PMID:28818525","pubmed","28818525","create date:2017/08/19 | first author:Jackson TC",
"Human alpha defensin 5 is a candidate biomarker to delineate inflammatory bowel disease.","/pubmed/28817680","Williams AD, Korolkova OY, Sakwe AM, Geiger TM, James SD, Muldoon RL, Herline AJ, Goodwin JS, Izban MG, Washington MK, Smoot DT, Ballard BR, Gazouli M, M'Koma AE.","PLoS One. 2017 Aug 17;12(8):e0179710. doi: 10.1371/journal.pone.0179710. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28817680","pubmed","28817680","create date:2017/08/18 | first author:Williams AD",
"The Broad-Spectrum Antimicrobial Potential of [Mn(CO)4(S2CNMe(CH2CO2H))], a Water-Soluble CO-Releasing Molecule (CORM-401): Intracellular Accumulation, Transcriptomic and Statistical Analyses, and Membrane Polarization.","/pubmed/28816060","Wareham LK, McLean S, Begg R, Rana N, Ali S, Kendall JJ, Sanguinetti G, Mann BE, Poole RK.","Antioxid Redox Signal. 2017 Aug 17. doi: 10.1089/ars.2017.7239. [Epub ahead of print]","Antioxid Redox Signal.  2017","PubMed","citation","PMID:28816060","pubmed","28816060","create date:2017/08/18 | first author:Wareham LK",
"Down-regulation of aminopeptidase N and ABC transporter subfamily G transcripts in Cry1Ab and Cry1Ac resistant Asian corn borer, Ostrinia furnacalis (Lepidoptera: Crambidae).","/pubmed/28808417","Zhang T, Coates BS, Wang Y, Wang Y, Bai S, Wang Z, He K.","Int J Biol Sci. 2017 Jul 6;13(7):835-851. doi: 10.7150/ijbs.18868. eCollection 2017.","Int J Biol Sci.  2017","PubMed","citation","PMID:28808417 | PMCID:PMC5555102","pubmed","28808417","create date:2017/08/16 | first author:Zhang T",
"ePlant: Visualizing and Exploring Multiple Levels of Data for Hypothesis Generation in Plant Biology.","/pubmed/28808136","Waese J, Fan J, Pasha A, Yu H, Fucile G, Shi R, Cumming M, Kelley L, Sternberg M, Krishnakumar V, Ferlanti E, Miller J, Town C, Stuerzlinger W, Provart NJ.","Plant Cell. 2017 Aug 14. pii: tpc.00073.2017. doi: 10.1105/tpc.17.00073. [Epub ahead of print]","Plant Cell.  2017","PubMed","citation","PMID:28808136","pubmed","28808136","create date:2017/08/16 | first author:Waese J",
"The AraC Negative Regulator family modulates the activity of histone-like proteins in pathogenic bacteria.","/pubmed/28806780","Santiago AE, Yan MB, Hazen TH, Sauder B, Meza-Segura M, Rasko DA, Kendall MM, Ruiz-Perez F, Nataro JP.","PLoS Pathog. 2017 Aug 14;13(8):e1006545. doi: 10.1371/journal.ppat.1006545. eCollection 2017 Aug.","PLoS Pathog.  2017","PubMed","citation","PMID:28806780","pubmed","28806780","create date:2017/08/15 | first author:Santiago AE",
